code	pop	state
AL	4779736.0	Alabama
AK	710231.0	Alaska
AZ	6392017.0	Arizona
AR	2915918.0	Arkansas
CA	37253956.0	California
CO	5029196.0	Colorado
CT	3574097.0	Connecticut
DE	897934.0	Delaware
DC	601723.0	District of Columbia
FL	18801310.0	Florida
GA	9687653.0	Georgia
HI	1360301.0	Hawaii
ID	1567582.0	Idaho
IL	12830632.0	Illinois
IN	6483802.0	Indiana
IA	3046355.0	Iowa
KS	2853118.0	Kansas
KY	4339367.0	Kentucky
LA	4533372.0	Louisiana
ME	1328361.0	Maine
MD	5773552.0	Maryland
MA	6547629.0	Massachusetts
MI	9883640.0	Michigan
MN	5303925.0	Minnesota
MS	2967297.0	Mississippi
MO	5988927.0	Missouri
MT	989415.0	Montana
NE	1826341.0	Nebraska
NV	2700551.0	Nevada
NH	1316470.0	New Hampshire
NJ	8791894.0	New Jersey
NM	2059179.0	New Mexico
NY	19378102.0	New York
NC	9535483.0	North Carolina
ND	672591.0	North Dakota
OH	11536504.0	Ohio
OK	3751351.0	Oklahoma
OR	3831074.0	Oregon
PA	12702379.0	Pennsylvania
RI	1052567.0	Rhode Island
SC	4625364.0	South Carolina
SD	814180.0	South Dakota
TN	6346105.0	Tennessee
TX	25145561.0	Texas
UT	2763885.0	Utah
VT	625741.0	Vermont
VA	8001024.0	Virginia
WA	6724540.0	Washington
WV	1852994.0	West Virginia
WI	5686986.0	Wisconsin
WY	563626.0	Wyoming
PR	3725789.0	Puerto Rico
