AL	AZ	AR	CA	CO	CT	DE	GA	HI	IL	IN	IA	KS	KY	LA	MD	MA	MI	MN	MS	MO	MT	NE	NM	NY	NC	ND	OH	OK	OR	PA	SC	SD	TN	TX	UT	VA	WA	WV	WI
78787.4799193996	102461.568671725	44158.9191370964	560899.907196973	64240.0089874262	41823.0918683674	11418.0617005659	155732.020381566	24455.142189285	150850.190175183	76893.0891980077	34163.9985028001	37463.3424074335	58521.9216016332	78408.8428196985	73837.4178978412	73857.888942133	106382.463262468	50470.2957260178	49746.7940429688	79366.2025117726	8786.12832548261	21029.6440074329	31741.4851119367	218184.739452958	140499.710456847	5883.63111532442	137969.471179891	55871.1440395568	37523.344366309	154779.102353056	72130.838689306	8537.3520260364	93809.4812469023	434731.467230191	33046.5567384125	107688.814297958	56441.2604196801	23840.2269591458	60620.8968098724
81264.3839237356	105883.255930436	45796.9240085202	581962.90532397	67204.4617954329	43899.5315143366	11945.0540405026	160877.276799156	24575.1616404297	158325.84561341	80654.0716215021	35928.7595846997	39130.7998260945	61057.6573806029	80556.2075811347	77204.2154993437	77660.4627439342	112055.08238021	53402.6202597321	51239.7825946482	82863.3390264561	9320.33867205298	22084.2774149735	32877.8474319084	229297.828830352	145896.392606018	6246.62007150951	144721.025794764	57991.4850402792	39663.5546385917	162237.198559332	74663.1524324615	9003.86683164953	97420.8568477423	446603.989483299	34653.9058064931	112346.251086221	59977.2565044386	24923.3192815993	63883.3327765563
83733.1902947596	109308.503798433	47449.0156843243	603221.980317021	70242.1889829403	46040.3193013908	12485.2759887366	166024.685402891	24675.3115809772	166031.512514249	84527.1678373764	37753.6147675492	40835.4145723694	63644.3137058905	82676.0918377875	80652.5358128229	81590.7290562448	117935.42378185	56463.6485314896	52723.3182066715	86436.0082785719	9880.04615113247	23172.5455082044	34021.1662133595	240780.695486601	151353.534364875	6627.33488380054	151672.599460801	60134.0040124426	41893.7404617925	169907.544942925	77207.2341780095	9488.3677930708	101072.532696427	458324.440110431	36308.342072639	117097.357285287	63691.1310372277	26032.3057134478	67267.7047176346
86185.6125996803	112726.04822677	49109.9519922209	624616.444731864	73348.233562179	48242.4306144733	13037.5914383847	171156.921606294	24755.4513355343	173955.714557561	88506.9085668546	39636.5425359485	42573.5772486409	66276.2571280621	84761.3643281447	84175.8585479645	85644.6987516685	124018.509825226	59652.7606561634	54192.1751230306	90075.7242716976	10465.297224397	24292.9561613669	35167.7834978265	252618.893035608	156856.443479493	7025.91805888441	158813.769082093	62291.8531348846	44213.4313999179	177775.362812747	79755.0847872301	9990.4421564874	104754.539910313	469852.635720446	38007.6356657617	121931.513359384	67585.1040687285	27165.0160714944	70771.143116507
88613.2673174355	116123.849191084	50774.4090455991	646082.001092731	76515.4478267968	50502.1244190512	13600.8755203099	176256.670714482	24815.5109230235	182085.49732237	92585.6010877113	41574.5391194179	44341.2664414674	68947.1381191503	86804.1916472826	87765.7660463487	89816.7936357936	130296.727223825	62968.6072882226	55641.1012352032	93774.5965342148	11076.1398167044	25443.7181581461	36313.9450821483	264795.197101553	162387.659067958	7442.35845650213	166132.093071555	64458.2935987392	46621.3138146633	185827.655305438	82298.6515978485	10509.6619021119	108456.211264325	481143.549509148	39748.0643935625	126836.312400197	71660.127223011	28319.018138814	74390.0436791493
91006.8613196051	119489.527409957	52437.1615407973	667535.951713087	79735.767617365	52814.6117457493	14173.742821178	181304.681046383	24854.9778264715	190403.628712951	96755.7994994372	43564.4975657209	46133.622116925	71648.8106573802	88796.7701663705	91414.4411829678	94098.6717377843	136760.977021926	66408.1734609582	57064.3447211152	97523.1508545086	11712.3142062994	26622.6840676057	37455.8945612283	277287.787346735	167931.017441691	7876.56009122082	173610.902056215	66626.8205624852	49115.2001772877	194046.635369001	84829.0036677172	11045.3224588789	112164.717041021	492156.52652659	41526.3369899694	131797.767233314	75916.0967071604	29491.1530753877	78118.638445119
93356.7561436869	122811.061999924	54092.4118422893	688913.293521497	83001.0307681608	55175.1947195269	14754.6896715905	186282.920931392	24874.1479706957	198891.85393788	101007.065507829	45602.505996472	47945.7965653242	74373.707836181	90731.0307679018	95112.0393226155	98482.5371090869	143399.548190337	69968.022472556	58456.5816353152	101310.103604942	12373.3779576203	27827.2663878538	38589.6575861305	290070.832092797	173466.0566255	8328.24002785454	181233.764481956	68789.8417105807	51691.4707652593	202411.306171557	87337.1416242433	11596.5391893789	115867.665765807	502841.006802826	43338.275577196	136802.329329563	80351.1612422825	30678.3551901689	81950.673593604
95654.4265864183	126075.07155006	55734.0652254537	710133.383755494	86301.3662661687	57577.7211845502	15342.0585988238	191171.394175899	24873.1070813673	207528.846148141	105328.899268354	47683.684984348	49772.1966901771	77112.9340880969	92598.6341755588	98846.808153611	102957.798796056	150199.279679118	73643.288731197	59812.1397887998	105122.06925063	13058.7016860715	29054.5613559952	39710.7997678212	303115.074854496	178972.979584931	8797.05835585815	188980.74818533	70939.2907562899	54346.682000789	210900.282358417	89812.5406979048	12162.2492819634	119551.226189732	513157.548426802	45179.1076980057	141833.576407099	84962.1376416812	31877.0745982598	85878.4776093223
97888.4464499617	129268.695705958	57355.3603173213	731112.169577603	89626.210628161	60015.5961868354	15933.8516586046	195950.891790282	24851.7490355385	216290.249825507	109708.753792114	49802.9707978314	51606.5929780762	79856.8763206724	94392.1759687357	102607.269608814	107513.155468304	157144.0131368	77427.4850129339	61125.4327778481	108947.531637789	13767.3049722844	30301.3362362557	40814.8340512399	316388.745802401	184430.816216034	9282.34463145521	196829.032642485	73067.0095517817	57075.7486680228	219488.307507634	92245.7363571281	12741.1901538003	123201.805679696	523063.455551137	47043.4198669386	146873.654910401	89744.4293593656	33083.4673222648	89893.0799422099
100050.947694585	132378.522754189	58950.2149830062	751766.063909139	92964.3717036421	62481.4841019256	16528.1232551216	200600.584422905	24810.4387012152	225148.918829226	114133.20881658	51954.1412957609	53442.5220150691	82595.9588146385	96103.9151330499	106380.026299663	112135.243690343	164216.575261518	81312.9630157113	62390.6741155846	112772.968252626	14497.9771334968	31563.8178713439	41897.0731922641	329852.803850884	189818.290035899	9783.34686092182	204754.017402039	75164.3759756025	59872.6367271806	228145.390989132	94626.4502640939	13331.8965767523	126805.071134191	532514.754776613	48925.7421804553	151905.221498557	94691.3496142923	34293.4235626451	93984.1086172013
