AL	AZ	AR	CA	CO	CT	DE	GA	HI	IL	IN	IA	KS	KY	LA	MD	MA	MI	MN	MS	MO	MT	NE	NM	NY	NC	ND	OH	OK	OR	PA	SC	SD	TN	TX	UT	VA	WA	WV	WI
77929.4313277928	120612.112674873	46636.011858851	551017.566562781	61586.3155384769	37290.3544670477	11027.2044626954	170650.048976399	27133.5984015627	135194.089318853	84521.9190895484	35703.3314065528	42556.7838092989	66487.5680140876	84321.5490651393	76234.7227474907	59066.2057000223	129212.609482739	52325.5607584208	51325.2702724919	82796.2119447487	9841.08335904959	24403.2485347277	33383.9806496226	205225.197375866	153137.549324222	6850.45962139151	160394.677973138	62238.4329830685	38368.4330732452	154816.411926838	79862.3283327435	9355.90563212586	97684.259681984	471166.7306084	38581.650406597	113658.003515107	53365.9075444105	26735.1097301386	52356.8106705999
81007.6299394719	123696.675352721	48361.1253316871	574571.501755669	64485.9182212874	39243.9610038085	11543.8839946789	174966.220969927	26988.376360347	142216.283174193	87914.6349069394	37251.7148358961	44010.7911619551	68650.3047896139	86915.0163727852	79548.6695987334	62438.7935105527	133124.798591878	54609.1939446861	53174.0977456961	86231.0226865279	10222.4682697829	25283.4525486441	34633.8439372542	215675.827243233	158455.999951769	7083.6510476448	165674.840764638	64102.116592707	40098.4728910414	161734.83246024	82222.6345134676	9728.33197624461	101494.139382583	482518.582627139	39897.0350279239	118278.350694382	55947.549859014	27709.2147823759	55177.522496622
84111.5392579607	126707.899689906	50094.5918997097	598497.845031465	67461.1994713538	41267.4280993312	12073.8957501938	179193.548491213	26820.18712886	149483.868563249	91360.8516951073	38835.3753063811	45469.2802872597	70811.8959329226	89478.9210725667	82928.002383938	65957.916462426	137044.981817322	56954.843728734	55024.4918607156	89720.7411513973	10612.002796634	26172.1416584758	35890.1714499495	226479.066201926	163780.952993493	7320.36985249457	170974.249989432	65950.6287329124	41877.607809407	168815.224570936	84558.2060752181	10107.8044807174	105338.211321017	493568.045753105	41219.2563664614	122963.55987206	58622.9539044245	28690.6045100705	58109.6025827923
87231.4907964502	129634.451643564	51831.2345413313	622732.92505347	70507.480560345	43359.1834213049	12616.4150619031	183317.776649462	26629.4603054834	156992.021833723	94853.763511372	40451.9449391059	46928.2027234244	72966.519178107	92002.8061904753	86365.8828214025	69623.6807427681	140965.690704534	59360.741996187	56869.8795736927	93256.6033293448	11009.3974088227	27067.4087191124	37148.9537819598	237625.632155575	169096.45446863	7560.40837462804	176281.131076855	67776.9581781575	43704.5256983311	176046.358432041	86859.2312858971	10493.8842247975	109206.319412467	504271.740188369	42545.433748145	127702.140864778	61392.985339735	29676.9300367884	61153.2293696842
90356.3761038759	132464.50824958	53565.2324798864	647201.754006884	73619.2806344209	45517.4139407366	13170.3798726926	187323.889523346	26417.4771654718	164733.399425554	98385.6497600029	42098.6420053401	48383.11428735	75106.5560667209	94476.3124127615	89854.5531242713	73435.3645781806	144876.970695877	61824.4438114376	58702.9826752198	96830.0623232207	11414.2943256809	27967.1419810068	38405.9607390057	249105.003772945	174382.810017974	7803.51094045899	181581.517785202	69576.1081566929	45577.6804211115	183413.992120088	89118.5252263431	10885.6895563225	113086.364732887	514588.680762264	43872.0941966399	132480.930977807	64257.6654800072	30665.4665545544	64307.0570740057
93474.8351114269	135187.282565354	55290.3798335046	671834.178635852	76790.3110254111	47739.500533868	13734.6744625662	191197.078773125	26185.0228300278	172697.764353169	101948.254439771	43772.385424776	49830.1151288174	77226.2881769625	96889.1031163337	93385.7468283145	77391.8962723738	148771.546322251	64343.767159545	60516.9755545493	100431.687718942	11826.140708984	28869.1553332805	39656.7179390891	260901.86258249	179623.393158537	8049.35262258431	186861.101624881	71341.4464051273	47494.5387584367	190901.736702543	91327.780322707	11282.7179922138	116965.688250534	524476.134568839	45195.9277610473	137286.769981338	67216.8341797619	31653.3656088044	67569.3707635156
96574.9360248263	137791.960160025	57000.7486163116	696549.405123532	80013.6160537997	50022.1546379776	14308.0679488905	194922.352249661	25933.296504304	180873.910754679	105532.173494771	45469.8005064083	51264.7274221584	79318.6362095072	99230.6326853956	96949.3582473217	81490.660555681	152640.132165984	66914.8380846841	62304.6806168852	104050.496000074	12244.4944353266	29771.1251998698	40896.3665130217	272998.751884879	184799.638411993	8297.63491420685	192107.002693823	73066.5923518608	49453.0856353222	198494.905605156	93478.7054358523	11684.198852967	120830.896477718	533897.17872558	46512.7674106924	142104.664256052	70269.7126698697	32637.7955531136	70937.515780882
99643.9485384735	140267.056213153	58689.6739374961	721258.501305246	83280.7801413314	52361.7664936318	14888.9502613723	198486.316663612	25663.2740332577	189247.221524368	109127.619748356	47187.3656083182	52682.0430963374	81376.6064238207	101490.312859806	100535.931692388	85727.8059853373	156473.643972732	69534.7317553023	64057.5547312008	107675.939758786	12668.7796608072	30670.7525692705	42120.2064474241	285374.118952144	189891.032156692	8548.0424234576	197304.104597703	74745.0919366875	51450.521740359	206174.84485462	95562.518361585	12089.3578892706	124667.36451492	542813.931058311	47819.2284260588	146919.68575133	73414.8093783892	33615.5404030424	74408.1586893088
102669.196713383	142602.714363807	60350.5174566712	745867.01886127	86582.5195837507	54753.9160130414	15475.8794184838	201877.38149644	25376.3230491033	197801.415299044	112725.065776848	48921.2025083845	54076.8385543409	83392.9705582916	103658.469930097	104134.251283717	90098.5298521812	160259.78441443	72199.5735467883	65768.3305275102	111296.172507636	13098.3573903417	31564.9583722529	43323.2008995041	298003.952794186	194878.567234377	8800.16648979357	202436.641511008	76370.7122773431	53483.6864325631	213921.381479302	97570.9906223637	12497.2634908924	128460.916614798	551190.439514631	49111.5207832806	151715.10369829	76650.6699241015	34583.2044917201	77976.8251721359
105636.914856483	144787.342095671	61976.245600278	770278.812360757	89909.8249783921	57193.3268700262	16067.1130187248	205078.910450031	25073.501303854	206518.456668202	116313.266435974	50666.0535179743	55444.6010460843	85360.9340756412	105723.969340363	107732.503311872	94596.7990442334	163990.901968448	74905.049036005	67429.1554178256	114898.18832954	13532.6374544898	32451.465332491	44500.3240000373	310860.600311512	199741.754588059	9053.66489122863	207489.077992072	77936.8288081761	55548.7661845093	221710.47550466	99495.4991552522	12906.9894553291	132196.356916311	558992.740322607	50385.3720013564	156473.570091244	79974.9371805122	35537.5673544382	81638.1756302603
