AL	AZ	AR	CA	CO	CT	DE	GA	HI	IL	IN	IA	KS	KY	LA	MD	MA	MI	MN	MS	MO	MT	NE	NM	NY	NC	ND	OH	OK	OR	PA	SC	SD	TN	TX	UT	VA	WA	WV	WI
64882.4503309564	80267.8545859528	36294.50674583	478488.652659209	112389.915666275	33112.1299744941	9113.50363354159	134882.114502912	9369.07975102877	108256.233009997	58533.7471258845	22648.0193828418	29526.1097293719	49226.2465174146	59528.6366949138	61297.6552034686	65189.0628761856	83421.9912611461	32507.9251622663	39418.9984514762	61936.9247745634	25654.6589736751	17201.9026133978	38213.0162494752	174586.786643747	129383.500616753	4127.79325766367	108427.247218373	44391.1228790607	72234.1129202873	128667.672153147	63960.5479538225	7110.80293777311	83100.3464250588	320065.512101312	56200.4795087873	94847.836530669	123066.987000622	23162.0771243441	43877.162141168
66527.5036569736	82719.8040105527	37675.2546582162	482077.371848283	116536.795615905	34638.6434201587	9510.39929160839	138361.792289874	9408.93319067891	114680.135039759	61748.7008934508	24265.3688009461	31182.2216507443	51396.1160605464	60837.4486077808	63876.202135112	68344.5583775781	88102.3689181904	35041.6801636533	40394.6151886135	65147.338658551	26557.4934849288	18359.6309312981	39460.4567603634	182982.130259329	133395.073550288	4467.33213232557	113898.338315529	46337.4346982596	72391.0284329379	134704.072073467	65645.0701063873	7626.26862880141	86162.5315537042	329116.634261042	58576.7260465923	98455.5033821978	123085.535317492	24127.5244390442	46769.2988484704
68326.8271455378	85074.4256659923	39182.575978101	485014.874338071	120311.861755187	36251.8536137408	9924.3046284094	141960.009073112	9447.64022854916	121710.883501691	65357.315123904	25995.3818027011	32916.2397912213	53823.8569485913	62302.3518894871	66596.1314370552	71677.5858632879	93329.849827467	37775.5021473389	41484.6310936225	68633.7809819129	27357.6790021977	19559.8917363727	40713.1501960386	191999.551569665	137429.31718963	4830.51910508561	120134.860960364	48376.6668589864	72511.918501713	141232.648627408	67328.7221487891	8165.44015471727	89527.5785368027	338956.414378991	60904.9106036313	102214.741544894	122925.231805685	25182.7078847652	49866.1302305395
70308.0956142003	87348.4553797041	40695.4198712112	487525.359355062	123700.368470809	38079.795939056	10396.1214055127	146089.839698915	9485.18548631062	128834.5413117	69045.8772310874	27695.9507025105	34601.6932654926	56363.9355595115	63852.642319388	69700.0848767881	75439.3578959035	98834.1763747944	40583.4147573582	42644.6710069004	72083.7385958261	28081.8289556904	20726.9328309949	41905.3387348185	202178.425631284	142086.064746603	5212.57160458097	126735.614216419	50382.5303470499	72532.8733026012	148607.148994877	69313.6331461988	8694.63322163053	93054.2875493167	348888.195908104	63163.3937429952	106489.57990031	122684.000765571	26353.47990456	53010.129412911
72305.9971130159	89544.5342972915	42233.2206706666	489483.922615999	127117.883612935	39940.7649123341	10876.549009422	150211.192042531	9521.12000455128	136286.541778978	72791.1401235284	29580.0713775962	36433.115122698	58883.3513733079	65397.2808232929	72808.3742154295	79233.064312122	104355.521152001	43717.3761824966	43820.9883434008	75753.3463533232	28816.1079840703	22028.3211344547	43019.1368830757	212493.493077077	146736.083224038	5636.38485792523	133232.26983565	52449.5370273118	72442.3770101189	155986.318600061	71320.4745017895	9293.9482191814	96601.8037113199	358342.330297974	65308.6509759188	110731.058957052	122263.170726777	27489.0038743493	56338.395906583
74334.9371331704	91734.4592034556	43825.40739243	490979.719337073	130318.573050236	41886.8687876054	11377.8795292894	154472.493231175	9558.70013879815	144503.331983407	76951.6263006311	31609.3816792849	38347.5453522886	61653.2721735106	66883.4579756625	76060.5645526752	83091.4730618622	110550.634755633	47225.0419429977	44991.6457239047	79639.5568328178	29445.5243963041	23382.7625586892	44090.7813239126	223396.235825304	151494.172827556	6095.07393873966	140498.120140648	54601.7919123342	72175.0182135682	163895.109584987	73368.9897164806	9921.48598173468	100371.509474331	367703.095730179	67360.5105181561	115142.790108943	121564.126056471	28715.7567685438	60117.6373358954
76386.4799611098	93883.3349885381	45486.849480635	492356.750740207	133279.337634798	43860.451902318	11891.5179072307	158642.465356583	9593.36298762112	153278.485268511	81398.5466404986	33778.2481151957	40292.1740540919	64578.7875177503	68450.6824837842	79382.0339436603	87120.2768314164	116948.173220848	50881.0419558774	46210.5486051278	83678.4751753491	30016.2582752858	24764.2730834659	45128.4771425556	234511.921094527	156180.449682713	6569.24243248059	148098.31335452	56756.6245144276	71896.1446932989	171974.017598362	75357.8266861168	10568.7472054984	104260.761902212	377308.450076357	69370.2162387039	119602.670953566	120762.280843493	29973.4097819779	64076.9993055492
78481.4398621592	96009.9121804244	47105.9780544802	493654.003913231	136089.124795763	45985.4160980687	12443.3009645815	162991.417873422	9628.27617483363	162351.616289432	86092.4924326601	35895.6479866885	42215.5032265976	67644.2496647067	69949.5575595096	82960.802643293	91445.0822017548	123831.16731405	54505.6707172035	47412.4245034873	87719.2281981332	30561.7422498995	26136.6951499825	46106.9917477537	246512.570628083	161246.242667228	7059.67912104822	156372.316615461	58874.2396146106	71534.2762234298	180709.925149924	77475.5820984212	11218.418170047	108214.497915099	386585.746267084	71300.3169443895	124433.100561587	119884.129749915	31344.5819669384	68168.5730985709
80530.9946288509	98095.2468038082	48741.1780330095	494419.268233233	138567.391772905	48206.8477839759	13018.3051369604	167297.124053591	9665.25772427963	171397.33165901	90728.4310340359	38122.9938307839	44182.8298254823	70696.2741879477	71436.4613533825	86690.2715759913	95918.3119890622	130688.883349335	58326.9359899935	48604.8622345533	91796.4166389618	30984.222759257	27574.7645779985	47065.3690546581	258951.45974113	166432.352483002	7597.45863225994	164581.847154866	61039.7290507506	71066.883878874	189720.502474442	79588.4786961898	11904.7903009092	112192.022438793	395875.757376473	73101.7575252789	129464.108362171	118849.313799253	32735.3895636279	72264.9348402522
82330.8776657382	100138.853586582	50314.9589403141	494914.15921376	140532.003216099	50372.585028052	13567.6771216455	171144.677209024	9699.70393058737	180314.152368442	95154.4712049094	40425.0536398377	46187.2646708378	73431.9796523945	72771.9696368745	90224.1990861313	100272.687642878	137485.104098349	62304.901701337	49663.0362801322	95835.7484348226	31354.8672425606	29053.9090687617	47921.963081346	271057.053306478	171176.463269439	8148.11895881513	172338.579248998	63193.2929651352	70525.9427930781	198255.676074096	81523.844910638	12607.0769027628	115743.247707691	404553.046539179	74622.6446778278	134150.482035303	117705.351956701	33985.4240600596	76352.7781649176
83911.2760773612	102181.642423748	51777.8931568974	495536.158327577	142387.88558877	52503.7854137132	14103.9564176864	174457.017183634	9729.50628923342	189161.589834921	99539.8314358692	42673.7169313288	48090.4667018321	76074.5277434069	73969.5789164602	93663.987025843	104617.968990719	144195.495204066	66179.2029938826	50589.0235702964	99721.8791089918	31678.531353883	30469.2953124597	48687.2363919966	282978.865349508	175344.265125226	8691.41862950855	180045.201356834	65188.4955237281	69968.6068368288	206663.020743248	83173.0816482511	13274.6890048727	118979.879139169	412947.537027772	76091.5155133084	138581.228593733	116592.363148662	35178.7525592581	80429.1194515478
85249.8003799466	104255.956041884	53054.4772964811	495950.287581668	144268.834850051	54509.2279365609	14609.6421991534	177339.720442501	9760.97885263429	197183.566505045	103526.252940137	44874.5864711398	49904.2602802323	78402.864808756	75051.7270524211	96969.7460524666	108586.000318576	150452.238526804	70302.8764206438	51394.9244646615	103181.047197831	32103.1611573355	31912.2930542804	49401.8083917016	294227.143821969	179196.402285316	9313.93605375051	187136.859138182	67087.8519092876	69386.178775118	214514.613241267	84663.7459783866	14016.6988600268	121747.201933088	420750.985545619	77529.2521709995	142766.797915879	115530.992237879	36256.3480080895	84377.4722278324
86572.7100858	106271.666774805	54425.8994734173	496098.682384942	146214.20770571	56320.8617553846	15050.3746099464	180065.865234894	9790.82122915095	206110.480043319	107671.558301202	47520.5095345672	52102.3801004267	80661.7511663414	76121.587612116	99781.9391142443	112188.017359196	156936.888387713	75179.3997362616	52212.4981063409	107272.544586024	32449.300913119	33645.5184134072	50144.8724253222	304559.330101035	182318.397345926	10043.8852468792	193960.068795723	69165.7908601278	68766.0765403281	221491.604427243	85937.9599956549	14881.5961965585	124482.304694858	428465.501232372	78960.5985397111	146218.522573461	114399.179011254	37164.5134612766	88759.199886138
88127.753704509	108238.648681638	55954.4368474498	495996.953370265	147775.813224691	58312.2102837878	15539.9520913859	183209.045646075	9819.10011340398	216613.11684227	112706.021297282	50398.6992060684	54391.7296592265	83495.212760489	77307.6353323793	102890.946879601	116068.535096394	164610.240393999	80566.1837102704	53147.7273414401	111849.257730298	32573.4035981982	35360.5601779404	50880.02025519	316247.137960116	185773.432835167	10797.261032449	202419.361579833	71388.5485391726	68062.5299020722	229621.861153508	87364.860524462	15732.7335785395	127778.378854465	436614.218627226	80295.7880262525	150052.844706187	113099.188494976	38294.1166057625	93812.8008404771
89668.5974397115	110133.083986095	57430.3897462541	495579.606390703	148788.664809192	60596.4083543949	16084.0779642753	186249.246825723	9846.25349017418	227078.031958737	117890.22574963	53028.760268926	56359.9198142977	86364.7610677459	78538.8387338471	106287.244154151	120579.029841729	172674.702158927	85653.5244654186	54114.3480864337	115968.127027457	32598.3174210826	36865.9092038786	51472.5718944565	329477.773990799	189531.443228997	11483.2788741758	211240.371586457	73409.2293317967	67359.9669701199	238483.706803793	88849.4940915282	16491.4993328501	131071.322795642	444495.315058065	81467.1155702896	154237.703030025	111722.459224212	39454.1027361104	98815.0166207422
91051.8625769312	111944.51275322	58752.7990886295	494836.751068922	149756.669989099	62899.2321914473	16626.7107161549	189009.253654997	9871.78868839857	237143.012120919	122791.38811311	55682.1185197724	58359.9562469176	89026.7939877848	79580.8663690141	109703.229326784	125227.830524326	180493.388716955	90719.8853183491	54957.0184361495	119967.929606345	32582.2526540379	38405.9358979254	52028.0785063981	342806.321336298	193169.58211181	12212.5700052609	219759.74796041	75307.2341684431	66623.9898728247	247278.004296086	90213.3668777541	17287.6886890375	134082.59723389	451399.007293458	82490.6108278531	158433.213650443	110321.987405992	40580.040158594	103668.010315923
