YEAR	WEEK	AL	AZ	AR	CA	CO	CT	DE	GA	HI	IL	IN	IA	KS	KY	LA	MD	MA	MI	MN	MS	MO	MT	NE	NM	NY	NC	ND	OH	OK	OR	PA	SC	SD	TN	TX	UT	VA	WA	WV	WI
2010	40	4779736	6392017	2915918	37253956	5029196	3574097	897934	9687653	1360301	12830632	6483802	3046355	NA	4339367	4533372	5773552	6547629	NA	5303925	2967297	5988927	989415	1826341	NA	19378102	NA	672591	11536504	3751351	3831074	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2010	41	4779736	6392017	2915918	37253956	5029196	3574097	897934	9687653	1360301	12830632	6483802	3046355	2853118	4339367	4533372	5773552	6547629	NA	5303925	NA	5988927	NA	1826341	2059179	19378102	9535483	672591	11536504	3751351	3831074	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2010	42	4779736	6392017	2915918	37253956	5029196	3574097	897934	9687653	1360301	12830632	6483802	3046355	2853118	4339367	4533372	5773552	6547629	NA	5303925	NA	5988927	NA	1826341	2059179	19378102	9535483	672591	11536504	3751351	3831074	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2010	43	4779736	6392017	2915918	37253956	5029196	3574097	897934	9687653	1360301	12830632	6483802	3046355	2853118	4339367	4533372	5773552	6547629	NA	5303925	NA	5988927	NA	1826341	2059179	19378102	9535483	672591	11536504	3751351	3831074	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2010	44	4779736	6392017	2915918	37253956	5029196	3574097	897934	9687653	1360301	12830632	6483802	3046355	2853118	4339367	4533372	5773552	6547629	NA	5303925	NA	5988927	989415	1826341	2059179	19378102	9535483	672591	11536504	3751351	3831074	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2010	45	4779736	6392017	2915918	37253956	5029196	3574097	897934	9687653	1360301	12830632	6483802	3046355	2853118	4339367	4533372	5773552	6547629	NA	5303925	2967297	5988927	989415	1826341	2059179	19378102	9535483	672591	11536504	3751351	3831074	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2010	46	4779736	6392017	2915918	37253956	5029196	3574097	897934	9687653	1360301	12830632	6483802	3046355	2853118	4339367	4533372	5773552	6547629	NA	5303925	2967297	5988927	NA	1826341	2059179	19378102	9535483	672591	11536504	3751351	3831074	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2010	47	4779736	6392017	2915918	37253956	5029196	3574097	897934	9687653	1360301	12830632	6483802	3046355	2853118	4339367	4533372	5773552	6547629	NA	5303925	NA	5988927	989415	1826341	NA	19378102	9535483	672591	11536504	3751351	3831074	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2010	48	4779736	6392017	2915918	37253956	5029196	3574097	897934	9687653	1360301	12830632	6483802	3046355	2853118	4339367	4533372	5773552	6547629	NA	5303925	NA	5988927	989415	1826341	2059179	19378102	9535483	672591	11536504	3751351	3831074	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2010	49	4779736	6392017	2915918	37253956	5029196	3574097	897934	9687653	1360301	12830632	6483802	3046355	NA	4339367	4533372	5773552	6547629	9883640	5303925	NA	5988927	989415	1826341	2059179	19378102	9535483	672591	11536504	3751351	3831074	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2010	50	4779736	6392017	2915918	37253956	5029196	3574097	897934	9687653	1360301	12830632	6483802	3046355	2853118	4339367	4533372	5773552	6547629	9883640	5303925	NA	5988927	989415	1826341	2059179	19378102	9535483	672591	11536504	3751351	3831074	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2010	51	4779736	6392017	2915918	37253956	5029196	3574097	897934	9687653	1360301	12830632	6483802	3046355	2853118	4339367	4533372	5773552	6547629	9883640	5303925	NA	5988927	989415	1826341	2059179	19378102	9535483	672591	11536504	3751351	3831074	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
