V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41
3778507.56685332	3603050.69363907	3539491.01738407	4095076.16884445	3872579.90135883	4068493.45892082	3736125.258648	3674592.2063216	3609930.73188514	4122165.41513765	4244054.73523105	3505761.52913127	3967188.03097568	3505343.87098305	3588591.63089665	3697736.99089844	3809936.03383436	3578085.24829589	3214056.99637117	3690702.91970511	3511802.55173065	3957475.04936876	4025836.0555186	3787433.26718831	4140846.76058081	3544767.71752378	4097175.88069783	3947998.4922512	3524757.1066346	3863767.13766175	3382006.84481916	4093646.88576055	4463337.9688893	3390129.64463892	3641652.23733174	3858228.2484967	3883569.19790189	3522799.62959031	3803541.6289102	3523095.14992985	4206689.79275365
3919614.82197848	3743100.73460202	3678203.84484989	4228727.05231401	4020893.94683293	4205555.11375196	3866567.96958158	3804272.79220776	3747657.13471492	4290641.05432688	4400617.40745053	3634419.8967349	4119515.83897435	3640533.76637809	3731585.85014154	3841233.63269069	3963538.35670875	3712993.5912057	3344849.61277705	3825654.99036829	3657144.78055762	4120807.89834811	4150322.0964648	3924393.24161361	4295278.06230673	3680853.27031382	4234124.59158594	4089284.73517677	3673351.45525001	4004208.68546051	3519612.80460517	4233916.60082937	4633483.56767892	3516079.69666858	3759172.624093	3994278.90313288	4019906.44335811	3650805.89143115	3955464.71216582	3653694.07780195	4348320.10410085
4062357.03871918	3885241.445942	3819144.24924167	4362934.61591516	4170978.44766834	4343271.57409771	3998221.74683921	3935223.50449707	3887285.35228591	4461865.5248061	4558372.21503025	3764735.83352822	4273682.04658997	3777807.45458126	3877021.58822794	3986747.704592	4119455.71385034	3849792.90556632	3478351.13825183	3962156.61122706	3805263.16991979	4286917.13535531	4274903.33357421	4062785.02743173	4451027.7223081	3818949.35205805	4371639.86991821	4231794.37245261	3824831.71273505	4146042.17163678	3660294.70552539	4375015.3712591	4805072.92507318	3643869.14119612	3877338.30410639	4131556.89751326	4157490.95505788	3780447.72278596	4109604.39915789	3786136.87758717	4490482.52767912
4206413.25194274	4029210.74240331	3962031.77953395	4497388.81340281	4322500.65167197	4481283.86428946	4130792.74261593	4067152.58312787	4028535.22098143	4635419.59196309	4716934.54785733	3896445.3624602	4429332.84703467	3916906.93218433	4024612.57972838	4133968.08585425	4277337.56755194	3988215.27239493	3614342.25215473	4099942.19132496	3955880.03255617	4455424.40318875	4399287.67063876	4202300.69459557	4607694.09865768	3958782.86032977	4509379.12129383	4375201.27866438	3978920.75010031	4288936.28833254	3803822.90244616	4516599.5068446	4977592.7665834	3773269.44710973	3995890.11648171	4269742.63065368	4296018.76787274	3911461.79397974	4265634.12952917	3920180.80230315	4632785.24054321
4351448.48604496	4174718.51755295	4106583.72318419	4631732.36788669	4475105.0919853	4619204.43830552	4263964.55087348	4199760.06157642	4171086.76482252	4810838.32168687	4875903.70385997	4029269.1160035	4586082.82622636	4057544.68874932	4174027.96040609	4282560.92745926	4436819.8147547	4127982.74630746	3752590.52526967	4238712.97967384	4108698.62836163	4625901.74654441	4523171.39860649	4342632.64539511	4764852.84540803	4100052.3144736	4646987.59082722	4519159.50634199	4135310.38307451	4432559.22735936	3949932.12168665	4658299.38781612	5150508.75248124	3904028.57633408	4114548.46650354	4408492.86956323	4435161.15695508	4043564.81901617	4423204.21820761	4055547.00583876	4774813.79335587
4497087.43538563	4321448.61289399	4252480.94617101	4765615.53593257	4628407.5535797	4756632.04573523	4397429.73082944	4332717.2576339	4314600.35205029	4987601.61105166	5034852.76945406	4162910.3553702	4743525.85246967	4199397.6230332	4324929.68029874	4432160.9809855	4597503.23763202	4268784.93525417	3892818.24881009	4378165.94960002	4263368.29231485	4797895.572664	4646239.33417729	4483430.90778398	4922048.24179246	4242420.02162906	4784093.25367697	4663298.00002256	4293656.40326352	4576546.76443621	4098322.70149464	4799733.32364259	5323241.23072896	4035881.66241557	4233021.9606396	4547418.31574254	4574565.86314927	4176451.39267858	4581930.39206359	4191931.95930113	4916133.41707406
4642944.46136906	4469059.42964613	4399374.38526288	4898677.05128641	4782001.96850334	4893151.41076827	4530837.55098754	4465675.94241529	4458704.8073257	5165143.83296225	5193331.58840747	4297032.98037873	4901236.29433694	4342126.69356812	4476934.43048192	4582379.13535856	4758958.0085592	4410294.19350263	4034738.74709209	4517955.29053958	4419524.31094604	4970892.34336939	4768156.25417653	4624332.69400631	5078809.62594742	4385536.84717831	4920308.60450758	4807228.64207257	4453574.97540071	4720512.96951935	4248655.69267349	4940489.81933142	5495196.5166904	4168539.7892715	4351008.38811029	4686141.52579604	4713859.91069005	4309798.38083073	4741407.24524276	4329010.12529815	5056290.00634088
4788608.91719115	4617194.02584145	4546898.62572955	5030521.28568374	4935449.5432551	5028341.28005655	4663829.67291216	4598280.81100793	4603008.75064931	5342861.03256234	5350869.93793633	4431299.70610206	5058739.65699458	4485360.75127335	4629621.66958871	4732801.22549741	4920726.68686636	4552150.39915657	4178025.92866996	4657722.40483672	4576761.86061996	5144334.65776436	4888578.47864658	4764947.80560819	5234638.42780928	4529011.997271	5055232.37808528	4950532.83998791	4614660.41587145	4864040.02570664	4400558.1597294	5080144.59723748	5665724.62621003	4301692.09425207	4468198.11811554	4824249.66948308	4852651.93581369	4443252.9351445	4901201.32363292	4466428.6604703	5194827.70775541
4933638.94266598	4765458.83874913	4694646.1050546	5160761.09916996	5088305.19487623	5161758.62982202	4796039.84215093	4730147.87276622	4747093.8351182	5520108.49028846	5506982.12449638	4565341.20925722	5215558.18843494	4628710.32686696	4782558.19851141	4882976.23522575	5082316.87247042	4693984.37725691	4322327.38718777	4797109.15910501	4734639.9624205	5317647.38651668	5007150.61791119	4904878.37800406	5389017.54280674	4672452.74154452	5188445.46694352	5092796.18377145	4776462.26076766	5006712.13292268	4553619.73349373	5218260.63901996	5834183.47099219	4435006.51923566	4584263.21156954	4961311.93492034	4990525.94013773	4576444.6810415	5060843.598359	4603814.38608132	5331277.13479925
5077585.25475317	4913459.26042879	4842206.01987606	5288993.60456992	5240086.15385633	5292960.21532384	4927073.75086442	4860885.75038418	4890521.30839757	5696186.18654144	5661171.24974034	4698772.79503169	5371182.99338935	4771765.66165361	4935269.74468453	5032446.42278854	5243213.62452538	4835407.76501084	4467259.95868881	4935716.12835974	4892695.23822749	5490206.9643029	5123525.81136273	5043700.61522926	5541413.75749842	4815422.53440404	5319512.25202551	5233569.02642049	4938508.11560177	5148080.20755506	4707388.43915088	5354390.28497994	5999905.15272801	4568145.3137413	4698857.54751806	5096876.15902174	5127055.85110074	4708980.87952533	5219854.63043924	4740778.41341295	5465158.80273011
