X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41
AL	-0.0388692901708658	-0.0466526263291072	-0.0308255676500384	-0.0338109559774228	-0.0558060063090286	-0.0692525657418717	-0.0283089377846452	-0.0356245504642774	-0.0406841744004451	0.0169475968105177	-0.0561778943915251	-0.0370676079522362	-0.0301444595716069	-0.0547961476948659	-0.0131138917246643	-0.0397598892564761	-0.045749745477237	-0.03132901036578	-0.0175018906246871	-0.0419409188315968	-0.0234124511458571	-0.000227423416493823	-0.0743576811972006	-0.0279779643429962	-0.0515573229599532	-0.0489861951795312	-0.0343431005950802	-0.0340051664347708	-0.0504376780821542	-0.0342589826892818	0.0299291743818161	-0.0223728027735162	-0.0558952793264552	-0.0333593090577693	-0.0463046949980202	-0.0299952186259945	-0.0356786891220954	-0.0210886862206066	-0.0547958166917317	-0.058152070206369	-0.0627674136009966
AZ	-0.0691248237001914	-0.0776982324756084	-0.052622611125561	-0.0647005940689114	-0.0930117061592409	-0.128179103969515	-0.0478650287071924	-0.0615109513511351	-0.0702695512296906	0.0252982813739558	-0.0907186107988216	-0.065320789546429	-0.0467517899048173	-0.0993333819814853	-0.0263446682418392	-0.0711950054539096	-0.0820418284159156	-0.0501039118140995	-0.0250127826094423	-0.0654088624045232	-0.0418455588137193	0.00539624391518912	-0.124928227252444	-0.0472433365265175	-0.091678250077758	-0.0869601358856915	-0.0591264402002411	-0.0545813011252869	-0.0862931319678902	-0.0540048927760735	0.0666154124478772	-0.0343071563670207	-0.101978550959596	-0.0557526919669599	-0.0855261893815645	-0.0594703095600308	-0.0641448862846661	-0.0368796242401774	-0.0929840338005087	-0.106503101342351	-0.118424673610082
AR	-0.0558142206036208	-0.0709898427190943	-0.0504472133062074	-0.0364984204269634	-0.0748698409204949	-0.0730164628395805	-0.0479515873235426	-0.0506659161383121	-0.0529681771537768	0.00915240328900666	-0.0802501406967879	-0.0512554196716722	-0.0498971664052023	-0.0614666727494327	-0.0252999835542647	-0.0569231499444633	-0.0645079028206826	-0.05384797852211	-0.0295221437236288	-0.0646720039260313	-0.0382089648997068	-0.00788983015007503	-0.0906339978087275	-0.0513699420574533	-0.0696059694087612	-0.0552594458126433	-0.0573522976066198	-0.0526709550638126	-0.0637642014808453	-0.0544267347838534	0.0321479606140784	-0.0432114891287963	-0.0608852522538128	-0.0537660419262838	-0.0614092785403675	-0.0321473026806055	-0.0352670952642553	-0.0371059997049838	-0.075662904817958	-0.063902059114271	-0.0686784404125682
CA	-0.0442836515943036	-0.0608409823989583	-0.0416121079195652	-0.0360367198717316	-0.0689471601301345	-0.0737922894275004	-0.0393790165182813	-0.0426466868760984	-0.046504408864856	0.0117352318492808	-0.0692696117741559	-0.0427240191633354	-0.0405811537565526	-0.0594383476241357	-0.0210572306426837	-0.0493904694236467	-0.0567615108631233	-0.0432408776093907	-0.0265575656856422	-0.0532448769330481	-0.0318996554048511	-0.00339572414743618	-0.0835045077209388	-0.0385053458394896	-0.0618170085961785	-0.0527526819389253	-0.0489035886200095	-0.0458422522174739	-0.0590489061000164	-0.0431425197237585	0.0330662214744049	-0.0317299123260328	-0.059608255624217	-0.0426760439109235	-0.0549298119732979	-0.0318896978474381	-0.0379064377889614	-0.0279763392536608	-0.0676435751157521	-0.061489408708694	-0.0657867121834217
CO	-0.0582494102178933	-0.0763942130661146	-0.0524315088871492	-0.0371908932403561	-0.0795110133123765	-0.0769475956497613	-0.0495745055538548	-0.051659955887253	-0.0559782622814567	0.011105277259118	-0.0855950671898356	-0.051856321700259	-0.0533565192019822	-0.0656066439383886	-0.028782085395224	-0.0588000555154448	-0.0705773962965994	-0.0575479391189345	-0.0324413487088975	-0.072302651050496	-0.0416374008483632	-0.00887023001467653	-0.096386574279182	-0.0536364434330056	-0.0729580116928037	-0.0588340627111563	-0.0605980524771552	-0.0565294676892807	-0.0672899249576967	-0.0578119227606961	0.0335148009470036	-0.0443155945710476	-0.0619702699529673	-0.0586227501025957	-0.0615278899452573	-0.0314848846677084	-0.0382118772581967	-0.0396522084041317	-0.0811881668170258	-0.0664195240522569	-0.0707419888471112
CT	-0.0568291437067278	-0.0748329434729321	-0.0527388935099603	-0.0388638017496936	-0.0798656006817641	-0.0776354914605886	-0.0488694031762186	-0.0504544922554488	-0.0554235239885618	0.0122509575122791	-0.0865670383558273	-0.0553528239406832	-0.0517616502275146	-0.066837640127535	-0.0263230234590655	-0.0611402261325043	-0.0662398269708867	-0.0563126744855937	-0.0317716256275929	-0.0680549473507047	-0.0376808107589091	-0.00679734935430368	-0.098095063073791	-0.0507084585386396	-0.0732351465078712	-0.0563119989328439	-0.0600930755371108	-0.0563884492986388	-0.0674730243080234	-0.0555645827666326	0.0306570791408293	-0.0433904606089128	-0.0635476422027889	-0.0552212520002263	-0.0634350410138174	-0.0352621579771875	-0.0352477483454742	-0.0375110272557589	-0.0804450203197359	-0.0662819291295168	-0.0717454144924682
DE	-0.057923092898337	-0.0771362636416058	-0.0563641990754556	-0.0353095771441507	-0.0787714818268255	-0.0763715899335451	-0.0530974497062327	-0.0536539486442279	-0.0548152141332388	0.0125025850221902	-0.0862442349352304	-0.0545387650236617	-0.0537316216249552	-0.0649982962686252	-0.0307077888748656	-0.0592954098135642	-0.069054093500278	-0.0577039102841261	-0.0330734892306085	-0.0706059952691181	-0.045991675470147	-0.0114776731428012	-0.0961599177267546	-0.0546620608384127	-0.0729588682948672	-0.0592720161043892	-0.0606219505719708	-0.0591611153434703	-0.0674759425030921	-0.057366730889414	0.0338103193330086	-0.0479557666206556	-0.062403479399196	-0.0579971871576542	-0.0613373056534135	-0.0342773463560133	-0.0376655605091528	-0.0382443602601492	-0.0794888712442772	-0.0649557334738977	-0.0714976381548617
GA	-0.0621520801852302	-0.0794554282961304	-0.0610507717803994	-0.038626601592895	-0.0809635996830186	-0.0758280421145513	-0.0563933258989768	-0.0559000517315737	-0.058388104775749	0.0111736859157729	-0.0881618369165444	-0.0579432172191531	-0.0603810276046162	-0.0644914088163723	-0.0366734124426216	-0.0628292962339992	-0.0721554397309487	-0.063417511427706	-0.0415194273102472	-0.0742547319356004	-0.0481306863115448	-0.0156131266514421	-0.0947326540616846	-0.0578364891283217	-0.0736883448077722	-0.0582472435833914	-0.0660866157060152	-0.064789421329783	-0.0708702023221407	-0.0631209720218742	0.0285724852353771	-0.0517933235508147	-0.0617261571427391	-0.0611969076025338	-0.0633277912987914	-0.0301640408311299	-0.0363340823891394	-0.043534241614376	-0.0821467828940014	-0.0635748870228584	-0.0687929020808365
HI	-0.0569676034693242	-0.0680125641886634	-0.0438990756235607	-0.0673648294794758	-0.0828858772428945	-0.12971276450373	-0.038595765465729	-0.0542873775087843	-0.0658759700730953	0.0288376296139147	-0.0800665280809428	-0.0578610834942604	-0.0331547986902748	-0.0959169125609372	-0.0135708878761129	-0.064693405399984	-0.0711489167765419	-0.0386034600759186	-0.020201585525602	-0.0574394161904946	-0.0287277132426934	0.00850447596884124	-0.123236314150987	-0.0389844864079993	-0.0828750470912293	-0.0840762147309968	-0.0515060860577769	-0.0433466721862114	-0.0820440206063792	-0.0485495071027052	0.0643695157235246	-0.0262355249488806	-0.0993737421292016	-0.0425026637674449	-0.0820589152912777	-0.0590165571827478	-0.065860406068222	-0.0307260338666641	-0.0848500075336242	-0.106370165557214	-0.119646268159566
IL	-0.056468670028442	-0.0748110022382833	-0.0542534804299275	-0.039165809514106	-0.0805701823495648	-0.0780118144456688	-0.0480698928896444	-0.0550962346108359	-0.0586197498140776	0.0130099086400131	-0.0875374590978221	-0.0523285697178561	-0.0512859835749069	-0.0661470718392361	-0.0277548042408086	-0.0587930108432433	-0.0683089224041815	-0.0578497243419453	-0.0341643849181219	-0.0716282803678509	-0.0407350907468018	-0.0093882747126088	-0.0970728994550285	-0.0507491069109043	-0.0758635833042908	-0.0597949280012006	-0.0609093329416461	-0.0592846045325055	-0.067896605049356	-0.0567769834626963	0.0315096722956225	-0.0423857885488459	-0.0637085857730751	-0.0555403963890513	-0.0638158112091723	-0.0331378409781321	-0.0362143350922772	-0.0405771303048544	-0.0812858591386503	-0.0655739956993886	-0.0712046107783266
