V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41
4031328.26085586	3360391.18155962	4102292.79162465	5187884.26124934	3270673.4730839	3035731.02631129	3860396.72448719	3940671.42331621	4256161.73286938	3667862.04591284	2766654.95835257	3982736.9670043	4233424.81634498	4163033.91843358	4556981.75656849	4163405.03311008	3971345.23310582	3833110.33827509	4177834.95350852	3372946.36647111	4573831.39165705	4664631.35754273	2065973.30788708	3926296.39882343	3579051.32450133	4339861.75167374	3496213.72285749	3784997.11166726	4285562.51176741	3860635.72918485	2456284.42298806	4113940.80241632	4745166.72161701	3710890.77376832	3403300.3147311	4778737.28993027	5033438.2347802	4191782.59440353	3385976.37021365	4156999.8932266	3461228.64794471
4004574.02111019	3310714.01173081	4090714.96231486	5195598.82672031	3211633.39810645	2967935.34963493	3843670.35021488	3926447.97448433	4248488.38591187	3842487.4581842	2698557.40238097	3975854.83936042	4206262.00335777	4143585.72801219	4617763.78100761	4138986.50280846	3924003.07697808	3811079.52141801	4236538.08134433	3329292.39531308	4601703.26369035	4790813.27917137	2016679.3787084	3904324.44868719	3520110.00619356	4335959.40299866	3452522.57619521	3748867.79683464	4254431.4352014	3828513.24815792	2593594.02526973	4094989.26939966	4669672.74763556	3695987.5532425	3376692.99256612	4839938.16889428	5073092.49722082	4214488.55327774	3324813.33393868	4133151.53952076	3393760.54058193
3975656.51649238	3260330.48612045	4076780.44912236	5199125.96078485	3152355.4582908	2900990.6855153	3824968.02513243	3910000.77137773	4238008.19112494	4021869.56734631	2631353.66650938	3966601.89804001	4176793.31907983	4121554.69770974	4675793.95010077	4112146.88999886	3875031.40519146	3787202.30548623	4293073.81047797	3284743.61146036	4626448.65978008	4915872.15294889	1968289.03153282	3880360.97253905	3460497.41230318	4328997.49263893	3407782.81634315	3711155.26147887	4220768.61513347	3794606.29823975	2737004.36540412	4073795.24767858	4592522.92600987	3679254.78567722	3348699.99245558	4897620.80319239	5108643.24524267	4234578.06548225	3263334.51469253	4106870.392183	3326490.40800898
3944677.36562438	3209363.16252115	4060560.26570789	5198546.88586461	3092953.39971268	2834977.60205475	3804351.55468702	3891394.17593674	4224782.87166078	4205683.73600206	2565118.90074924	3955027.28033235	4145113.04642688	4097027.75237969	4730924.06681454	4082990.91640502	3824582.79091583	3761545.03565188	4347298.72429522	3239406.90285321	4648022.2861294	5039413.50250408	1920829.28155085	3854486.67712743	3400357.44629835	4319030.76330937	3362108.26283823	3671966.12659987	4184706.74961266	3759013.37272193	2886563.31602522	4050438.99445598	4513970.88158459	3660757.71103957	3319401.2801762	4951628.26842889	5140042.32355481	4252007.85331757	3201659.70124348	4078260.83994174	3259538.94565909
3911726.29814356	3157921.6584422	4042097.52690483	5193932.73996551	3033548.15144309	2769957.65640308	3781886.74739961	3870700.78204956	4208873.50824515	4393565.58482517	2499933.51965341	3941182.79198361	4111316.4029364	4070116.28929663	4783012.77230727	4051615.30112683	3772788.63449869	3734185.90691759	4399091.71875906	3193384.91653223	4666385.66570554	5161070.23032815	1874327.61270488	3826777.09485445	3339817.39763952	4306121.93057219	3315605.21677843	3631403.43424831	4146383.76709084	3721846.49371854	3042261.69380539	4024991.06537175	4434255.04281217	3640558.1568284	3288878.78711579	5001796.71773942	5167229.33293799	4266755.4042013	3139916.78783063	4047444.90529325	3193013.57928005
3876914.8092398	3106111.53303427	4021470.49280359	5185350.44245734	2974249.08804471	2705993.23488105	3757644.29157282	3847990.32848977	4190352.9633379	4585078.4790136	2435862.37863544	3925129.10633752	4075514.93005319	4040927.58386157	4831916.62830555	4018130.79833268	3719796.41162265	3705205.05279114	4448328.07658123	3146786.90038116	4681488.52673838	5280446.82884479	1828803.4729874	3797312.28165308	3279012.1457524	4290345.54782127	3268382.85958313	3589575.46288313	4105924.83165455	3683204.01351043	3204049.34325797	3997529.38361028	4353598.07613736	3618710.5976929	3257211.85974518	5047979.22097074	5190155.0380652	4278802.9354034	3078231.34166952	4014537.7528247	3127017.05266669
3840352.32508083	3054037.02947072	3998741.11643428	5172899.45513343	2915154.94133881	2643135.52923415	3731693.97210927	3823341.10722646	4169297.93273683	4779741.09932641	2372965.57446311	3906930.37717603	4037811.93566486	4009567.45268934	4877511.25248419	3982651.79211501	3665748.13652876	3674685.50739989	4494889.7855075	3099701.84882933	4693322.31662044	5397145.74954195	1784278.24006547	3766179.9965644	3218064.84225865	4271784.65319169	3220542.16070766	3546592.63692897	4063469.10794211	3643195.35643556	3371834.22514154	3968134.75302474	4272218.83385594	3595288.31033941	3224486.29124236	5090045.02076165	5208795.08367717	4288138.73037928	3016713.37043597	3979657.2558586	3061633.35852971
3802150.70584431	3001796.93632145	3973989.32527487	5156678.1999566	2856360.79108078	2581429.30818699	3704114.69116265	3796830.30855172	4145800.03392258	4977004.34236148	2311290.55255652	3886657.06785733	3998315.71356102	3976144.26855523	4919649.86968153	3945285.26052213	3610782.82514248	3642713.38165991	4538664.39585062	3052232.06390494	4701865.39986739	5510769.45966975	1740761.75458999	3733472.79880475	3157092.70555032	4250526.807726	3172181.47240057	3502560.97713191	4019156.83568594	3601924.66270538	3545488.47840978	3936891.07761986	4190318.25590315	3570357.8894075	3190791.72268935	5127879.26171756	5223154.048083	4294746.91952542	2955462.81743723	3942921.54501273	2996951.16842036
3762413.27797543	2949489.57585052	3947302.97488104	5136797.08588226	2797958.67068691	2520914.55283467	3674984.6930056	3768547.36723307	4119944.32856067	5176253.05540968	2250878.55080524	3864372.10939446	3957133.26627009	3940778.07680762	4958241.93263278	3906151.99802227	3555028.48527881	3609373.19431004	4579534.61859614	3004467.50178206	4707121.07096193	5620908.97982542	1698266.99829214	3699277.46658929	3096208.62682729	4226657.92886517	3123408.89845124	3457584.84264846	3973124.61479051	3559493.8726287	3724809.93145493	3903891.29737736	4108104.04615695	3543987.85816306	3156202.16622581	5161390.34190547	5233217.68301783	4298638.27209164	2894574.03304025	3904449.29417833	2933042.35159648
3721254.67285489	2897204.2465045	3918748.64700441	5113373.67812891	2740034.87044488	2461621.21297101	3644386.55798179	3738579.68607287	4091825.64876761	5376819.23015331	2191765.21632302	3840162.49389549	3914370.8434919	3903589.25955868	4993173.72194989	3865370.64783935	3498618.22621345	3574757.39991568	4617408.23043282	2956500.36155282	4709088.97472087	5727169.95439635	1656800.59884263	3663684.27109763	3035518.03097309	4200282.7697393	3074321.33820638	3411767.82994721	3925510.95027742	3516008.38780368	3909550.91067759	3869226.95767253	4025756.08862509	3516256.93900129	3120797.23078386	5190473.92302337	5238997.00175678	4299827.52969514	2834146.36393847	3864366.44579703	2869972.99464348
