V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41
3084973.48240158	2321415.74930804	2316457.70500585	6450358.43039898	3286121.28088955	5363026.20166446	2322132.03994202	3020786.4230691	3608048.46130779	3014277.03072384	2722338.92334126	3049939.80448356	2298797.96293646	5306302.39804869	2436463.30923586	3281561.46701054	3244537.67367794	2081150.56121073	2261940.11682364	2232262.62827077	2469171.91063234	2488615.72207795	4138141.08427793	2297263.58284314	4063962.65220007	4989610.46377154	2573794.93777623	2337153.71125238	3767914.00578963	2503597.15179567	1916014.72262266	2247256.40999934	7395506.14797894	2176060.83448426	3953900.11545087	5904416.29369468	6389437.31346003	2565859.02123049	3162946.9229173	6451138.9470644	5845657.99095007
3202970.55527648	2420277.07345385	2420601.67312991	6427717.55218344	3399840.85822893	5213651.54927542	2421083.14677749	3132398.54422402	3734197.23018998	3162866.55811442	2825857.24598844	3162862.47537051	2406595.64676001	5422006.1632846	2550480.90145089	3405145.01084022	3369361.27854541	2176087.94831738	2366743.39468777	2327504.99095333	2584135.03396506	2616016.14974567	4214351.93617662	2398202.89690958	4188155.16476995	5114011.34537034	2677004.01685451	2439190.98628026	3902923.12075223	2609601.77842353	2016648.76708522	2349251.13071534	7304431.01491929	2270083.72179308	4057406.16677307	5989196.40845026	6430002.1856546	2672630.2977914	3278430.52499285	6488819.53898942	5709678.37286855
3323203.72182139	2521925.46213883	2528014.26145555	6398860.68955706	3515119.68429208	5065176.57201265	2522905.39485844	3246012.59724934	3861745.43680974	3316425.47007082	2931454.46277817	3277787.86392532	2518001.37275825	5534351.55607762	2668290.11556382	3530816.40533692	3496448.31438008	2274211.97147132	2475081.8773099	2425526.35216137	2702824.58079175	2748275.442964	4289999.78104092	2502215.51707251	4312856.19472548	5236133.56016183	2782726.47807601	2544260.52816279	4039453.89820072	2718496.84114483	2121767.42367743	2454563.84350651	7206002.94852288	2366975.53514526	4160502.66571314	6068287.36842524	6463596.30412524	2782233.50199599	3395812.11887496	6518949.83916958	5572485.84323116
3445533.45702792	2626334.80527428	2638665.70719267	6364030.58350733	3631850.21352775	4917975.727444	2627563.984482	3361491.4120093	3990455.93120835	3474819.04332196	3039081.73470865	3394563.39724844	2632992.06940741	5642944.92974602	2789836.43884349	3658402.24578057	3625644.52536356	2375525.22529112	2586932.37606413	2526299.65373307	2825186.2548721	2885364.54739947	4365030.16442112	2609272.61199702	4437859.30538275	5355581.92953451	2890904.92034745	2652324.8836742	4177255.06943692	2830232.57448362	2231433.79817089	2563174.11747905	7100781.42427889	2466714.01322146	4262978.87718163	6141383.80084637	6490160.60232993	2894585.83079695	3514989.45414105	6541483.54736586	5434549.85187975
3569798.83115916	2733472.16764918	2752515.42987585	6323450.59797839	3749903.68716912	4772401.5556254	2735002.45794958	3478680.80769872	4120076.10734504	3637860.73000696	3148697.64410533	3513029.01662971	2751543.10964819	5747404.79397463	2915054.86843313	3787712.36646924	3756795.87299992	2480021.55799553	2702250.4442408	2629799.16644851	2951152.34131399	3027231.44555776	4439386.53275382	2719335.70906413	4562948.26781495	5471947.44212779	3001467.85449428	2763351.27316513	4316067.15860824	2944731.28117237	2345693.38183058	2675057.10590455	6989360.25727771	2569271.48550481	4364603.48430263	6208208.16009626	6509663.75231678	3009588.97201203	3635849.45209026	6556391.64023603	5296308.07558669
3695825.62506751	2843294.31067236	2869503.65445203	6277377.01026935	3869164.30283574	4628758.68072939	2845164.88051048	3597412.69913199	4250337.78858358	3805317.35496401	3260258.89790321	3633013.63015943	2873604.74488208	5847366.61685202	3043853.53715204	3918541.35850475	3889724.67655859	2587677.37031542	2820972.23612352	2735992.37334915	3080632.73039061	3173774.20841855	4513006.83319358	2832348.0822689	4687901.70268288	5584828.6812903	3114330.49543422	2877280.23642432	4455612.37228093	3061915.71153525	2464573.7996754	2790154.22624136	6872327.20501474	2674606.53355832	4465145.62520187	6268507.64858298	6522096.89513628	3127127.71796521	3758279.13232206	6563677.38569423	5158169.46975373
3823435.32683703	2955749.34000811	2989553.60503443	6226063.91905056	3989494.17611075	4487312.67349734	2957973.55032155	3717506.88310339	4380956.82770787	3976907.91942984	3373720.63617331	3754318.21622705	2999115.5421449	5942465.73341563	3176124.10817546	4050666.84756149	4024246.12697766	2698461.57236015	2943015.76544672	2844826.85218751	3213514.99106487	3324873.91699828	4585814.0892409	2948242.61275026	4812476.97136917	5693825.65173854	3229401.30141669	2994045.30307945	4595597.4019628	3181687.34793004	2588079.69798796	2908413.15739465	6750256.40014907	2782667.09622995	4564362.56932399	6322069.08712196	6527498.96930284	3247071.04958755	3882136.28605543	6563399.01001271	5020516.69671708
3952413.7279812	3070779.22920237	3112574.65254611	6169797.77844863	4110743.6305618	4348302.43981151	3073337.45473213	3838763.42830356	4511624.49782915	4152309.61049411	3489033.25091414	3876732.49190525	3127994.71323162	6032346.82974038	3311720.75570235	4183844.86940518	4160145.149413	2812324.18148394	3068271.52005266	2956250.71579796	3349661.69842151	3480373.11460006	4657733.46013188	3066936.82798628	4936424.01670072	5798540.0129003	3346575.28549655	3113564.38056431	4735695.27664594	3303939.74451954	2716190.35788632	3029758.7347473	6623735.1151357	2893386.97430163	4662017.89748774	6368695.23802111	6525937.16541987	3369264.7873696	4007292.63718702	6555648.06908152	4883696.64588561
4082542.28923786	3188305.31567777	3238453.8123526	6108850.70714336	4232765.58340306	4211943.55869156	3191148.97156138	3960964.7529747	4642021.98304231	4331126.62510994	3606141.69525581	4000031.11229502	3260142.02568426	6116675.84071099	3450480.52639992	4317815.51234879	4297204.5885787	2929202.04482137	3196618.81966826	3070200.83562683	3488906.90463198	3640068.83055211	4728662.07068832	3188323.31993381	5059477.10760412	5898573.2334136	3465733.14656828	3235742.16574798	4875578.05003981	3428541.61689368	2848854.65503438	3154092.10949935	6493333.84824728	3006682.57151084	4757851.7972978	6408239.40601933	6517487.67372265	3493538.91138341	4133607.89007716	6540532.20137817	4748021.63334704
4213583.79584815	3308247.51391269	3367068.19720125	6043512.30688809	4355388.50139682	4078413.90606519	3311289.83822797	4083875.85755522	4771813.13703575	4512938.10719711	3724996.15272974	4123971.46426915	3395441.13403994	6195142.43362809	3592203.67636703	4452290.47264876	4435181.48075924	3049026.05360604	3327898.37551099	3186592.84126819	3631066.51580306	3803724.30355134	4798503.91931285	3312290.50799835	5181358.34116425	5993555.9341358	3586743.69742034	3360465.83282934	5014891.56198773	3555353.07601803	2985994.36482891	3281296.68835016	6359611.59916703	3122459.8254146	4851622.16720086	6440559.33520801	6502267.24248691	3619696.25171163	4260913.81790454	6518213.58000563	4613785.69531501
4345273.35541804	3430509.44210329	3498263.0012474	5974083.92045953	4478436.33609912	3947857.04733847	3433617.65823452	4207256.50229711	4900639.59913111	4697234.13936411	3845531.50439514	4248287.35086883	3533741.34145435	6267452.3005112	3736666.69527853	4586983.94298905	4573802.14959809	3171697.12893234	3461933.41017422	3305336.97950147	3775920.57797195	3971052.04839008	4867147.31537597	3438696.86291303	5301774.34938223	6083116.18578914	3709459.80178447	3487600.82656367	5153264.60561173	3684208.6561039	3127489.22620893	3411241.02579835	6223112.13443702	3240604.11651762	4943060.85304081	6465567.52603849	6480413.34198247	3747524.48801708	4389038.66445172	6488851.13880344	4481244.69923494
4477334.42605465	3554974.59676497	3631871.63997838	5900861.61517444	4601712.21347822	3820410.5211633	3557968.75498364	4330839.81637078	5028140.68066109	4883474.58872492	3967678.98620274	4372707.12337535	3674880.97240304	6333329.42138493	3883614.48487876	4721576.04861198	4712801.8829576	3297104.08630109	3598518.07938575	3426328.56782843	3923223.02754477	4141732.99649627	4934482.50222104	3567395.34621677	5420428.97842759	6166906.82230426	3833732.13598317	3617008.56308555	5290309.93131387	3814930.29725045	3273198.11038125	3543769.9277411	6084363.94540665	3360992.23896735	5031920.67246722	6483184.15969652	6452093.12066111	3876791.79458617	4517797.77241664	6452661.57763614	4350631.24153887
4609475.84774143	3681528.60029314	3767695.19707471	5824136.72912151	4725012.60499138	3696165.0035979	3684169.87027806	4454343.61516918	5153942.45593854	5071061.78819161	4091354.78966757	4496937.89575448	3818680.02845682	6392537.84454819	4032761.10257844	4855735.85389783	4851883.35378405	3425119.81023726	3737427.85700084	3549443.37765408	4072700.63275722	4315386.72440943	5000369.7758101	3698212.16921838	5537000.57781415	6244604.08511276	3959368.61828509	3748526.88341831	5425630.01492923	3947322.15234055	3422925.31477918	3678708.75778937	5943877.2969425	3483472.74829893	5117941.3834117	6493413.36019793	6417495.63317225	4007236.11814266	4646984.68067273	6409888.56956952	4222156.70008919
4741384.782482	3810020.11899238	3905520.47403689	5744210.63086464	4848120.87236447	3575200.12641142	3812032.35492181	4577479.79969617	5277648.30302773	5259336.0262418	4216479.15923177	4620675.86224348	3964914.38461788	6444840.1822043	4183780.10436594	4989108.11291874	4990728.24449208	3555595.41226251	3878401.76728755	3674551.13161629	4224051.13516349	4491594.63253233	5064672.18160142	3830954.92035732	5651176.36490413	6315891.47950401	4086183.12402963	3881963.0838628	5558814.77185815	4081166.09397556	3576440.1611689	3815856.02459982	5802130.98549837	3607886.22145572	5200877.77445526	6496245.96243115	6376838.21840717	4138581.98429302	4776390.3672358	6360780.60456709	4095997.85449889
4872734.10029548	3940305.4553926	4045110.72084193	5661380.5129121	4970800.75355999	3457573.95751161	3941337.83914137	4699935.1407069	5398865.83080881	5447594.09500386	4342943.62659729	4743595.37636006	4113350.27223833	6490064.46798576	4336328.02744893	5121328.49947282	5129003.24445796	3688356.61150309	4021145.23773814	3801498.75266836	4376934.03166641	4669882.99916948	5127238.67583057	3965406.66335908	5762608.81195268	6380488.10437288	4213960.02469387	4017119.11680365	5689427.97093358	4216223.23939928	3733471.48935548	3954996.91833221	5659585.40325564	3734046.4030349	5280461.68222454	6491744.46526725	6330334.30488773	4270534.4730946	4905779.95039237	6305603.09012506	3972306.24099584
5003169.41432847	4072207.60600339	4186205.73063883	5575934.03128378	5092791.412789	3343320.2486325	4071854.00270739	4821395.03607624	5517190.40659704	5635083.09056088	4470644.72585922	4865363.11190511	4263719.22326853	6528052.4772557	4490027.63004503	5252019.13152403	5266353.2577952	3823214.51487109	4165348.18060488	3930120.21064848	4530990.59325477	4849740.85392909	5187912.62752675	4101329.69258126	5870954.74194049	6438137.32551147	4342484.45215606	4153772.26679422	5817036.51846885	4352238.71078639	3893701.94257938	4095882.96985	5516659.95268182	3861752.66079901	5356454.15872394	6479956.06443153	6278227.80829479	4402768.7991379	5034896.460419	6244665.39713927	3851219.92849166
5132336.55137502	4205533.88628984	4328514.49491715	5488152.19671586	5213827.99371401	3232463.35966924	4203323.45768234	4941517.34198915	5632200.08392615	5821007.33646517	4599455.15622891	4985621.83666848	4415732.93653897	6558673.48032736	4644466.7337499	5380777.61765009	5402402.33325668	3959955.79265676	4310666.08837393	4060224.90792125	4685820.14084267	5030606.583938	5246531.87894201	4238472.7259686	5975864.51576902	6488620.11123136	4471517.00088566	4291670.72614943	5941200.73349485	4488929.5406798	4056767.52594419	4238245.76011281	5373758.28074943	3990789.17714116	5428597.28331699	6461015.82101432	6220789.68566825	4534947.60245176	5163475.08445222	6178277.67119114	3732848.69530219
5259865.59713469	4340072.15074691	4471731.03833673	5398315.55809462	5333627.10295047	3125010.62401107	4335469.42541103	5059943.80709421	5743496.78985473	6004531.67965967	4729226.01011129	5104012.8476029	4569075.6044929	6581827.60349437	4799187.23120826	5507196.2894623	5536768.15141734	4098342.84116045	4456720.34539274	4191609.75491726	4840991.78199903	5211865.7227821	5302914.96017174	4376550.81094208	6076973.46875025	6531750.23295646	4600792.66587267	4430552.33018128	6061477.69087827	4625995.40536205	4222256.85460155	4381791.97341885	5231255.47001143	4120908.81159189	5496670.31136114	6435044.48077493	6158286.29379998	4666702.92226216	5291223.14809302	6106765.20285153	3617272.93444677
5385363.77312806	4475599.80859513	4615515.66879656	5306702.06164481	5451888.22087331	3020948.65036739	4467995.5371227	5176328.48792191	5850656.2365355	6184791.58178639	4859786.51554121	5220180.45389871	4723391.46167973	6597456.67126179	4953728.27187086	5630863.32371984	5669033.27573634	4238110.70641913	4603110.36610223	4324049.65201565	4996059.83861578	5392867.46128635	5356894.23898152	4515258.07909205	6173921.16899662	6567346.35676262	4730028.76313012	4570132.07689412	6177397.95141171	4763119.23794657	4389709.80451094	4526204.1733565	5089502.07347839	4251847.12785243	5560441.31602027	6402218.89632807	6091005.64434838	4797663.32386783	5417839.96723299	6030450.98357517	3504566.65324966
5508435.93298365	4611859.95423104	4759508.92652712	5213572.16140994	5568283.27474608	2920256.40333121	4600584.65386233	5290302.31144872	5953276.8422903	6360902.44475262	4990955.82815846	5333737.74620851	4878304.7293863	6605548.37803196	5107578.59760731	5751345.89744341	5798783.90672216	4378976.8109326	4749413.8847913	4457297.3531818	5150542.91236895	5572925.12656615	5408279.06316635	4654269.75240643	6266337.3100003	6595299.51115132	4858923.72636868	4710095.00447882	6288517.07239923	4899959.12356468	4558622.66953851	4671129.95819766	4948811.27256394	4383322.66087764	5619692.3149	6362750.81565756	6019235.92634962	4927435.87275399	5542989.48074339	5949694.16046063	3394786.68346171
5628659.47482136	4748577.06690123	4903327.98114627	5119169.94038723	5682486.1576249	2822901.97348237	4732905.84344259	5401490.62336385	6050958.94698884	6531959.22426377	5122509.70200086	5444297.54528478	5033410.15946553	6606110.26516171	5260224.90800722	5868216.37900642	5925581.01436099	4520629.45890167	4895166.79662661	4591087.17135042	5303927.23380713	5751313.56254867	5456892.66762371	4793238.77380204	6353864.54234368	6615524.64249834	4987164.26011506	4850105.61354987	6394384.90694364	5036154.73587209	4728445.64525268	4816203.65512796	4809478.24452093	4515027.00240858	5674220.60938093	6316850.99213641	5943275.05891033	5055601.89321124	5666328.32502426	5864822.03906005	3287965.92041801
5745618.57450457	4885459.71168594	5046557.15397303	5023741.34813116	5794142.17976948	2728847.50728859	4864609.92617729	5509518.20361054	6143304.21198358	6697048.32455781	5254212.82764543	5551484.57030637	5188279.08841398	6599182.19240114	5411110.84570734	5981034.46216442	6048985.62756143	4662733.63372722	5039898.89437264	4725131.7427053	5455681.40975654	5927268.53028938	5502536.65884828	4931798.32807623	6436151.32401847	6627962.99547127	5114423.32059184	4989806.80971102	6494572.33809698	5171312.13080934	4898578.14989825	4961017.51597836	4671765.24440046	4646638.28211839	5723832.14175339	6264751.27301702	5863426.78873147	5181743.66335831	5787490.49411102	5776183.38939679	3184129.79630633
5858891.30273879	5022190.41160794	5188778.05926794	4927515.46672521	5902888.54084154	2638041.65582132	4995306.59864421	5613996.72312084	6229932.57154295	6855267.07233525	5385795.02392703	5654909.83412163	5342449.38028153	6584846.99884355	5559663.28567143	6089360.29469886	6168525.48906249	4804927.47593304	5183104.2629813	4859121.9774427	5605259.91600797	6100012.62762115	5545026.24084348	5069552.9553385	6512837.60030527	6632605.67462749	5240344.21759479	5128820.44222558	6588638.59399802	5305045.53927672	5068389.61167989	5105164.46481211	4535901.58708126	4777810.72678751	5768346.15173501	6206730.77401771	5779993.42122991	5305423.69171547	5906093.76512645	5684144.8737061	3083290.03303759
5968051.39783645	5158421.46462177	5329527.69263113	4830709.60202085	6008351.78482757	2550426.34515618	5124613.06828904	5714546.29907087	6310488.84958827	7005721.3827794	5516953.60843608	5754179.33958285	5495431.76936522	6563206.08411543	5705302.97659017	6192767.13184214	6283742.47274939	4946832.94560235	5324275.82777281	4992723.2624191	5752090.59077724	6268741.62751937	5584184.80202161	5206099.26023738	6583580.3326358	6629461.95479346	5364555.52159239	5266746.73151383	6676175.42907057	5436933.65093142	5237203.95532247	5248208.98616598	4402098.18284953	4908185.69984047	5807604.37147129	6143094.67233238	5693281.76340971	5426202.82322193	6021731.73042657	5589049.60625723	2985438.01142597
6072674.96979256	5293787.09514143	5468337.70235862	4733532.06890869	6110145.77904579	2465936.5556102	5252124.69590187	5810786.25807121	6384626.41609278	7147541.18942508	5647366.59723592	5848919.35759682	5646706.1035924	6534410.76773003	5847436.52865841	6290825.7583785	6394174.0034565	5088041.57391983	5462880.55138745	5125581.77389055	5895593.19989101	6432636.40036026	5619836.47695602	5340996.38765111	6648048.73998859	6618601.92235518	5486678.18254162	5403158.57499751	6756777.62818741	5566536.66868486	5404319.60615742	5389685.79707353	4270542.35762625	5037373.11937612	5841470.72867679	6074120.23101104	5603598.40838111	5543623.98218268	6133990.03568217	5491246.76792737	2890561.2131357
6172340.10805843	5427904.98916059	5604720.27408054	4636185.58170016	6207878.04025272	2384503.20590413	5377418.48168758	5902356.71905132	6452012.68753825	7279888.6454169	5776664.58150899	5938746.72142339	5795745.84767823	6498615.76819796	5985451.41976026	6383111.55643761	6499345.21119836	5228120.84803573	5598375.46932674	5257326.00677397	6035163.9560005	6590879.00783429	5651787.7121058	5473805.15798907	6705959.20184329	6600113.28729851	5606313.47509725	5537619.17803268	6830075.06617862	5693413.95297995	5568990.02774619	5529109.16961449	4141397.06866878	5164976.671928	5869806.13902943	6000137.58528464	5511249.65202121	5657247.35695149	6242456.131786	5391067.92002167	2798640.12758873
6266623.89650782	5560362.16083516	5738178.45480567	4538847.63643344	6301145.47457025	2306051.72940055	5500058.92481876	5988877.6544519	6512352.21322373	7401972.12177744	5904451.31454455	6023310.80169868	5941989.36061116	6456023.32121411	6118743.60560287	6469224.59809987	6598797.47288056	5366619.02383568	5730206.77336281	5387561.2787177	6170220.05368377	6742652.00434723	5679872.69832988	5604049.91360382	6756994.43175275	6574135.64679145	5723042.31880617	5669675.524359	6895726.6618552	5817099.45749182	5730458.75276371	5665982.76593931	4014791.73608684	5290580.02540818	5892513.37746721	5921461.3959632	5416534.06156321	5766621.65447867	6346691.2516749	5288839.88819251	2709641.67866485
