V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99
3778507.56685332	3603050.69363907	3539491.01738407	4095076.16884445	3872579.90135883	4068493.45892082	3736125.258648	3674592.2063216	3609930.73188514	4122165.41513765	4244054.73523105	3505761.52913127	3967188.03097568	3505343.87098305	3588591.63089665	3697736.99089844	3809936.03383436	3578085.24829589	3214056.99637117	3690702.91970511	3511802.55173065	3957475.04936876	4025836.0555186	3787433.26718831	4140846.76058081	3544767.71752378	4097175.88069783	3947998.4922512	3524757.1066346	3863767.13766175	3382006.84481916	4093646.88576055	4477921.26885933	4463337.9688893	3384178.36461557	3390129.64463892	4096687.49860778	3507820.69473445	3641652.23733174	3231378.70426349	3858228.2484967	3295353.62840994	4023718.46877805	3752324.11070078	3630900.48247766	4286586.07658929	3883569.19790189	4313293.21283272	3744495.71707789	3298447.79743723	4710926.23103057	3605433.40220051	4205238.11931157	4493279.3755794	5028788.15039844	3662414.43255716	3610592.90363399	3522799.62959031	4056994.52002895	3843111.50743189	3892867.54398921	3655466.20359929	3852877.29226632	3572979.39130216	4107529.14517466	4219258.03454284	3795165.08610939	3628092.95984566	3803541.6289102	3603572.01643062	4488735.25140923	3916225.90697333	4347453.04766178	4629628.28153065	3797344.11361975	3614245.39891484	4023812.51141193	4326542.3884121	3559079.52685816	3523095.14992985	3856096.128101	4005296.30616231	3659822.89697145	3886576.69779277	3960421.90398021	3417907.82187252	3618443.96319189	3211806.56741575	3964128.60786531	4206689.79275365	4653533.46841415	3678913.92982257	3183676.1619626	3817325.78697292	4403580.13524507	3921447.73490259	4518204.94570588	4250816.49172587	3519494.20983498
3919614.82197848	3743100.73460202	3678203.84484989	4228727.05231401	4020893.94683293	4205555.11375196	3866567.96958158	3804272.79220776	3747657.13471492	4290641.05432688	4400617.40745053	3634419.8967349	4119515.83897435	3640533.76637809	3731585.85014154	3841233.63269069	3963538.35670875	3712993.5912057	3344849.61277705	3825654.99036829	3657144.78055762	4120807.89834811	4150322.0964648	3924393.24161361	4295278.06230673	3680853.27031382	4234124.59158594	4089284.73517677	3673351.45525001	4004208.68546051	3519612.80460517	4233916.60082937	4614127.01434413	4633483.56767892	3527530.76150402	3516079.69666858	4244342.63131266	3640940.53537661	3759172.624093	3366019.63074031	3994278.90313288	3431268.14189129	4175957.22353092	3896055.79926586	3767785.00446546	4442191.04163063	4019906.44335811	4456192.37714599	3892361.64449404	3424778.14026882	4848490.69933808	3736526.3966965	4353426.72537555	4645622.99487264	5165296.87029467	3793433.32079281	3751774.74201416	3650805.89143115	4205365.02537108	3976134.51353259	4038571.37320163	3791725.72060097	3977173.59368799	3712255.01915051	4248029.61273812	4359694.58414877	3933031.64842324	3761254.17046944	3955464.71216582	3735915.32178968	4637471.7471795	4062371.82548266	4492544.07250127	4799557.52504051	3934717.37360782	3760587.13751718	4171156.93333484	4468108.18031059	3715095.99168915	3653694.07780195	3988006.10777272	4130989.24392079	3790208.85412888	4027644.35741194	4078321.91515724	3544161.86789815	3749620.26330728	3338030.02910371	4104737.50857902	4348320.10410085	4800927.17135712	3803499.46773778	3309234.0153531	3970043.47350736	4536974.20913601	4062777.25803557	4685850.32294056	4403697.75926908	3649899.63749735
4062357.03871918	3885241.445942	3819144.24924167	4362934.61591516	4170978.44766834	4343271.57409771	3998221.74683921	3935223.50449707	3887285.35228591	4461865.5248061	4558372.21503025	3764735.83352822	4273682.04658997	3777807.45458126	3877021.58822794	3986747.704592	4119455.71385034	3849792.90556632	3478351.13825183	3962156.61122706	3805263.16991979	4286917.13535531	4274903.33357421	4062785.02743173	4451027.7223081	3818949.35205805	4371639.86991821	4231794.37245261	3824831.71273505	4146042.17163678	3660294.70552539	4375015.3712591	4749904.85078693	4805072.92507318	3673888.43319226	3643869.14119612	4393295.00790104	3776053.66804519	3877338.30410639	3503619.15398012	4131556.89751326	3569959.38701485	4329760.10620426	4041632.37482184	3906526.52519868	4598774.96817948	4157490.95505788	4599374.21635944	4042490.48564097	3553270.07944853	4984558.8724644	3869212.58595937	4502486.89580263	4798096.14300775	5299481.17634936	3925874.41503498	3895076.11936494	3780447.72278596	4354981.71109557	4110175.64813116	4185827.78851299	3929726.33670839	4101960.11291173	3853664.74875303	4389281.08830398	4500689.00752746	4072359.42157117	3896095.15906954	4109604.39915789	3869943.57022242	4786012.3152652	4210199.85298474	4637825.59781212	4970232.82869847	4073463.92364335	3909405.41002672	4319783.32026147	4609804.40160318	3874657.94793638	3786136.87758717	4120812.46622503	4256863.55872541	3921991.42740891	4170109.27049044	4196138.62182045	3672187.28843181	3882272.48485237	3466574.75571639	4246381.5773203	4490482.52767912	4947773.78420678	3929097.70484174	3437136.5031724	4124996.91353159	4669669.6666961	4205377.76693739	4854394.44588941	4557688.0047886	3782009.59298799
4206413.25194274	4029210.74240331	3962031.77953395	4497388.81340281	4322500.65167197	4481283.86428946	4130792.74261593	4067152.58312787	4028535.22098143	4635419.59196309	4716934.54785733	3896445.3624602	4429332.84703467	3916906.93218433	4024612.57972838	4133968.08585425	4277337.56755194	3988215.27239493	3614342.25215473	4099942.19132496	3955880.03255617	4455424.40318875	4399287.67063876	4202300.69459557	4607694.09865768	3958782.86032977	4509379.12129383	4375201.27866438	3978920.75010031	4288936.28833254	3803822.90244616	4516599.5068446	4884867.41590817	4977592.7665834	3823013.19153087	3773269.44710973	4543178.24108034	3912908.69263492	3995890.11648171	3643966.97626548	4269742.63065368	3711201.84032204	4484761.35004339	4188745.12723704	4046847.80915249	4755921.69692777	4296018.76787274	4742436.70093459	4194568.0756435	3683701.19263238	5118690.69565993	4003229.24282107	4652009.93267341	4950249.26849541	5430850.24613192	4059458.49131694	4040213.79663349	3911461.79397974	4505469.90477235	4244935.30167538	4334309.27092786	4069194.19525668	4226941.35650418	3996947.20022315	4530902.14898229	4641890.82993525	4212835.96464756	4032360.53487822	4265634.12952917	4005392.67821958	4933887.6532987	4359372.28032744	4782862.00110007	5141117.61529452	4213294.400544	4060432.84864118	4469337.23173872	4751221.73249425	4037472.72418914	3920180.80230315	4254205.93355105	4382584.99780044	4054891.56399324	4313623.47888553	4313568.72012691	3801743.3705625	4016115.81475277	3597235.90147508	4388723.82695292	4632785.24054321	5093622.61169288	4055440.46055476	3567193.06107039	4281865.13597905	4801265.52858058	4348914.09753557	5023358.03646228	4712375.35201287	3915570.46349993
4351448.48604496	4174718.51755295	4106583.72318419	4631732.36788669	4475105.0919853	4619204.43830552	4263964.55087348	4199760.06157642	4171086.76482252	4810838.32168687	4875903.70385997	4029269.1160035	4586082.82622636	4057544.68874932	4174027.96040609	4282560.92745926	4436819.8147547	4127982.74630746	3752590.52526967	4238712.97967384	4108698.62836163	4625901.74654441	4523171.39860649	4342632.64539511	4764852.84540803	4100052.3144736	4646987.59082722	4519159.50634199	4135310.38307451	4432559.22735936	3949932.12168665	4658299.38781612	5018621.29007248	5150508.75248124	3974635.42658491	3904028.57633408	4693591.66609182	4051234.76978595	4114548.46650354	3786828.94987418	4408492.86956323	3854750.8189142	4640568.60418942	4337065.29657816	4188446.42778658	4913195.338471	4435161.15695508	4884982.75694987	4348236.38601306	3815844.09776213	5250438.30713222	4138277.81287595	4801562.62953082	5101617.84228652	5558912.58323605	4193892.33081495	4186891.72637384	4043564.81901617	4656426.83037883	4380101.32780627	4483656.97869902	4209828.11711802	4351796.49037369	4141820.80459301	4672485.29994356	4782927.69442347	4354123.72141291	4169763.6112328	4423204.21820761	4141947.3083707	5080610.43856521	4509525.01381608	4927196.32219728	5311639.27204792	4353883.01049589	4213388.84637401	4619425.21242736	4891933.8395883	4203209.32026187	4055547.00583876	4387850.26542076	4507813.19107172	4188612.21684004	4457829.45741861	4430289.26508679	3932558.47959245	4150850.46816875	3729785.31765289	4531384.77647222	4774813.79335587	5238012.45037097	4182243.83433668	3699184.96390373	4440307.34834042	4931342.95237095	4493032.74735204	5192250.81418493	4867331.13687354	4050305.99594494
4497087.43538563	4321448.61289399	4252480.94617101	4765615.53593257	4628407.5535797	4756632.04573523	4397429.73082944	4332717.2576339	4314600.35205029	4987601.61105166	5034852.76945406	4162910.3553702	4743525.85246967	4199397.6230332	4324929.68029874	4432160.9809855	4597503.23763202	4268784.93525417	3892818.24881009	4378165.94960002	4263368.29231485	4797895.572664	4646239.33417729	4483430.90778398	4922048.24179246	4242420.02162906	4784093.25367697	4663298.00002256	4293656.40326352	4576546.76443621	4098322.70149464	4799733.32364259	5150757.8126806	5323241.23072896	4128455.74481147	4035881.66241557	4844132.5359038	4190728.94552839	4233021.9606396	3931933.93826363	4547418.31574254	4000326.19422867	4796768.04858077	4486231.8911879	4331007.84538742	5070122.65249134	4574565.86314927	5026587.08132072	4503134.5110087	3949441.25892558	5379368.86896668	4274054.13402032	4950679.30757255	5251715.45465528	5683174.5886448	4328859.72461954	4334780.64529689	4176451.39267858	4807433.76677404	4515334.17615702	4633481.78710288	4351307.79058127	4476197.64747921	4287973.67288762	4813619.59014955	4923406.72905257	4495856.94085107	4308007.26160522	4581930.39206359	4279298.68937068	5225679.31446521	4660243.4526171	5070378.99255729	5481187.66875179	4494889.83823805	4367955.55142378	4769640.4789741	5031479.56913761	4371486.91014642	4191931.95930113	4521407.41756522	4632190.67747534	4322840.72878623	4602343.13550511	4545973.224683	4064342.68705536	4286150.19406415	3863970.64337456	4673978.77150206	4916133.41707406	5380450.63257573	4309195.73890862	3832865.52917627	4599949.14070242	5059503.13135539	4637353.12525438	5360542.56018001	5022108.80015703	4185928.29740307
4642944.46136906	4469059.42964613	4399374.38526288	4898677.05128641	4782001.96850334	4893151.41076827	4530837.55098754	4465675.94241529	4458704.8073257	5165143.83296225	5193331.58840747	4297032.98037873	4901236.29433694	4342126.69356812	4476934.43048192	4582379.13535856	4758958.0085592	4410294.19350263	4034738.74709209	4517955.29053958	4419524.31094604	4970892.34336939	4768156.25417653	4624332.69400631	5078809.62594742	4385536.84717831	4920308.60450758	4807228.64207257	4453574.97540071	4720512.96951935	4248655.69267349	4940489.81933142	5280861.76031229	5495196.5166904	4284145.18168551	4168539.7892715	4994369.6564597	4331070.89910735	4351008.38811029	4078992.26652356	4686141.52579604	4147618.38435077	4952898.73900754	4635854.58652042	4474192.75487218	5226227.58268477	4713859.91069005	5166812.67179345	4658839.25058441	4084214.96734835	5505035.8206932	4410215.02653096	5098881.86683325	5400044.44550629	5803126.40243385	4464027.73141797	4483529.80814594	4309798.38083073	4958042.21439465	4650282.70433283	4783378.4906459	4493279.15480466	4599798.97841631	4435074.30171201	4953867.54242496	5062917.33663566	4637649.83358305	4446753.54180627	4741407.24524276	4417108.55508465	5368604.48309826	4811125.54652906	5211923.82667299	5649133.31481612	4635945.12348084	4523799.0630988	4919562.88453569	5169409.51968235	4541887.83323661	4329010.12529815	4654511.94910484	4755349.13105201	4457238.09212601	4746741.85002576	4660283.77021308	4196785.40454828	4421664.55952124	3999518.34644359	4816095.88009535	5056290.00634088	5520472.33401611	4435968.85109726	3967978.12270784	4760392.30738158	5185336.58261976	4781478.51055255	5527701.19414943	5176222.30443829	4322114.519495
4788608.91719115	4617194.02584145	4546898.62572955	5030521.28568374	4935449.5432551	5028341.28005655	4663829.67291216	4598280.81100793	4603008.75064931	5342861.03256234	5350869.93793633	4431299.70610206	5058739.65699458	4485360.75127335	4629621.66958871	4732801.22549741	4920726.68686636	4552150.39915657	4178025.92866996	4657722.40483672	4576761.86061996	5144334.65776436	4888578.47864658	4764947.80560819	5234638.42780928	4529011.997271	5055232.37808528	4950532.83998791	4614660.41587145	4864040.02570664	4400558.1597294	5080144.59723748	5408517.90551161	5665724.62621003	4441339.73140385	4301692.09425207	5143844.87735627	4471912.64101486	4468198.11811554	4227675.72054547	4824249.66948308	4296292.28103082	5108504.5948734	4785524.75153868	4617626.40495489	5381002.92706174	4852651.93581369	5305200.92012178	4814925.79538861	4219856.82458422	5627020.1565032	4546399.70874225	5245671.94377723	5546068.9792828	5918296.96849563	4599031.17677175	4632761.64342922	4443252.9351445	5107783.30466326	4784569.63917106	4932931.41848514	4635372.70795635	4722240.02124489	4582769.76890969	5092768.56622645	5201028.27074473	4779091.59180768	4585665.45362083	4901201.32363292	4555001.86360306	5508851.88630242	4961725.62020948	5351345.16988325	5814816.40844868	4776664.98438012	4680544.09543509	5068740.29143926	5305255.21636708	4713944.16359416	4466428.6604703	4786784.14047994	4876918.09675588	4591445.37865649	4890585.75486567	4772872.43896313	4329545.37327147	4557024.34943822	4136125.83484133	4957307.11798684	5194827.70775541	5657600.77397205	4562233.15375834	4104241.03824756	4921199.25788512	5308428.96812659	4924982.89849655	5693150.97403459	5329156.78748744	4458526.00455715
4933638.94266598	4765458.83874913	4694646.1050546	5160761.09916996	5088305.19487623	5161758.62982202	4796039.84215093	4730147.87276622	4747093.8351182	5520108.49028846	5506982.12449638	4565341.20925722	5215558.18843494	4628710.32686696	4782558.19851141	4882976.23522575	5082316.87247042	4693984.37725691	4322327.38718777	4797109.15910501	4734639.9624205	5317647.38651668	5007150.61791119	4904878.37800406	5389017.54280674	4672452.74154452	5188445.46694352	5092796.18377145	4776462.26076766	5006712.13292268	4553619.73349373	5218260.63901996	5533297.2350558	5834183.47099219	4599656.14576897	4435006.51923566	5292077.93580461	4612885.31404511	4584263.21156954	4377633.00608881	4961311.93492034	4445986.1210852	5263088.21098936	4934808.46950513	4760920.61428794	5533932.9495851	4990525.94013773	5441297.04300667	4970927.2649898	4356041.93438131	5744898.50369889	4682227.53515128	5390526.39021908	5689277.23144889	6028220.5777355	4733502.13315475	4782080.20312744	4576444.6810415	5256171.10173983	4917819.53102963	5081692.41852144	4777204.30862014	4843156.16119476	4730674.98565511	5229849.93854776	5337312.64730553	4919748.91735794	4724373.19888171	5060843.598359	4692598.84151275	5645924.53993524	5111574.15561092	5488157.1529603	5977567.63307784	4916653.77052436	4837806.96625311	5216700.64000561	5438531.01948401	4887145.10837767	4603814.38608132	4917826.64243078	4996496.09069312	4725086.27438259	5033416.74278493	4883390.00642431	4462268.60000328	4691843.09437989	4273477.31973381	5097165.98650786	5331277.13479925	5791359.05417982	4687635.48211004	4241347.751438	5081922.81619138	5428367.49120892	5067421.35455373	5856317.40961245	5480401.00720362	4594811.95141104
5077585.25475317	4913459.26042879	4842206.01987606	5288993.60456992	5240086.15385633	5292960.21532384	4927073.75086442	4860885.75038418	4890521.30839757	5696186.18654144	5661171.24974034	4698772.79503169	5371182.99338935	4771765.66165361	4935269.74468453	5032446.42278854	5243213.62452538	4835407.76501084	4467259.95868881	4935716.12835974	4892695.23822749	5490206.9643029	5123525.81136273	5043700.61522926	5541413.75749842	4815422.53440404	5319512.25202551	5233569.02642049	4938508.11560177	5148080.20755506	4707388.43915088	5354390.28497994	5654783.82773183	5999905.15272801	4758655.58014284	4568145.3137413	5438578.27313197	4753603.04619166	4698857.54751806	4528466.5206784	5096876.15902174	4596297.88851964	5416146.31101104	5083258.08107894	4903666.27429965	5684474.30225406	5127055.85110074	5574614.17880199	5126350.3280556	4492431.4945603	5858281.08904323	4817299.9400607	5532910.6442606	5829140.4044175	6132452.91802884	4867048.47192402	4931063.40752184	4708980.87952533	5402703.84544475	5049624.29032305	5229194.60393511	4918364.05875314	4962167.46139074	4878388.94993036	5364622.55889624	5471322.14828257	5059169.66288707	4862495.28424414	5219854.63043924	4829479.92384434	5779326.6511728	5260168.89799689	5621867.30422804	6136689.05103588	5055494.45552477	4995171.0177908	5362956.55523369	5568755.87793169	5060947.3489818	4740778.41341295	5047227.42934622	5113696.32788059	4857771.3125065	5174765.98290871	4991464.42661333	4594579.57938059	4825714.14340074	4411224.69147872	5235204.63401179	5465158.80273011	5921265.83205243	4811804.79057014	4378958.53901987	5242074.7597091	5544762.82531111	5208346.32361968	6016605.24534617	5629408.3736593	4730594.51304975
