X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99
AL	-0.0388692901708658	-0.0466526263291072	-0.0308255676500384	-0.0338109559774228	-0.0558060063090286	-0.0692525657418717	-0.0283089377846452	-0.0356245504642774	-0.0406841744004451	0.0169475968105177	-0.0561778943915251	-0.0370676079522362	-0.0301444595716069	-0.0547961476948659	-0.0131138917246643	-0.0397598892564761	-0.045749745477237	-0.03132901036578	-0.0175018906246871	-0.0419409188315968	-0.0234124511458571	-0.000227423416493823	-0.0743576811972006	-0.0279779643429962	-0.0515573229599532	-0.0489861951795312	-0.0343431005950802	-0.0340051664347708	-0.0504376780821542	-0.0342589826892818	0.0299291743818161	-0.0223728027735162	-0.0390912008802687	-0.0558952793264552	-0.0289337719974624	-0.0333593090577693	-0.0320078911899225	-0.0249268237021803	-0.0463046949980202	-0.0107393044829352	-0.0299952186259945	-0.0248356252572149	-0.061885591453289	-0.0565932175128809	-0.0306354569822813	-0.0422548943690199	-0.0356786891220954	-0.0287346068137139	-0.0203414591796355	-0.0217662480534147	-0.0658207626137719	-0.0651153908990151	-0.0578183877416284	-0.0463692053713823	-0.0622908494683384	-0.0275462800572542	-0.0541081430305783	-0.0210886862206066	-0.0363127177101907	-0.0392311917511221	-0.0505953748348913	-0.0296516632857262	-0.0595377983561943	-0.045130071707331	-0.0512999333920868	-0.0349775302235836	-0.0587971541293331	-0.0236465575247994	-0.0547958166917317	-0.0198003961204105	-0.0724759830055752	-0.0141062169202188	-0.0665394137170749	-0.0300165730031284	-0.0402933107637804	-0.0513516504796439	-0.041355743534043	-0.0623488772796644	6.84014695982354e-05	-0.058152070206369	-0.0367376307753915	-0.062645715947363	-0.0279932698736306	-0.0190921191501877	-0.0306072391404676	-0.0436867893808985	-0.0409778963472027	-0.0348615721444239	-0.0509410225876101	-0.0627674136009966	-0.0481635685466446	-0.0261703986133013	-0.0406471401617692	-0.0544328395475455	-0.0676728222902936	-0.0314058932768045	-0.0558154714926374	-0.014875367401933	-0.0459427245033421
AZ	-0.0691248237001914	-0.0776982324756084	-0.052622611125561	-0.0647005940689114	-0.0930117061592409	-0.128179103969515	-0.0478650287071924	-0.0615109513511351	-0.0702695512296906	0.0252982813739558	-0.0907186107988216	-0.065320789546429	-0.0467517899048173	-0.0993333819814853	-0.0263446682418392	-0.0711950054539096	-0.0820418284159156	-0.0501039118140995	-0.0250127826094423	-0.0654088624045232	-0.0418455588137193	0.00539624391518912	-0.124928227252444	-0.0472433365265175	-0.091678250077758	-0.0869601358856915	-0.0591264402002411	-0.0545813011252869	-0.0862931319678902	-0.0540048927760735	0.0666154124478772	-0.0343071563670207	-0.0777798050407739	-0.101978550959596	-0.0528383976350475	-0.0557526919669599	-0.0624019588129098	-0.0416595436051394	-0.0855261893815645	-0.0126736587243915	-0.0594703095600308	-0.0438632234778249	-0.107961557316877	-0.0972786910193833	-0.0495773383839884	-0.0708983743171506	-0.0641448862846661	-0.0499215656327483	-0.0307844226098779	-0.0344633880441775	-0.122843331235222	-0.121612274928139	-0.10754899206751	-0.0796457484659465	-0.118613308165474	-0.0478359466339321	-0.0887301592584329	-0.0368796242401774	-0.0678303629472376	-0.0644492192832189	-0.0884336654954355	-0.048714838287461	-0.112334246954796	-0.0739468696651453	-0.0968867520944499	-0.0649106934674006	-0.110396138393468	-0.040990680785517	-0.0929840338005087	-0.0343166901759182	-0.136003973150018	-0.0246136913427922	-0.127508063865861	-0.0468455238597612	-0.0668461115123391	-0.0813549412076728	-0.0721387620684506	-0.120559285711078	-0.00175709300984734	-0.106503101342351	-0.0617122924428889	-0.115438470464927	-0.0427894969829695	-0.0394326341284137	-0.0540891618319769	-0.0852395605765105	-0.0756339339369432	-0.0623368007185719	-0.0883827517625952	-0.118424673610082	-0.0907836666070189	-0.0467545654710959	-0.0701749921709367	-0.0897569005406374	-0.131131078529121	-0.0543823395268647	-0.093157409181581	-0.0247689414221201	-0.0794447124964467
AR	-0.0558142206036208	-0.0709898427190943	-0.0504472133062074	-0.0364984204269634	-0.0748698409204949	-0.0730164628395805	-0.0479515873235426	-0.0506659161383121	-0.0529681771537768	0.00915240328900666	-0.0802501406967879	-0.0512554196716722	-0.0498971664052023	-0.0614666727494327	-0.0252999835542647	-0.0569231499444633	-0.0645079028206826	-0.05384797852211	-0.0295221437236288	-0.0646720039260313	-0.0382089648997068	-0.00788983015007503	-0.0906339978087275	-0.0513699420574533	-0.0696059694087612	-0.0552594458126433	-0.0573522976066198	-0.0526709550638126	-0.0637642014808453	-0.0544267347838534	0.0321479606140784	-0.0432114891287963	-0.0410063027429108	-0.0608852522538128	-0.0535774579697099	-0.0537660419262838	-0.0358873675311386	-0.0454270184875198	-0.0614092785403675	-0.0260401300790721	-0.0321473026806055	-0.0462218581000012	-0.0781510852407441	-0.0742531525952006	-0.0521136697685218	-0.061933218892126	-0.0352670952642553	-0.0493879977011352	-0.0368593379841855	-0.0414767537322589	-0.0680327136837372	-0.0724751741759984	-0.0657465163935329	-0.0620268599091407	-0.068218891109655	-0.0477289377413607	-0.0727444153600732	-0.0371059997049838	-0.0558041572204967	-0.057860842615266	-0.0714368783484319	-0.0533911359235086	-0.0687306386605741	-0.0688801709706294	-0.0564330502514547	-0.0364276426659221	-0.066465641943483	-0.0487666136006477	-0.075662904817958	-0.0357015557015871	-0.0791994185454997	-0.0297096820301337	-0.0729734215178685	-0.0332662102158683	-0.0624028949152531	-0.0786220263897657	-0.061416350456549	-0.0678390375444161	-0.00768244409676396	-0.063902059114271	-0.0542519259775403	-0.0694121404206912	-0.0450856135021186	-0.0351381606225025	-0.0406422912251404	-0.05067083227432	-0.0535386164852471	-0.0540414117433159	-0.0633449118065794	-0.0686784404125682	-0.0508020631101238	-0.0477936407171467	-0.0633812276446993	-0.0754627131187348	-0.0737552723360584	-0.0497364508984809	-0.0762948570196207	-0.0333624707347896	-0.0654180026705659
CA	-0.0442836515943036	-0.0608409823989583	-0.0416121079195652	-0.0360367198717316	-0.0689471601301345	-0.0737922894275004	-0.0393790165182813	-0.0426466868760984	-0.046504408864856	0.0117352318492808	-0.0692696117741559	-0.0427240191633354	-0.0405811537565526	-0.0594383476241357	-0.0210572306426837	-0.0493904694236467	-0.0567615108631233	-0.0432408776093907	-0.0265575656856422	-0.0532448769330481	-0.0318996554048511	-0.00339572414743618	-0.0835045077209388	-0.0385053458394896	-0.0618170085961785	-0.0527526819389253	-0.0489035886200095	-0.0458422522174739	-0.0590489061000164	-0.0431425197237585	0.0330662214744049	-0.0317299123260328	-0.0421494371614905	-0.059608255624217	-0.0429190255990421	-0.0426760439109235	-0.0332259970156828	-0.0354397477494791	-0.0549298119732979	-0.0169830113278553	-0.0318896978474381	-0.03755734868529	-0.0714222034486569	-0.0662786094584784	-0.0398223622014796	-0.0535272978139626	-0.0379064377889614	-0.0408086685399862	-0.0276560972660189	-0.0314255684595576	-0.0668099567689728	-0.0697364121442159	-0.0625416339732039	-0.0576135721971186	-0.0638703236036597	-0.0378002783912099	-0.0632568415915082	-0.0279763392536608	-0.046359955063872	-0.0501196811592427	-0.0615686089823927	-0.0403498729755595	-0.0666924274624114	-0.0612063623119681	-0.0561715543612179	-0.035718918459847	-0.0646825311511926	-0.0395537650968378	-0.0676435751157521	-0.0283796643632652	-0.0765706505200169	-0.0236539027452399	-0.0711559942680128	-0.0284295037376699	-0.0497474818548111	-0.0699438454531221	-0.0524805449601032	-0.065086397417643	-0.00451987508940473	-0.061489408708694	-0.0470903468148342	-0.0647523720858139	-0.0345386845084116	-0.0280627425161721	-0.0363915039304037	-0.0488245744305359	-0.0518749768943274	-0.043619194346625	-0.0584228399809027	-0.0657867121834217	-0.049328829436571	-0.0388763392303299	-0.0541049697630654	-0.0693059679433986	-0.0713190437134013	-0.0409826671737661	-0.0701100084723651	-0.0215939691180256	-0.0572176989475098
CO	-0.0582494102178933	-0.0763942130661146	-0.0524315088871492	-0.0371908932403561	-0.0795110133123765	-0.0769475956497613	-0.0495745055538548	-0.051659955887253	-0.0559782622814567	0.011105277259118	-0.0855950671898356	-0.051856321700259	-0.0533565192019822	-0.0656066439383886	-0.028782085395224	-0.0588000555154448	-0.0705773962965994	-0.0575479391189345	-0.0324413487088975	-0.072302651050496	-0.0416374008483632	-0.00887023001467653	-0.096386574279182	-0.0536364434330056	-0.0729580116928037	-0.0588340627111563	-0.0605980524771552	-0.0565294676892807	-0.0672899249576967	-0.0578119227606961	0.0335148009470036	-0.0443155945710476	-0.0447527237327055	-0.0619702699529673	-0.0591360660633491	-0.0586227501025957	-0.0341888226887619	-0.0473039139427176	-0.0615278899452573	-0.0291308580788916	-0.0314848846677084	-0.0475322291665277	-0.0826618074697902	-0.0783961662125774	-0.0547223866586834	-0.0666255495772998	-0.0382118772581967	-0.0527003480516652	-0.0397257583185321	-0.0471964052925988	-0.0734052235977875	-0.0764762728999705	-0.0667389541705635	-0.066187521422694	-0.0715869863375309	-0.0514329698910936	-0.0773639355280753	-0.0396522084041317	-0.0582651035764923	-0.0647651049371411	-0.0752836877611712	-0.0559441138048808	-0.0740555754277538	-0.0728120663607824	-0.0589348442345993	-0.0390413684277844	-0.0714374775451911	-0.0525349254765474	-0.0811881668170258	-0.0397794837349823	-0.0839736900731806	-0.0351796411330899	-0.0765301824491297	-0.0361773146665065	-0.0651784769177533	-0.0843068317833532	-0.0641206858996598	-0.0703155971559805	-0.0103987570947875	-0.0664195240522569	-0.0565889894303493	-0.0740730705780809	-0.0503754338376596	-0.0363925698363209	-0.0430015875264226	-0.0539206624233818	-0.0578108046883092	-0.0561547251199245	-0.0661020995436061	-0.0707419888471112	-0.0529258080745865	-0.0486012889588473	-0.0697663057948257	-0.0836296366553435	-0.076502996283554	-0.0553760050331009	-0.0813792750979727	-0.0342139103319416	-0.0714365323842994
CT	-0.0568291437067278	-0.0748329434729321	-0.0527388935099603	-0.0388638017496936	-0.0798656006817641	-0.0776354914605886	-0.0488694031762186	-0.0504544922554488	-0.0554235239885618	0.0122509575122791	-0.0865670383558273	-0.0553528239406832	-0.0517616502275146	-0.066837640127535	-0.0263230234590655	-0.0611402261325043	-0.0662398269708867	-0.0563126744855937	-0.0317716256275929	-0.0680549473507047	-0.0376808107589091	-0.00679734935430368	-0.098095063073791	-0.0507084585386396	-0.0732351465078712	-0.0563119989328439	-0.0600930755371108	-0.0563884492986388	-0.0674730243080234	-0.0555645827666326	0.0306570791408293	-0.0433904606089128	-0.0418433518078512	-0.0635476422027889	-0.0536496731812202	-0.0552212520002263	-0.0343928084155153	-0.046125535009053	-0.0634350410138174	-0.0278526869422176	-0.0352621579771875	-0.0462009408317242	-0.0830371033638707	-0.0779021054276756	-0.0538567414763141	-0.0656682520449164	-0.0352477483454742	-0.0504458226239648	-0.0362591545131444	-0.0414980903163556	-0.0715884146168831	-0.0753438250280153	-0.0696878349373244	-0.0668830243521536	-0.0723750310719661	-0.0474214520558876	-0.0769617428224913	-0.0375110272557589	-0.0575543293827944	-0.0644918069510542	-0.0759381785949467	-0.0530940982248127	-0.0743617696215867	-0.0727359541285054	-0.0601631027360516	-0.0361873718864562	-0.0714083530151087	-0.0531994889762145	-0.0804450203197359	-0.0362780814610016	-0.0849618047831159	-0.032010269250991	-0.0773687270069692	-0.0323545679240488	-0.0650512570110856	-0.0830250686596666	-0.0638166306201238	-0.0719936427921426	-0.00780898510229484	-0.0662819291295168	-0.0544132669262322	-0.0725691710922433	-0.0442768891326911	-0.0358713425480552	-0.0437750913745794	-0.0520444307266483	-0.0577298754013805	-0.0547153817502324	-0.0661896945774132	-0.0717454144924682	-0.0539232334855045	-0.0455486881741819	-0.0659543376406174	-0.0827746386261247	-0.0766170047288912	-0.0530854258754279	-0.0822224205847824	-0.0311291355980627	-0.0691780852306709
DE	-0.057923092898337	-0.0771362636416058	-0.0563641990754556	-0.0353095771441507	-0.0787714818268255	-0.0763715899335451	-0.0530974497062327	-0.0536539486442279	-0.0548152141332388	0.0125025850221902	-0.0862442349352304	-0.0545387650236617	-0.0537316216249552	-0.0649982962686252	-0.0307077888748656	-0.0592954098135642	-0.069054093500278	-0.0577039102841261	-0.0330734892306085	-0.0706059952691181	-0.045991675470147	-0.0114776731428012	-0.0961599177267546	-0.0546620608384127	-0.0729588682948672	-0.0592720161043892	-0.0606219505719708	-0.0591611153434703	-0.0674759425030921	-0.057366730889414	0.0338103193330086	-0.0479557666206556	-0.0444969983237866	-0.062403479399196	-0.0573800657857318	-0.0579971871576542	-0.0371518726980781	-0.0492613563115354	-0.0613373056534135	-0.0293529267568297	-0.0342773463560133	-0.0498958699090371	-0.0830376541504891	-0.0780613763701644	-0.0581591804419913	-0.0666293442688419	-0.0376655605091528	-0.0539083492897615	-0.0367868188080437	-0.0466581051406704	-0.0722521649549367	-0.0757723131620228	-0.0681909027806357	-0.0657744396910293	-0.0723165784577274	-0.0527047086790158	-0.0795058372121139	-0.0382443602601492	-0.0582694676518182	-0.0645577484572975	-0.076006139685315	-0.0554081924676032	-0.0734384578710776	-0.0738659426473291	-0.0595322913021029	-0.0358911548052546	-0.0695040976340135	-0.0552542567669247	-0.0794888712442772	-0.0412350633149763	-0.0828442702233419	-0.0345552174296522	-0.0776984003020678	-0.036937904502443	-0.0673635693344326	-0.0857816831235366	-0.0673242825634183	-0.0714935002146713	-0.0119479646777365	-0.0649557334738977	-0.0560868733954542	-0.0731449834424584	-0.0508957785416205	-0.0371346446633636	-0.0442891138538389	-0.0531895355066452	-0.0586157535029895	-0.059301805647315	-0.0680057743958495	-0.0714976381548617	-0.0535369417693379	-0.0518984478148854	-0.0688628274825491	-0.0838960504525214	-0.0768521719338702	-0.0531086584088928	-0.0822430257941209	-0.0359543722726258	-0.0709818645864634
GA	-0.0621520801852302	-0.0794554282961304	-0.0610507717803994	-0.038626601592895	-0.0809635996830186	-0.0758280421145513	-0.0563933258989768	-0.0559000517315737	-0.058388104775749	0.0111736859157729	-0.0881618369165444	-0.0579432172191531	-0.0603810276046162	-0.0644914088163723	-0.0366734124426216	-0.0628292962339992	-0.0721554397309487	-0.063417511427706	-0.0415194273102472	-0.0742547319356004	-0.0481306863115448	-0.0156131266514421	-0.0947326540616846	-0.0578364891283217	-0.0736883448077722	-0.0582472435833914	-0.0660866157060152	-0.064789421329783	-0.0708702023221407	-0.0631209720218742	0.0285724852353771	-0.0517933235508147	-0.0421798154463057	-0.0617261571427391	-0.0655832626906197	-0.0611969076025338	-0.0322206962748971	-0.0542212319997159	-0.0633277912987914	-0.0397037638542371	-0.0301640408311299	-0.0553984767584056	-0.0824903544451817	-0.0794788131931633	-0.0611789660953572	-0.0700355200230451	-0.0363340823891394	-0.0576283066574395	-0.0453301322704182	-0.0535192140329138	-0.069781078304012	-0.0749210256343824	-0.0679655726334083	-0.0677862840431398	-0.0709191139036513	-0.0559510649059499	-0.0811654790614932	-0.043534241614376	-0.0619756321922316	-0.0682599959704014	-0.0776109019433713	-0.0626998345957323	-0.0716640546228223	-0.0768733004984199	-0.0570546559533154	-0.0373360012909277	-0.069492221496869	-0.0608406987346852	-0.0821467828940014	-0.047680041798695	-0.0815097046567354	-0.0413454276878931	-0.0746707718845306	-0.0367765961075757	-0.0701641355491939	-0.0871622801922052	-0.0693170748591284	-0.0692197309867297	-0.0141416622016194	-0.0635748870228584	-0.059845927308527	-0.0712365503521271	-0.0551946954777352	-0.0431011659388606	-0.0460029992485746	-0.0525695890375319	-0.0595953331850858	-0.0627637003432567	-0.0682600310048009	-0.0687929020808365	-0.0510913037518535	-0.054895413380071	-0.0716366628860453	-0.0858838607424944	-0.0741663817262507	-0.0596005216183592	-0.0834817785862713	-0.0422825326505378	-0.0724662827806399
HI	-0.0569676034693242	-0.0680125641886634	-0.0438990756235607	-0.0673648294794758	-0.0828858772428945	-0.12971276450373	-0.038595765465729	-0.0542873775087843	-0.0658759700730953	0.0288376296139147	-0.0800665280809428	-0.0578610834942604	-0.0331547986902748	-0.0959169125609372	-0.0135708878761129	-0.064693405399984	-0.0711489167765419	-0.0386034600759186	-0.020201585525602	-0.0574394161904946	-0.0287277132426934	0.00850447596884124	-0.123236314150987	-0.0389844864079993	-0.0828750470912293	-0.0840762147309968	-0.0515060860577769	-0.0433466721862114	-0.0820440206063792	-0.0485495071027052	0.0643695157235246	-0.0262355249488806	-0.0775744704894248	-0.0993737421292016	-0.040994249616993	-0.0425026637674449	-0.0632037607879952	-0.0296232897590069	-0.0820589152912777	-0.00354530670609082	-0.0590165571827478	-0.0310996142516502	-0.0995047158773245	-0.0913878001151707	-0.0406689888138169	-0.0616564834207811	-0.065860406068222	-0.0425859746547884	-0.0226588785754118	-0.021492486311282	-0.123139186620951	-0.114491498351996	-0.105104385185098	-0.0711253801012347	-0.117757500179565	-0.0382716431073124	-0.0799354409893806	-0.0307260338666641	-0.0591278537621344	-0.0544686640215439	-0.0788176011832734	-0.0396589626601992	-0.108666228981952	-0.0629684246060699	-0.0972176808572314	-0.0647026616683792	-0.107518722771675	-0.0289431451853758	-0.0848500075336242	-0.0245659179361691	-0.136423377101897	-0.0121837658481938	-0.126810463786041	-0.0412871387406253	-0.0598553830989685	-0.0699664724747549	-0.0637334116362757	-0.11976059503581	0.00652019607721688	-0.106370165557214	-0.0552349844117697	-0.112341296177656	-0.0366926187547787	-0.0286761903503659	-0.0519222733060559	-0.083596112894106	-0.071161661131236	-0.0521162986141923	-0.083255871128717	-0.119646268159566	-0.0904471543790494	-0.0388788824745818	-0.0631726126042681	-0.0801765253553927	-0.130582945367837	-0.0458226225233761	-0.0852743332618045	-0.0139838828008028	-0.0716287372966
IL	-0.056468670028442	-0.0748110022382833	-0.0542534804299275	-0.039165809514106	-0.0805701823495648	-0.0780118144456688	-0.0480698928896444	-0.0550962346108359	-0.0586197498140776	0.0130099086400131	-0.0875374590978221	-0.0523285697178561	-0.0512859835749069	-0.0661470718392361	-0.0277548042408086	-0.0587930108432433	-0.0683089224041815	-0.0578497243419453	-0.0341643849181219	-0.0716282803678509	-0.0407350907468018	-0.0093882747126088	-0.0970728994550285	-0.0507491069109043	-0.0758635833042908	-0.0597949280012006	-0.0609093329416461	-0.0592846045325055	-0.067896605049356	-0.0567769834626963	0.0315096722956225	-0.0423857885488459	-0.0426970316238267	-0.0637085857730751	-0.0581011935095522	-0.0555403963890513	-0.0372781583948479	-0.0486864574497405	-0.0638158112091723	-0.028896697915801	-0.0331378409781321	-0.044753227159785	-0.083924387343159	-0.0786639259289154	-0.0562141618661951	-0.0670255221873591	-0.0362143350922772	-0.051879582853918	-0.0383354297086949	-0.0440824321755873	-0.0739697725512012	-0.0757111668342419	-0.0700085873902204	-0.0641400061977234	-0.073993381350887	-0.053247546760411	-0.0783208163328048	-0.0405771303048544	-0.0577475543837977	-0.0641078029812083	-0.0752269323441258	-0.0561914478217005	-0.0743325423667799	-0.0762858926115646	-0.0592909181699895	-0.0378383162748331	-0.0712931241339487	-0.053198079528132	-0.0812858591386503	-0.0381893154846865	-0.0838500770301002	-0.0337741020255885	-0.0764278656035231	-0.0357741980909208	-0.0669418509227799	-0.0852709408476825	-0.068666987282449	-0.0709857548267286	-0.0108980164186377	-0.0655739956993886	-0.0556886571481659	-0.0719889111332691	-0.0485054321833433	-0.035707486430666	-0.0418825466487291	-0.0522962517384716	-0.0598282719977678	-0.0595923822679891	-0.0668795186175453	-0.0712046107783266	-0.0540760468181522	-0.0483368855097992	-0.0658398562931903	-0.0838054105073334	-0.0754240223420999	-0.0528413709528938	-0.0827652709969239	-0.0327465691102186	-0.0724466507396723
