V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99
4031328.26085586	3360391.18155962	4102292.79162465	5187884.26124934	3270673.4730839	3035731.02631129	3860396.72448719	3940671.42331621	4256161.73286938	3667862.04591284	2766654.95835257	3982736.9670043	4233424.81634498	4163033.91843358	4556981.75656849	4163405.03311008	3971345.23310582	3833110.33827509	4177834.95350852	3372946.36647111	4573831.39165705	4664631.35754273	2065973.30788708	3926296.39882343	3579051.32450133	4339861.75167374	3496213.72285749	3784997.11166726	4285562.51176741	3860635.72918485	2456284.42298806	4113940.80241632	4960520.26058105	4745166.72161701	4191239.86079484	3710890.77376832	5374627.26761465	4020373.57017308	3403300.3147311	4183266.21654427	4778737.28993027	4216819.75546001	3147045.43367224	3412046.39747518	3886119.02027545	3630495.46580814	5033438.2347802	3903271.66932081	4597161.07757799	3895916.47582241	2762121.57951195	3564799.29816716	3833331.9730341	3515691.59118477	2667912.11189726	3901965.21749646	3390155.35193462	4191782.59440353	4020125.28877434	3457073.90704099	3348383.86721492	3881107.14754695	3144993.24790899	3475004.64682557	4313386.88105559	5361262.36531505	3833077.03916358	3775210.1560853	3385976.37021365	4217843.87558351	2560599.20530273	4581314.88960419	3007257.93478156	5499762.8070243	3527667.62906497	3172588.84568226	3661938.35341407	3355682.18231868	4199185.50881639	4156999.8932266	3768385.27200967	3093386.93912711	3961975.69365844	4592059.58979115	3939196.60665546	4252235.64200694	4010265.13146265	3912843.38090318	3650767.80873253	3461228.64794471	4489409.2712654	3800660.48802434	3661313.87543049	3227163.61968387	2657279.86358118	4027731.38122275	2968202.79086587	4744200.86193468	3462090.7910968
4004574.02111019	3310714.01173081	4090714.96231486	5195598.82672031	3211633.39810645	2967935.34963493	3843670.35021488	3926447.97448433	4248488.38591187	3842487.4581842	2698557.40238097	3975854.83936042	4206262.00335777	4143585.72801219	4617763.78100761	4138986.50280846	3924003.07697808	3811079.52141801	4236538.08134433	3329292.39531308	4601703.26369035	4790813.27917137	2016679.3787084	3904324.44868719	3520110.00619356	4335959.40299866	3452522.57619521	3748867.79683464	4254431.4352014	3828513.24815792	2593594.02526973	4094989.26939966	4918175.41855219	4669672.74763556	4180633.39375093	3695987.5532425	5417395.65555061	4017646.91285285	3376692.99256612	4235802.49999371	4839938.16889428	4231375.91932633	3083451.25750394	3358275.20848472	3864501.85375037	3573002.42432012	5073092.49722082	3864997.87400344	4616675.27063839	3903552.69582106	2690442.62391901	3521781.64719807	3779102.19020864	3457623.98104207	2613451.15160073	3887934.83481231	3338933.11401389	4214488.55327774	3981638.59780266	3417226.50131647	3293079.53506715	3858733.68107067	3102894.60600741	3429077.94911883	4279403.10149562	5371852.74689911	3790319.02761452	3755153.75519951	3324813.33393868	4233367.27391446	2491882.84204629	4600681.75449832	2936361.57757509	5522909.23798445	3486176.47211887	3111892.21619594	3613136.86962592	3288804.23246032	4331517.49167877	4133151.53952076	3740271.24210751	3048845.77287311	3952909.59906353	4614964.76937057	3932237.24540817	4269935.63957934	3995598.06418343	3912173.64418987	3606117.26619066	3393760.54058193	4409520.02644314	3787797.5096126	3641036.96314465	3163282.14774481	2590630.57719309	4001204.5346307	2895948.76668893	4752024.3686712	3424994.53039257
3975656.51649238	3260330.48612045	4076780.44912236	5199125.96078485	3152355.4582908	2900990.6855153	3824968.02513243	3910000.77137773	4238008.19112494	4021869.56734631	2631353.66650938	3966601.89804001	4176793.31907983	4121554.69770974	4675793.95010077	4112146.88999886	3875031.40519146	3787202.30548623	4293073.81047797	3284743.61146036	4626448.65978008	4915872.15294889	1968289.03153282	3880360.97253905	3460497.41230318	4328997.49263893	3407782.81634315	3711155.26147887	4220768.61513347	3794606.29823975	2737004.36540412	4073795.24767858	4872910.58575415	4592522.92600987	4167603.06185661	3679254.78567722	5455417.81571615	4012709.31556489	3348699.99245558	4286384.77303071	4897620.80319239	4243382.33198062	3020025.11200036	3303877.21605309	3840951.13912608	3514713.80825431	5108643.24524267	3825009.60093737	4633119.95928717	3909162.73381431	2620291.28921678	3477627.34548776	3723779.50765723	3398955.76656491	2559565.8066519	3871837.33140192	3287008.76806393	4234578.06548225	3941248.2206293	3376274.50881412	3237284.02946349	3834427.97746731	3060171.45814999	3382184.90784024	4243004.70635262	5377899.41606022	3746053.11007246	3733352.87835716	3263334.51469253	4246321.10817719	2424751.54817343	4617083.99685198	2866528.75907639	5540901.57587388	3443535.77339907	3051150.67819511	3563196.24220304	3222261.0820277	4464058.74720015	4106870.392183	3710381.07381523	3003865.54125083	3941648.79446019	4634602.65713499	3922948.04051987	4284606.20292047	3978540.34279144	3909251.44997644	3560220.12184674	3326490.40800898	4328887.12452492	3772954.93249422	3619006.29970199	3099412.7421082	2525346.15001977	3972563.24490298	2824534.5994363	4756596.52062235	3386689.76698538
3944677.36562438	3209363.16252115	4060560.26570789	5198546.88586461	3092953.39971268	2834977.60205475	3804351.55468702	3891394.17593674	4224782.87166078	4205683.73600206	2565118.90074924	3955027.28033235	4145113.04642688	4097027.75237969	4730924.06681454	4082990.91640502	3824582.79091583	3761545.03565188	4347298.72429522	3239406.90285321	4648022.2861294	5039413.50250408	1920829.28155085	3854486.67712743	3400357.44629835	4319030.76330937	3362108.26283823	3671966.12659987	4184706.74961266	3759013.37272193	2886563.31602522	4050438.99445598	4824943.87994152	4513970.88158459	4152205.03921294	3660757.71103957	5488633.54810617	4005588.786783	3319401.2801762	4334898.80229207	4951628.26842889	4252826.92549657	2956880.42099007	3248967.49684982	3815542.46164231	3455768.94003429	5140042.32355481	3783423.97107123	4646467.56091818	3912753.76294675	2551716.03557243	3432457.8169409	3667493.29421552	3339823.81134607	2506314.16053999	3853726.56902739	3234499.37512758	4252007.85331757	3899079.60382313	3334320.69812561	3181120.48809128	3808262.42457955	3016916.75310485	3334446.73314893	4204337.51204448	5379471.67049511	3700394.07637935	3709871.44155044	3201659.70124348	4256690.61281335	2359231.38953267	4630486.69199777	2797831.83822846	5553693.50072384	3399848.42522169	2990481.42886	3512244.59617208	3156150.19554531	4596453.90308232	4078260.83994174	3678803.45677573	2958534.19731689	3928243.27860236	4650940.32596809	3911376.62990227	4296233.22607643	3959164.0593162	3904111.77055783	3513193.82289345	3259538.94565909	4247746.17287021	3756186.74141502	3595296.37826792	3035684.584233	2461467.34225942	3941904.74412776	2754052.46031757	4757911.83655653	3347281.34589521
3911726.29814356	3157921.6584422	4042097.52690483	5193932.73996551	3033548.15144309	2769957.65640308	3781886.74739961	3870700.78204956	4208873.50824515	4393565.58482517	2499933.51965341	3941182.79198361	4111316.4029364	4070116.28929663	4783012.77230727	4051615.30112683	3772788.63449869	3734185.90691759	4399091.71875906	3193384.91653223	4666385.66570554	5161070.23032815	1874327.61270488	3826777.09485445	3339817.39763952	4306121.93057219	3315605.21677843	3631403.43424831	4146383.76709084	3721846.49371854	3042261.69380539	4024991.06537175	4774461.8128716	4434255.04281217	4134497.48695369	3640558.1568284	5516984.13768053	3996318.11548458	3288878.78711579	4381259.89515509	5001796.71773942	4259706.9457281	2894121.75299176	3193667.78542608	3788355.71819524	3396292.80536832	5167229.33293799	3740357.87084801	4656695.61949963	3914327.99266951	2484742.32696647	3386391.52030197	3610391.35838217	3280343.65590076	2453746.32490771	3833666.14898979	3181525.14350509	4266755.4042013	3855253.11904155	3291466.9671199	3124701.66587399	3780327.59503354	2973222.14713146	3285972.83904559	4163530.47550016	5376636.02938824	3653482.36002969	3684776.13599146	3139916.78783063	4264466.61845877	2295340.12945732	4640876.68484348	2730324.72010202	5561275.32286048	3355225.02252014	2929988.30249946	3460409.00270647	3090569.53681122	4728345.46187819	4047444.90529325	3645639.32191564	2912940.33091868	3912747.90111303	4663939.43475517	3897575.2604182	4304810.24068109	3937551.1884657	3896775.35899416	3465166.4139723	3193013.57928005	4166290.25044874	3737556.62546227	3569979.82994614	2972209.16321815	2399020.68380771	3909325.33593432	2684594.29704391	4755982.92189017	3306860.30160639
3876914.8092398	3106111.53303427	4021470.49280359	5185350.44245734	2974249.08804471	2705993.23488105	3757644.29157282	3847990.32848977	4190352.9633379	4585078.4790136	2435862.37863544	3925129.10633752	4075514.93005319	4040927.58386157	4831916.62830555	4018130.79833268	3719796.41162265	3705205.05279114	4448328.07658123	3146786.90038116	4681488.52673838	5280446.82884479	1828803.4729874	3797312.28165308	3279012.1457524	4290345.54782127	3268382.85958313	3589575.46288313	4105924.83165455	3683204.01351043	3204049.34325797	3997529.38361028	4721643.22431261	4353598.07613736	4114542.06879699	3618710.5976929	5540436.86504275	3984941.68740954	3257211.85974518	4425348.75821301	5047979.22097074	4264018.83800113	2831843.45901032	3138095.66812651	3759472.53285643	3336420.6796577	5190155.0380652	3695929.70457481	4663787.45039268	3913901.67292601	2419389.23871724	3339539.83461087	3552615.61251496	3220643.2836233	2401911.71920862	3811724.42742751	3128199.56424301	4278802.9354034	3809897.40759085	3247809.99252237	3068142.61166302	3750701.85054548	2929178.05887886	3236871.75188828	4120726.36694503	5369468.05715282	3605447.34726617	3658133.41492551	3078231.34166952	4269643.2916843	2233089.01970153	4648221.74642835	2664063.81018258	5563636.52164129	3309776.83752388	2869782.56135343	3407818.05407569	3025612.21227422	4859349.12621765	4014537.7528247	3610983.58622341	2867162.12794031	3895208.49029245	4673586.6124643	3881597.69564773	4310348.29044742	3913782.15123901	3887294.51887083	3416253.85093143	3127017.05266669	4084698.3380014	3717121.0945441	3543136.97015384	2909086.06123674	2338023.47910347	3874913.56357773	2616237.18625776	4750831.8262606	3265542.01362613
3840352.32508083	3054037.02947072	3998741.11643428	5172899.45513343	2915154.94133881	2643135.52923415	3731693.97210927	3823341.10722646	4169297.93273683	4779741.09932641	2372965.57446311	3906930.37717603	4037811.93566486	4009567.45268934	4877511.25248419	3982651.79211501	3665748.13652876	3674685.50739989	4494889.7855075	3099701.84882933	4693322.31662044	5397145.74954195	1784278.24006547	3766179.9965644	3218064.84225865	4271784.65319169	3220542.16070766	3546592.63692897	4063469.10794211	3643195.35643556	3371834.22514154	3968134.75302474	4666685.11016179	4272218.83385594	4092413.12493559	3595288.31033941	5558952.13555845	3971497.99325134	3224486.29124236	4467084.94288658	5090045.02076165	4265779.93961604	2770134.52179676	3082365.68473395	3728973.64137475	3276278.74770202	5208795.08367717	3650250.20234365	4667740.17839737	3911494.08579654	2355673.86051354	3292009.85241989	3494302.0217612	3160840.86046952	2350854.42185367	3787971.24709554	3074634.94908444	4288138.73037928	3763138.72936224	3203455.83125963	3011547.58175425	3719473.69033431	2884868.66191985	3187259.98153963	4076064.88862719	5358053.86680872	3556418.79581848	3630022.39545334	3016713.37043597	4272221.57166441	2172482.38312088	4652518.30999884	2599092.52648105	5560818.79137605	3263603.23635049	2809954.57039267	3354590.44162758	2961361.40694497	4989061.48382679	3979657.2558586	3574931.54710997	2821282.46851586	3875693.45890315	4679877.24432211	3863511.05985462	4312865.58917872	3887945.82053425	3875707.17490591	3366576.4331457	3061633.35852971	4003153.34662163	3694946.96679799	3514843.20572065	2846420.25372654	2278492.02183527	3838781.81666659	2549047.41765207	4742474.82303473	3223410.97850878
3802150.70584431	3001796.93632145	3973989.32527487	5156678.1999566	2856360.79108078	2581429.30818699	3704114.69116265	3796830.30855172	4145800.03392258	4977004.34236148	2311290.55255652	3886657.06785733	3998315.71356102	3976144.26855523	4919649.86968153	3945285.26052213	3610782.82514248	3642713.38165991	4538664.39585062	3052232.06390494	4701865.39986739	5510769.45966975	1740761.75458999	3733472.79880475	3157092.70555032	4250526.807726	3172181.47240057	3502560.97713191	4019156.83568594	3601924.66270538	3545488.47840978	3936891.07761986	4609766.78761244	4190318.25590315	4068184.7008819	3570357.8894075	5572517.76724521	3956032.0080839	3190791.72268935	4506377.80703834	5127879.26171756	4264999.88048889	2709075.84786838	3026579.46716764	3696945.56881158	3215989.82662437	5223154.048083	3603438.64647021	4668562.16101632	3907123.21021755	2293598.46688251	3243907.36353675	3435581.10034715	3101053.46473395	2300607.589533	3762476.94044351	3020923.95659106	4294746.91952542	3715105.0968944	3158495.54640838	2955016.89214702	3686724.88875355	2840371.28433462	3137235.25538079	4029690.33944291	5342498.43468147	3506510.18448562	3600517.6852185	2955462.81743723	4272211.87581255	2113517.64632025	4653770.43124202	2535449.83865695	5552853.34537323	3216804.41501106	2750601.76273524	3300846.33995115	2897889.65720886	5117063.42850796	3942921.54501273	3537580.93358323	2775376.2907898	3854270.3535301	4682818.56948694	3843376.88304878	4312372.95884723	3860133.23054039	3862071.96172545	3316246.12085629	2996951.16842036	3921811.95288983	3671104.02325556	3485189.53770552	2784308.07957077	2220438.26274599	3801031.67699257	2483090.13597895	4730954.26752544	3180569.38885667
3762413.27797543	2949489.57585052	3947302.97488104	5136797.08588226	2797958.67068691	2520914.55283467	3674984.6930056	3768547.36723307	4119944.32856067	5176253.05540968	2250878.55080524	3864372.10939446	3957133.26627009	3940778.07680762	4958241.93263278	3906151.99802227	3555028.48527881	3609373.19431004	4579534.61859614	3004467.50178206	4707121.07096193	5620908.97982542	1698266.99829214	3699277.46658929	3096208.62682729	4226657.92886517	3123408.89845124	3457584.84264846	3973124.61479051	3559493.8726287	3724809.93145493	3903891.29737736	4551081.78822608	4108104.04615695	4041933.99654858	3543987.85816306	5581151.30159954	3938600.19885975	3156202.16622581	4543141.8066733	5161390.34190547	4261699.91668821	2648747.9143873	2970838.78358979	3663476.63476268	3155662.08264295	5233217.68301783	3555605.68621463	4666268.81120591	3900814.58539532	2233166.44419006	3195350.79544385	3376575.33599992	3041381.04607778	2251206.68199342	3735321.11641416	2967167.4251374	4298638.27209164	3665918.31587302	3113027.07608317	2898646.25525839	3652554.83738847	2795761.63013629	3086900.54426273	3981751.78609981	5322914.20042518	3455852.596743	3569694.42145782	2894574.03304025	4269635.78028766	2056193.09660642	4651982.82970058	2473164.02067841	5539818.7983586	3169482.72920382	2691803.34617821	3246695.7358016	2835258.22153851	5242938.37648304	3904449.29417833	3499024.72404036	2729519.01607851	3831003.5804608	4682403.27112912	3821266.26068439	4308909.74614331	3830432.3126574	3846434.47594973	3265378.65275374	2933042.35159648	3840827.84306225	3645663.83683826	3454247.72458059	2722831.47885614	2163868.30099113	3761769.0216534	2418413.79032098	4716317.1617819	3137112.45858017
3721254.67285489	2897204.2465045	3918748.64700441	5113373.67812891	2740034.87044488	2461621.21297101	3644386.55798179	3738579.68607287	4091825.64876761	5376819.23015331	2191765.21632302	3840162.49389549	3914370.8434919	3903589.25955868	4993173.72194989	3865370.64783935	3498618.22621345	3574757.39991568	4617408.23043282	2956500.36155282	4709088.97472087	5727169.95439635	1656800.59884263	3663684.27109763	3035518.03097309	4200282.7697393	3074321.33820638	3411767.82994721	3925510.95027742	3516008.38780368	3909550.91067759	3869226.95767253	4490802.42176041	4025756.08862509	4013744.32747892	3516256.93900129	5584887.85334058	3919256.71045036	3120797.23078386	4577286.38913762	5190473.92302337	4255903.44653736	2589220.18389125	2915238.61511716	3628657.69879158	3095409.94876083	5238997.00175678	3506865.29514839	4660884.49725243	3892595.64115715	2174377.86710633	3146430.06201316	3317392.80404434	2981918.80127132	2202679.1223005	3706583.04891203	2913465.80583834	4299827.52969514	3615707.00115301	3067143.49194919	2842530.83179003	3617049.12703155	2751117.04054065	3036351.43841293	3932378.27472139	5299423.81422271	3404562.7220607	3537629.58024457	2834146.36393847	4264519.41467312	2000499.18643206	4647177.00527708	2412260.07952717	5521799.73224872	3121731.94960541	2633632.70610647	3192244.73243911	2773529.67933733	5366247.04913306	3864366.44579703	3459373.2408931	2683778.81263814	3805962.48395061	4678669.64429254	3797257.23967963	4302514.79913861	3798946.52409003	3828864.90678074	3214075.32749222	2869972.99464348	3760343.23341729	3618692.70181789	3422104.8832602	2662068.22583848	2108783.14033388	3721101.45014093	2355063.20312416	4698613.14608226	3093132.04963484
