V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99
3084973.48240158	2321415.74930804	2316457.70500585	6450358.43039898	3286121.28088955	5363026.20166446	2322132.03994202	3020786.4230691	3608048.46130779	3014277.03072384	2722338.92334126	3049939.80448356	2298797.96293646	5306302.39804869	2436463.30923586	3281561.46701054	3244537.67367794	2081150.56121073	2261940.11682364	2232262.62827077	2469171.91063234	2488615.72207795	4138141.08427793	2297263.58284314	4063962.65220007	4989610.46377154	2573794.93777623	2337153.71125238	3767914.00578963	2503597.15179567	1916014.72262266	2247256.40999934	6058410.99219995	7395506.14797894	2071381.7907729	2176060.83448426	6699884.55796147	2030976.39054833	3953900.11545087	1748264.99011644	5904416.29369468	2122357.75402645	4326035.34662566	3704069.147408	2142777.80874325	3064796.80621736	6389437.31346003	2780098.87574956	2302831.57399315	1845556.37340765	3923571.99379263	6043202.74820268	6774092.18443557	3949808.98007099	6286142.39109383	2322375.53789803	2801563.80915175	2565859.02123049	3204754.72521792	2537370.42169974	3242605.30524594	2220816.36877595	5538674.78312437	2279084.51530101	6684777.69817227	6639584.42383053	6252892.00657478	1857594.32081196	3162946.9229173	2321401.96652214	5122816.97770225	2233833.11137752	5379265.71841443	4595277.67853675	2556398.83795615	2082018.44622926	2990158.02678905	5696464.20495782	2426389.89924725	6451138.9470644	2960609.88871046	6068655.4232549	2356523.3912187	2924778.87327701	3779247.33619626	5346023.07691126	3869552.7610468	2443085.19411066	4222508.55961813	5845657.99095007	5554025.16837468	2452111.73524941	2364153.35705102	2696428.48661909	4094232.74222817	2703634.05205132	3539352.50144113	2390306.64501965	2819004.61303006
3202970.55527648	2420277.07345385	2420601.67312991	6427717.55218344	3399840.85822893	5213651.54927542	2421083.14677749	3132398.54422402	3734197.23018998	3162866.55811442	2825857.24598844	3162862.47537051	2406595.64676001	5422006.1632846	2550480.90145089	3405145.01084022	3369361.27854541	2176087.94831738	2366743.39468777	2327504.99095333	2584135.03396506	2616016.14974567	4214351.93617662	2398202.89690958	4188155.16476995	5114011.34537034	2677004.01685451	2439190.98628026	3902923.12075223	2609601.77842353	2016648.76708522	2349251.13071534	5962342.68883999	7304431.01491929	2171953.55459792	2270083.72179308	6740340.99903442	2125506.91314467	4057406.16677307	1838298.406183	5989196.40845026	2222938.82460051	4441739.4888639	3821579.34173066	2240190.5212442	3183157.8501625	6430002.1856546	2892352.39942148	2412750.74627647	1932936.24675401	3782947.63020453	6110795.79203012	6801564.45892458	4071965.01525591	6202987.81051708	2422078.9582936	2909585.8941038	2672630.2977914	3326459.51333795	2638180.17817196	3356464.25685181	2319763.79774677	5608482.07869877	2377883.57109386	6678633.30183144	6622850.05794681	6318488.33758896	1945657.80720108	3278430.52499285	2424162.71122211	4957461.80539265	2340631.7505499	5224253.95263318	4754415.07264292	2659896.42555265	2176524.09876705	3104955.44527671	5558961.28260516	2550797.12142823	6488819.53898942	3070187.15118287	6097142.61435189	2456968.00460063	3045651.85246836	3888924.43497084	5449344.40487955	3990257.58870357	2546010.42940633	4341698.63826213	5709678.37286855	5411640.54526616	2551175.27523485	2462890.43954464	2804414.96189816	3951926.94753167	2815008.32692313	3655303.79013647	2503875.89361676	2924062.98797352
3323203.72182139	2521925.46213883	2528014.26145555	6398860.68955706	3515119.68429208	5065176.57201265	2522905.39485844	3246012.59724934	3861745.43680974	3316425.47007082	2931454.46277817	3277787.86392532	2518001.37275825	5534351.55607762	2668290.11556382	3530816.40533692	3496448.31438008	2274211.97147132	2475081.8773099	2425526.35216137	2702824.58079175	2748275.442964	4289999.78104092	2502215.51707251	4312856.19472548	5236133.56016183	2782726.47807601	2544260.52816279	4039453.89820072	2718496.84114483	2121767.42367743	2454563.84350651	5863088.43044122	7206002.94852288	2276209.6315636	2366975.53514526	6773129.19731599	2223359.31632349	4160502.66571314	1932168.85794207	6068287.36842524	2327085.62385847	4557254.11745816	3939982.48746258	2340827.56704062	3303822.86690355	6463596.30412524	3007237.74878247	2526497.51450806	2023577.64490468	3646454.92329751	6172322.95278304	6820932.30320676	4194785.75656786	6114837.28650042	2524709.16235815	3019865.8374185	2782233.50199599	3450348.28430153	2741431.19183623	3471977.53031795	2421834.8252511	5673647.7006549	2479590.61081307	6664664.21007077	6599319.90608924	6377417.08237114	2036985.52499404	3395812.11887496	2530114.6867056	4794679.57884981	2451218.48705059	5070424.9095823	4914091.98991205	2765955.20323718	2274075.91906566	3222010.80300798	5420686.33240656	2680004.37450829	6518949.83916958	3181787.0809187	6119319.8474604	2560309.54856637	3169401.74718136	3998777.31966753	5548636.79540944	4111436.18959134	2651766.40640986	4460690.51022151	5572485.84323116	5269613.88136362	2652797.65226576	2564339.73528729	2914854.57416904	3813392.92084208	2929150.65898193	3772495.55180253	2621319.87408749	3031169.2580881
3445533.45702792	2626334.80527428	2638665.70719267	6364030.58350733	3631850.21352775	4917975.727444	2627563.984482	3361491.4120093	3990455.93120835	3474819.04332196	3039081.73470865	3394563.39724844	2632992.06940741	5642944.92974602	2789836.43884349	3658402.24578057	3625644.52536356	2375525.22529112	2586932.37606413	2526299.65373307	2825186.2548721	2885364.54739947	4365030.16442112	2609272.61199702	4437859.30538275	5355581.92953451	2890904.92034745	2652324.8836742	4177255.06943692	2830232.57448362	2231433.79817089	2563174.11747905	5761070.97164589	7100781.42427889	2384168.07253951	2466714.01322146	6798218.36525002	2324544.31524736	4262978.87718163	2029934.02958383	6141383.80084637	2434793.38512353	4672403.67175797	4059106.16359793	2444673.87140799	3426677.23869537	6490160.60232993	3124664.66191557	2644052.10368024	2117511.79265373	3514156.81900765	6227573.70558106	6832160.35459688	4318076.91476771	6022101.96123339	2630225.97920554	3132322.22873546	2894585.83079695	3576269.1818612	2847061.18193649	3589030.82989557	2527009.8113815	5733965.35105499	2584182.73487441	6643014.20465624	6569227.13045482	6429464.86292481	2131610.9866651	3514989.45414105	2639220.16567496	4634792.22091353	2565580.98533403	4918180.74111559	5073853.89655371	2874515.69637442	2374684.49674603	3341218.79998344	5282094.30942395	2813993.22771553	6541483.54736586	3295286.83424614	6135136.25542916	2666504.9433023	3295891.76838051	4108568.909817	5643528.15933688	4232843.31772505	2760299.12333862	4579242.27225127	5434549.85187975	5128324.02179278	2756915.4847616	2668456.5249309	3027686.33384862	3678753.24416636	3045971.10686488	3890833.34138457	2742606.72352118	3140241.21631546
3569798.83115916	2733472.16764918	2752515.42987585	6323450.59797839	3749903.68716912	4772401.5556254	2735002.45794958	3478680.80769872	4120076.10734504	3637860.73000696	3148697.64410533	3513029.01662971	2751543.10964819	5747404.79397463	2915054.86843313	3787712.36646924	3756795.87299992	2480021.55799553	2702250.4442408	2629799.16644851	2951152.34131399	3027231.44555776	4439386.53275382	2719335.70906413	4562948.26781495	5471947.44212779	3001467.85449428	2763351.27316513	4316067.15860824	2944731.28117237	2345693.38183058	2675057.10590455	5656646.21116627	6989360.25727771	2495833.09579708	2569271.48550481	6815592.72419135	2429058.0826017	4364603.48430263	2131649.3390184	6208208.16009626	2546053.31468304	4786998.7381299	4178779.84791813	2551719.45954733	3551601.49770825	6509663.75231678	3244529.38768239	2765378.17045093	2214760.58906192	3386085.82667144	6276376.6030487	6835277.03768617	4441629.49098795	5925188.76133894	2738584.26952971	3246866.73336798	3009588.97201203	3704055.20723024	2955005.92141302	3707499.71856746	2635257.4209231	5789238.42255877	2691631.52279295	6613860.77609123	6532791.68652016	6474461.89929282	2229556.7521521	3635849.45209026	2751418.97262465	4478067.42283113	2683695.9654887	4767866.67938643	5233207.77850605	2985511.17862654	2478354.93984891	3462458.55219234	5143607.65615418	2952710.95085277	6556391.64023603	3410555.66936627	6144587.04238373	2775499.37620289	3424965.89471245	4218052.60655785	5733662.45316904	4354206.15980217	2871535.21528787	4697084.28987573	5296308.07558669	4988117.55331519	2863458.82740521	2775189.78765602	3142851.90783426	3548073.78978697	3165374.33085586	4010243.85550601	2867690.25101928	3251164.18222768
3695825.62506751	2843294.31067236	2869503.65445203	6277377.01026935	3869164.30283574	4628758.68072939	2845164.88051048	3597412.69913199	4250337.78858358	3805317.35496401	3260258.89790321	3633013.63015943	2873604.74488208	5847366.61685202	3043853.53715204	3918541.35850475	3889724.67655859	2587677.37031542	2820972.23612352	2735992.37334915	3080632.73039061	3173774.20841855	4513006.83319358	2832348.0822689	4687901.70268288	5584828.6812903	3114330.49543422	2877280.23642432	4455612.37228093	3061915.71153525	2464573.7996754	2790154.22624136	5550209.42179479	6872327.20501474	2611196.46288366	2674606.53355832	6825260.76119312	2536888.81235335	4465145.62520187	2237351.29975435	6268507.64858298	2660840.65719053	4900852.53655032	4298813.56142837	2661930.60077576	3678461.34124107	6522096.89513628	3366713.75228718	2890416.00412714	2315330.81142142	3262245.41829658	6318583.01581095	6830342.19456044	4565225.35071051	5824502.9743118	2849717.58521947	3363401.62169406	3127127.71796521	3833530.77090308	3065179.87954122	3827240.64339654	2746536.47023442	5839293.50679484	2801899.68491259	6577426.98224839	6490251.74505376	6512270.77504774	2330835.28269634	3758279.13232206	2866649.23785118	4324748.18660954	2805517.52838461	4619774.48745818	5391636.19888605	3098863.58497587	2585074.9868965	3585595.26824065	5005587.90565619	3096081.89743445	6563677.38569423	3527443.86909407	6147681.52471909	2887220.30153805	3556447.29560619	4326960.93553804	5818710.26631122	4475236.01322439	2985385.44244571	4813950.77432518	5158169.46975373	4849301.43557183	2972342.60648893	2884471.92352875	3260286.10855254	3421396.97636966	3287239.34720781	4130633.25263736	2996501.35415289	3363831.21542075
3823435.32683703	2955749.34000811	2989553.60503443	6226063.91905056	3989494.17611075	4487312.67349734	2957973.55032155	3717506.88310339	4380956.82770787	3976907.91942984	3373720.63617331	3754318.21622705	2999115.5421449	5942465.73341563	3176124.10817546	4050666.84756149	4024246.12697766	2698461.57236015	2943015.76544672	2844826.85218751	3213514.99106487	3324873.91699828	4585814.0892409	2948242.61275026	4812476.97136917	5693825.65173854	3229401.30141669	2994045.30307945	4595597.4019628	3181687.34793004	2588079.69798796	2908413.15739465	5442113.9712627	6750256.40014907	2730227.63347693	2782667.09622995	6827263.33143739	2648003.79176975	4564362.56932399	2347067.17776516	6322069.08712196	2779105.2956268	5013759.39822121	4419016.66453716	2775270.11663902	3807113.37093004	6527498.96930284	3491084.82755955	3019094.47998864	2419223.04269965	3142622.76095572	6354055.6222257	6817453.50225607	4688637.4808433	5720455.37210102	2963545.93809557	3481822.23531351	3247071.04958755	3964489.83246079	3177499.06245893	3948111.18377094	2860793.541203	5883979.45699004	2914936.73884476	6533952.99443023	6441858.25895853	6542774.48186512	2435450.06612738	3882136.28605543	2984823.94107217	4175034.87240691	2930984.27319647	4474181.65052263	5548611.42177524	3214476.51351558	2694840.69354287	3710486.51734974	4868402.59105237	3243991.48620723	6563399.01001271	3645791.39574157	6144460.35515307	3001584.00240769	3690132.92811365	4435038.49097187	5898348.50160291	4595639.67072871	3101753.26174247	4929559.89396518	5020516.69671708	4712155.41271728	3083465.42621155	2996224.08401417	3379907.46512627	3298741.07405924	3411435.10500735	4251912.43581486	3128951.73214978	3478120.93683817
3952413.7279812	3070779.22920237	3112574.65254611	6169797.77844863	4110743.6305618	4348302.43981151	3073337.45473213	3838763.42830356	4511624.49782915	4152309.61049411	3489033.25091414	3876732.49190525	3127994.71323162	6032346.82974038	3311720.75570235	4183844.86940518	4160145.149413	2812324.18148394	3068271.52005266	2956250.71579796	3349661.69842151	3480373.11460006	4657733.46013188	3066936.82798628	4936424.01670072	5798540.0129003	3346575.28549655	3113564.38056431	4735695.27664594	3303939.74451954	2716190.35788632	3029758.7347473	5332716.41102356	6623735.1151357	2852886.63057335	2893386.97430163	6821689.87477196	2762363.78298948	4662017.89748774	2460804.18789051	6368695.23802111	2900785.49265188	5125506.24659912	4539178.29790793	2891677.05023033	3937393.5117162	6525937.16541987	3617487.3068839	3151310.4243263	2526420.92400469	3027186.25140033	6382707.97952002	6796727.35577995	4811618.0000426	5613452.55947677	3079980.41460861	3602013.85491891	3369264.7873696	4096722.96593861	3291861.83412769	4069959.38191996	2977955.39141587	5923147.32808339	3030681.54259059	6483710.68895766	6387897.21035592	6565895.59628672	2543392.3920116	4007292.63718702	3105836.84283601	4029089.30086712	3060009.79709576	4331324.51813156	5703574.33590954	3332240.7948082	2807630.19348115	3836976.92256438	4732374.3353513	3396295.0519392	6555648.06908152	3765415.28267459	6134986.45835751	3118491.60815379	3825796.08885377	4542001.09764626	5972273.3910794	4715117.53567761	3220521.23613253	5043630.71339894	4883696.64588561	4576928.35625633	3196715.29005852	3110360.92848568	3501636.36391314	3180109.15481914	3537808.08386784	4373987.09596691	3264915.06946012	3593891.03515152
4082542.28923786	3188305.31567777	3238453.8123526	6108850.70714336	4232765.58340306	4211943.55869156	3191148.97156138	3960964.7529747	4642021.98304231	4331126.62510994	3606141.69525581	4000031.11229502	3260142.02568426	6116675.84071099	3450480.52639992	4317815.51234879	4297204.5885787	2929202.04482137	3196618.81966826	3070200.83562683	3488906.90463198	3640068.83055211	4728662.07068832	3188323.31993381	5059477.10760412	5898573.2334136	3465733.14656828	3235742.16574798	4875578.05003981	3428541.61689368	2848854.65503438	3154092.10949935	5222345.16773656	6493333.84824728	2979113.78129989	3006682.57151084	6808644.84037223	2879899.60842457	4757851.7972978	2578556.85990673	6408239.40601933	3025795.91527729	5235866.35685871	4659081.15032976	3011077.39138831	4069131.36311617	6517487.67372265	3745749.69378152	3286944.06674367	2636895.21469221	2915892.47019091	6404470.78601692	6768342.13744641	4933913.09519616	5503891.39141815	3198907.38118926	3723846.65755253	3493538.91138341	4229994.60395892	3408145.90094431	4192615.67322318	3097936.57541282	5956693.25836791	3149060.81704963	6426996.79895273	6328655.53969067	6581600.87358414	2654641.39171565	4133607.89007716	3229563.85823207	3887037.68636766	3192485.90088053	4191395.67695032	5855952.33989876	3452045.59799724	2923419.00084389	3964881.86588572	4597789.70004933	3552805.34586463	6540532.20137817	3886133.52311087	6119354.53882041	3237826.68498226	3963187.38085811	4647561.83273127	6040212.64303546	4833347.10541176	3341552.29448146	5155864.05722367	4748021.63334704	4443852.67391762	3311966.59536304	3226768.02877934	3625379.29960778	3065489.33026207	3666197.11615266	4496747.53396663	3404257.57564745	3710996.86015618
4213583.79584815	3308247.51391269	3367068.19720125	6043512.30688809	4355388.50139682	4078413.90606519	3311289.83822797	4083875.85755522	4771813.13703575	4512938.10719711	3724996.15272974	4123971.46426915	3395441.13403994	6195142.43362809	3592203.67636703	4452290.47264876	4435181.48075924	3049026.05360604	3327898.37551099	3186592.84126819	3631066.51580306	3803724.30355134	4798503.91931285	3312290.50799835	5181358.34116425	5993555.9341358	3586743.69742034	3360465.83282934	5014891.56198773	3555353.07601803	2985994.36482891	3281296.68835016	5111305.79683744	6359611.59916703	3108827.42999207	3122459.8254146	6788272.2067704	3000542.60750517	4851622.16720086	2700296.145264	6440559.33520801	3154038.84725193	5344605.96030078	4778505.3872745	3133384.70123213	4202139.42736487	6502267.24248691	3875696.86876451	3425845.1392884	2750597.85111883	2808682.98376513	6419307.66955062	6732492.57122788	5055256.85375159	5392170.8746732	3320203.77738772	3847179.01356209	3619696.25171163	4364055.89977824	3526233.98853571	4315890.57072743	3220634.09235228	5984515.64565573	3269994.23890694	6364124.27468855	6264432.89973886	6589886.18024741	2769161.67843301	4260913.81790454	3355864.75381024	3748978.10110694	3328278.34450721	4054567.22697818	6005157.22878148	3573754.35428412	3042170.14293824	4094016.93518453	4464918.64055759	3713295.96614936	6518213.58000563	4007735.45523847	6097680.63575416	3359454.84258062	4102029.25124856	4751432.18728642	6101907.42673246	4949990.41295695	3464694.88070613	5265952.40558128	4613785.69531501	4313104.0203288	3429077.71965808	3345330.10604925	3751029.2377834	2954846.36355821	3796416.65313742	4620074.84257641	3546820.82170924	3829274.28528799
