wdst	wodst	permdst
AL	2023327.29785592	1975773.00072525	1944682.00200492
AZ	2654112.61211347	2654112.61211347	2470647.54572067
AR	1220598.45314368	1208021.19586962	1152471.70181148
CA	15686101.6608156	15398486.0176891	14991463.7999952
CO	2108860.95719646	2077702.53470473	1986021.05020822
CT	1504040.55209292	1472590.96451115	1418567.21541728
DE	376428.663010767	370292.394518341	354624.750593597
GA	3957641.61370956	3994514.61960106	3711665.95478988
HI	567085.356328295	567085.356328295	534779.862615724
IL	5395816.15452777	5289200.44891131	5091121.59256361
IN	2673391.10866042	2665958.20232192	2486142.88223691
IA	1257857.33222678	1248189.12017114	1168815.87141242
KS	1168610.70035233	1173308.49317103	1090233.70958889
KY	1775064.93013469	1777577.73089654	1654483.03882701
LA	1902090.39391115	1880495.80458174	1818797.08529468
MD	2413568.75593379	2382302.88887468	2265413.46015688
MA	2763516.97686042	2693216.33713376	2620433.57789688
MI	3938419.03837906	3970472.69390253	3621123.63584089
MN	2164895.26112909	2152726.64189989	1992757.32567501
MS	1251218.74713179	1229351.69781378	1197561.93722028
MO	2498412.35626851	2472298.886159	2344443.00873283
MT	397112.879339062	397095.700080891	363796.863804461
NE	744997.978063493	745197.785936044	689997.281231667
NM	863050.662514869	853289.029973606	819347.814127278
NY	8119220.13842739	7981428.24936988	7628856.95647031
NC	3957753.349733	3950740.10660592	3720613.13502259
ND	265597.073554015	267000.126112869	243051.039565544
OH	4665650.91280089	4689490.22207272	4321991.6457985
OK	1538208.4673951	1542674.32518763	1440801.34954523
OR	1571453.58414615	1562195.56421846	1453327.54927859
PA	5288543.244974	5229390.58759074	4939817.10578359
SC	1905991.21011634	1910665.53154036	1792357.47271741
SD	331384.695897143	330819.502963798	306269.189021017
TN	2653161.47176865	2630800.00632011	2513358.06980118
TX	10365602.0765446	10429902.6316747	9789665.3924353
UT	1124190.40118811	1129151.11486792	1041519.60707488
VA	3334678.65974868	3304262.24560471	3134947.68355528
WA	2753679.91530983	2727734.98413033	2529529.22401778
WV	763433.082115918	760900.104155372	711050.844119909
WI	2384181.6904123	2337419.47629958	2235476.91965477
