AL	AZ	AR	CA	CO	CT	DE	GA	HI	IL	IN	IA	KS	KY	LA	MD	MA	MI	MN	MS	MO	MT	NE	NM	NY	NC	ND	OH	OK	OR	PA	SC	SD	TN	TX	UT	VA	WA	WV	WI
77157.2040592783	117332.954373577	46083.631047934	548948.129255209	60992.4479398387	37013.5621337862	10927.5354031029	170682.190144042	27247.7072418705	134082.935081461	84215.5501766381	35488.0844735118	42238.3812375201	66044.7084378578	83798.3145103109	75314.0304826901	58774.2833757586	128907.897125222	53153.0874220074	50927.2125727559	82678.0616354296	9818.98273478646	24182.1953823966	33042.0612690674	204259.165233052	152761.141820776	6851.17580877205	160501.256023139	62156.1432667142	38431.3122289684	154811.240989312	79242.8221648194	9266.67558838304	97054.8297966851	470469.218610364	38573.4823118703	112865.202252827	53586.7071000366	26457.2479882325	52168.7981533196
80192.3890049327	120453.273615013	47794.3408341245	572249.723344492	63865.2656913899	38950.3989492862	11439.6035666202	174980.132534663	27139.3955052147	141038.969742693	87600.7454126674	37031.6686226574	43689.2605714317	68207.6573196346	86361.6175445308	78599.3576105942	62121.0198429694	132840.329499912	55468.9743187137	52753.6274965376	86099.2832722693	10201.929536807	25061.2981170426	34280.9090737869	214647.926300708	158053.996894197	7086.27891272357	165790.244824014	64013.3731749893	40167.6993670744	161708.776400751	81595.1045896426	9638.22148668938	100835.722104625	481722.286975132	39891.0564020232	117452.316434629	56185.7171105852	27426.8760980622	54978.0538746484
83253.6617147333	123512.378297332	49514.6914520365	595914.447634376	66814.180442838	40956.6611421619	11965.0490739671	179187.554875642	27006.8372076485	148239.575371287	91040.1741743584	38610.6431599768	45145.3190579284	70371.096734194	88895.3435015589	81951.5595813093	65612.8291951552	136782.862395732	57846.6182343321	54581.8752298053	89574.0816011258	10593.1698951689	25949.3878143824	35526.7155552237	225390.057000964	163353.270686926	7325.04327848547	171099.140574071	65855.5888064885	41953.6210803582	168766.691628344	83923.8558351325	10017.0457347241	104652.60503602	492670.290358902	41215.8713977047	122104.76180048	58879.4481766265	28404.5151976242	57898.5187840557
86331.3982417966	126498.911483392	51239.4505131126	619876.479968631	69834.1917318038	43030.8415651015	12502.9673699817	183292.28542287	26850.9318028117	155679.197471161	94526.815746656	40222.8956945222	46602.6995404956	72528.5298718886	91389.0951269668	85363.9058875919	69250.2146159289	140727.021957915	60284.1127186077	56405.6275477683	93095.3896265732	10992.4326166073	26844.7148547034	36775.5662145055	236472.942839042	168642.591086737	7567.19763034281	176415.81710483	67676.3976960451	43787.2331345075	175973.227065188	86220.6926785909	10402.5787999843	108493.524911248	503273.575403549	42544.7467625756	126810.704496226	61668.5315967034	29387.7658056477	60930.0473401317
89415.3032383228	129400.915907098	52963.0669395562	644070.703561901	72920.0663733835	45171.0192622699	13052.4624016391	187277.860153183	26672.5093949571	163350.708277156	98053.1340181565	41865.7698836496	48057.3213421854	74673.8045994537	93834.0222424729	88828.5840633144	73032.2747748656	144665.088245801	62779.1906651017	58217.6201829635	96654.242071574	11399.3130939179	27744.8795344961	38023.4856643671	247887.441118485	173904.137160662	7812.48342094068	181727.89276253	69469.3682505808	45667.3222658409	183315.453460238	88477.7365530092	10794.2628619625	112347.021744362	513490.831758923	43874.3056918987	131558.553601929	64552.7712192543	30373.9669512876	64071.5913312756
92493.6831122547	132206.844116395	54679.3144265605	668421.858886124	76065.5561104036	47374.8261320359	13612.3484143256	191129.172418437	26472.3632693475	171244.722466724	101610.94609694	43536.1987687761	49504.7603088086	76800.0186975442	96218.8519289077	92337.8317520086	76957.7059387067	148585.948002281	65329.1744747024	60011.112369308	100241.044382908	11813.3509985377	28648.1240916025	39265.9927714976	259617.899120969	179120.488921871	8060.64459227943	187019.381571552	71228.4714773125	47591.6585133747	190776.65270757	90686.8703427245	11191.4567484758	116201.082321981	523282.04056977	45201.0847273037	136334.495947706	67532.0742357299	31360.3373193257	67321.0463325447
95555.321107239	134905.572672832	56382.3497396858	692848.996898798	79263.8200507885	49639.2797669879	14181.4004983318	194832.984245195	26251.5791350594	179349.866566612	105190.87381804	45230.8416692825	50940.5224983391	78900.6085781791	98533.8919626217	95881.8634904486	81024.1930150626	152482.345733244	67930.4325702945	61778.9961758187	103845.03607729	12234.0196384645	29551.8999681126	40498.3812177128	271645.999246259	184273.352132314	8311.37468562181	192276.701191838	72947.4933578005	49557.71567332	198341.723891635	92839.2306015849	11593.3260593595	120042.178849367	532608.388332606	46521.5250028147	141124.83746925	70605.43911159	32343.9145727729	70676.1840964859
98588.0681831301	137486.214625196	58065.7130767274	717266.914128	82507.1764725726	51960.4146765644	14758.2299533441	198375.247915188	26010.8178412976	187652.983806429	108783.165373761	46946.2035053989	52360.1666986439	80968.7892409646	100768.898832493	99451.2011722282	85227.997394124	156344.766605697	70579.3865858752	63513.1792824673	107455.434421707	12660.7835662236	30454.079530484	41716.051869462	283953.058689546	189343.220391365	8564.31970283742	197485.188258485	74620.1767432052	51562.855069312	205991.794259443	94926.3249949275	11999.1377431808	123856.653321929	541431.641552726	47831.2989547113	145914.469640748	73771.9264044335	33321.6132466474	74133.3534596724
101578.92151924	139938.077822647	59722.8819972347	741579.840139701	85786.8230972842	54334.1525629977	15341.3254618701	201742.670291874	25751.5472227037	196137.70964356	112378.325356974	48678.4469617767	53758.7543407244	82996.6830309017	102912.845314667	103035.046302209	89564.0250266624	160163.062592445	73272.0623979388	65206.5948355738	111060.461355769	13093.0730143927	31351.9898330052	42914.0819591746	296514.313242287	194308.52799593	8819.02312436135	202630.377894982	76240.2722452965	53603.889308605	213706.42041158	96939.5036784011	12407.971805343	127629.443749469	549718.569455748	49126.8164299094	150685.803186786	77029.8442331876	34290.2042561387	77688.5595666294
104514.338932347	142251.584753067	61346.9044323261	765699.611338297	89093.0100008172	56755.2656572687	15928.8178330185	204922.685439638	25474.7988651585	204786.160192662	115965.176404481	50422.3203124901	55131.3131957599	84977.9837318663	104956.506184563	106621.943781472	94026.2278235364	163928.518754909	76004.099669645	66851.4223726712	114647.540730791	13530.1008475859	32242.9477434814	44087.3996207871	309302.902540084	199151.479138679	9075.17372827204	207694.229849096	77801.3055708419	55677.0875347092	221464.962094914	98872.0426833025	12818.8997093082	131346.199908596	557428.459025865	50403.7528188197	155422.883292721	80376.2610210082	35246.5455368192	81336.3916814949
