AL	AZ	AR	CA	CO	CT	DE	GA	HI	IL	IN	IA	KS	KY	LA	MD	MA	MI	MN	MS	MO	MT	NE	NM	NY	NC	ND	OH	OK	OR	PA	SC	SD	TN	TX	UT	VA	WA	WV	WI
96147.9846943533	73916.3941472298	45137.2902203743	713559.456454197	91582.0396428776	66216.4444990165	16230.2706426132	92252.7486006718	11365.855966568	237613.892347625	90037.4015105737	45249.2510959855	33585.926497741	48657.5342817049	71157.1641814966	96648.4521050563	110567.122946114	88256.7581715755	72425.0904361166	54654.7507122744	95221.633195	11272.408263274	21112.9958177914	34219.8910209276	352350.891874292	128482.818391868	6376.53752499568	118867.959119666	40988.8494172166	55849.6449175682	206110.669486415	52907.7698127956	10189.8833636212	103831.590226794	262008.103997296	30312.3776388849	125271.634525713	97893.6324489791	23508.75068273	99288.3899758705
95881.181726686	72880.1269551119	44579.0182682534	710614.087146373	91274.8673712086	66608.0116160747	16167.3790993328	90801.6479712808	11223.1521718709	238818.120048438	88849.6849259623	44760.2548185773	33063.2051913254	47883.3415589716	70251.82785696	95831.2630439841	112522.698354006	86730.9246747825	71620.4255832544	54204.0321617108	94214.8414441408	11106.8746325973	20783.7662690374	33851.6838208159	353129.665848243	126623.322560008	6269.38647856141	116909.567851846	40335.8742844486	55328.1289602415	204315.410248513	52076.8067497405	10048.3877311032	102704.805624349	257972.733317238	29823.2622738828	123862.414037972	97494.2533611823	23161.4820584024	99996.1030137005
95523.9842188496	71832.5409850176	44002.1213692446	707061.411087973	90893.7984164024	66939.3109618189	16091.6882738588	89352.1282368667	11080.0496922248	239807.044128121	87635.8054152031	44252.5252271552	32537.0213152361	47106.4290666301	69317.170179616	94955.940406277	114403.373107034	85216.4699166501	70792.3188518212	53714.444791593	93161.4526863819	10940.4597000679	20452.8557807457	33465.2351414486	353601.141638582	124734.018958201	6162.82958561019	114953.250341111	39681.1175702434	54782.4155654852	202405.238504778	51241.5007717572	9905.08201352165	101523.773171669	253926.597791585	29333.4628556257	122396.399945808	97042.9549734962	22810.0147331247	100621.139115544
95079.0657877021	70775.9061054028	43408.2595426199	702926.293117975	90442.0223849243	67210.1130777965	16003.6396616358	87905.8679000373	10936.6657859075	240579.799800062	86399.0307834205	43727.6754391509	32008.5100531557	46328.4875131224	68355.7354354408	94026.5313861522	116204.921070991	83714.5684174061	69943.0859956927	53188.3097974757	92065.0996347154	10773.4311081364	20120.9866896669	33062.0380600026	353769.592359624	122819.198237286	6057.02255581016	113003.305399685	39025.6493530267	54214.6755400731	200387.65264719	50403.5063036546	9760.31314243012	100293.632502104	249875.248104784	28843.7145784579	120878.255737269	96541.3123407093	22455.2571231643	101162.985150518
94549.4317661025	69712.0502995633	42799.3429266529	698224.039548242	89922.5040276404	67420.1068842306	15903.9257097233	86464.6213982233	10793.1975803434	241137.36670584	85142.9819132658	43187.4150411311	31478.8412656437	45550.2466479658	67370.2389609806	93046.7286369538	117922.231589239	82227.0703457628	69075.1878482097	52627.7930670179	90928.8736203239	10606.1649522878	19788.8090007023	32643.4790417438	353639.732342712	120883.74759595	5952.09522659506	111060.370233846	38370.5312301895	53627.1280638742	198270.386111498	49564.1940631502	9614.27072638297	99018.8385251341	245823.431386331	28354.714214385	119313.204563049	95992.3264400824	22098.0254647288	101620.653177862
93938.2241215667	68642.9375592374	42177.0500590571	692987.271308023	89337.2513290596	67569.873581345	15793.0668558342	85030.4107420734	10649.7875137566	241480.517913459	83870.6692126913	42633.367188508	30948.9379909712	44773.0784411381	66363.4524249337	92020.0307941853	119549.729095003	80755.777159894	68191.0903520278	52035.0476556729	89756.8053198434	10438.9423560104	19456.7123455248	32210.9988918076	353218.84137674	118931.632393572	5848.19330941616	109128.214565686	37716.7286446378	53020.9758414036	196060.740571344	48725.1109733121	9467.32575597474	97703.6453883404	241777.625225974	27867.2706220688	117704.824314562	95398.4845299684	21739.0495234412	101995.115991738
93248.2792629517	67570.8937691557	41543.222502334	687242.514429547	88690.1984443504	67659.8951756551	15671.5658835395	83604.5505962775	10506.5273776017	241611.623777358	82585.0476562993	42067.0554837728	30419.5744047516	43998.3660592331	65338.3449355972	90950.2161020161	121083.571399998	79301.1836434133	67292.9363420454	51412.6274477142	88553.3969375777	10272.028043777	19125.3001081816	31765.871755584	352512.858775388	116967.429268716	5745.42106081538	107209.234686915	37065.0146507929	52398.1746763483	193766.19367148	47887.0730929466	9319.82928415814	96352.3606352227	237743.89922861	27382.0453653053	116058.717035456	94763.1169150842	21378.9617623045	102287.203432556
92484.2088808662	66496.8141782483	40899.2148029897	681019.88026058	87984.3547236821	67690.6389342943	15539.9949994377	82188.6250313965	10363.6054682484	241536.780727156	81289.3380990355	41490.1888130059	29891.377498245	43227.4547791147	64297.5886642357	89841.3331495152	122519.851903257	77865.1074934177	66383.0010358555	50763.0153291646	87322.0616723362	10105.7142138214	18795.1065304358	31309.5686940964	351528.967622884	114994.873865511	5643.90024312988	105305.198096705	36416.4435305574	51760.9207856257	191395.065064467	47051.4228335209	9172.0482231783	94968.1861157869	233727.554946413	26899.7295026221	114378.85977701	94088.614938917	21018.3479531362	102495.746462413
91649.9999597714	65422.6022080054	40246.9822336345	674337.80875023	87222.991533791	67662.9525964856	15398.9580333524	80783.708468807	10221.1538054382	241258.796045323	79985.435382584	40904.3188265979	29365.5256564367	42460.8545968252	63243.663435597	88697.0345788073	123855.158458116	76449.3234176048	65463.5751081705	50088.399663558	86066.0440629116	9940.27688491817	18466.6452475928	30843.3021410609	350276.684960879	113017.381600691	5543.75111839589	103418.979132289	35771.7506319637	51110.9804740004	188955.895403382	46219.5223267576	9024.24366351651	93555.8719560945	229732.68595097	26420.8861389597	112670.484633958	93377.7690146375	20657.9365291169	102622.943344201
90749.7598452883	64349.8333814082	39588.3264330115	667229.171599583	86409.62912822	67578.3529197381	15249.1761705924	79391.4730419007	10079.3160639138	240781.389061222	78676.6104365466	40310.9775775588	28842.6347858088	41699.5953010931	62179.0803122893	87520.7604789392	125086.031214062	75053.8574835547	64536.762079568	49390.8009198991	84787.8133728532	9775.91395056188	18140.3550855475	30368.4957076074	348765.918985977	111039.008473416	5445.0564635266	101552.432820161	35131.8010036302	50449.9950783749	186455.835323801	45392.3795967426	8876.66227449394	92120.047005104	225764.279448921	25946.0559594686	110938.438462285	92633.0535890812	20298.4308885006	102669.161130642
