X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11
AL	-0.0388692901708658	-0.0374317500975583	-0.0374483101983264	-0.035208667566662	-0.0410965697014021	-0.0380290937360032	-0.040207191537582	-0.0352364075540297	-0.0360401739335858	-0.0372641694358844	-0.0347865631167707
AZ	-0.0691248237001914	-0.0659766774086227	-0.0684978085659484	-0.0653012352138252	-0.0668830336697979	-0.0678357879748043	-0.06716202567499	-0.064993089064823	-0.067854733936128	-0.0665668387659945	-0.067658237103433
AR	-0.0558142206036208	-0.0557742997729301	-0.053791013511079	-0.0534919833613968	-0.0561242491317257	-0.0547355178207546	-0.0543340790121082	-0.0536937588271584	-0.0543613543699019	-0.0543506375378514	-0.0534704278392298
CA	-0.0442836515943036	-0.0477086021097494	-0.0504695034773713	-0.050576515578415	-0.0463632261773392	-0.0496446753577955	-0.0474495327144419	-0.0469661182933503	-0.0492342307713289	-0.048013315689978	-0.0485214623087145
CO	-0.0582494102178933	-0.0612217753470661	-0.0567200093250008	-0.0590606062512738	-0.0578590116025562	-0.0567942878967899	-0.0586583151661289	-0.0600900642334249	-0.0601301065075747	-0.0571030614050312	-0.0599976398127926
CT	-0.0568291437067278	-0.0573487222904426	-0.0573503355837218	-0.0571404161925473	-0.0590750434333557	-0.0570158636547652	-0.0584707485444124	-0.0580910811087095	-0.057851545752046	-0.0577263616530131	-0.0587115118475283
DE	-0.057923092898337	-0.0583162784885806	-0.0593547857803865	-0.0604093579952935	-0.0572832317024856	-0.0576203617252555	-0.0585932602032453	-0.0575359545752842	-0.0585788661778531	-0.0594198128203091	-0.0571496210351916
GA	-0.0621520801852302	-0.0634449642688415	-0.0617872383214566	-0.0637453352123041	-0.0622833879872242	-0.062725847119558	-0.0604469954299868	-0.0629759660234649	-0.060882485018747	-0.0613846215698313	-0.061560656506481
HI	-0.0569676034693242	-0.0587672662845125	-0.0594088656863616	-0.0609646424192502	-0.0611914022547161	-0.0582808897667192	-0.0597870671370408	-0.0572737010170716	-0.0601259146416848	-0.0579075934247604	-0.0574264586240509
IL	-0.056468670028442	-0.0604114135020267	-0.0576724777186656	-0.0572353302436746	-0.0563847469330466	-0.0592232545511433	-0.0568835477130574	-0.0599684100966017	-0.0576549031534389	-0.0590180620119797	-0.0567761051552007
IN	-0.0700414637487632	-0.067987423026328	-0.0683539622831179	-0.0686887537459665	-0.0685815931716832	-0.0681642042005991	-0.0686174160919458	-0.0690291994997556	-0.070558206953767	-0.069929560347433	-0.069210490352232
IA	-0.0707882035053469	-0.071273408981007	-0.0695451117217015	-0.0701980472854752	-0.0715150084248843	-0.0708278562171004	-0.0711582742147907	-0.0712925704976957	-0.0717399346973239	-0.0709085302906963	-0.0705222261615619
KS	-0.0670685205430806	-0.0674624478748811	-0.0664807564684343	-0.0688656084830738	-0.0676179109800464	-0.068301853837821	-0.0692120054894515	-0.0674885200692161	-0.0691333014911761	-0.0669627002799035	-0.0684113561713438
KY	-0.0679309749522952	-0.0663602422435907	-0.0667829133714527	-0.0676191203305968	-0.0683718288507278	-0.0679734725879841	-0.0679700759560008	-0.0673643642666273	-0.0686490304941069	-0.067481137713407	-0.0679925736116594
LA	-0.0437904049581999	-0.0451685796779556	-0.0431979504388973	-0.0451193219271463	-0.0446492404508215	-0.0450228320758776	-0.0451269963897455	-0.0439330366533321	-0.0419590706766689	-0.0447741605176971	-0.0458115277315124
MD	-0.0613843278392902	-0.0594884805195488	-0.0607599553510673	-0.0607469240753818	-0.0611299479209256	-0.060837841616492	-0.0619934197317945	-0.0618544369955381	-0.0596962375450038	-0.061107214148883	-0.0616422671080394
MA	-0.0517758349818762	-0.0535176828885694	-0.0521799533249768	-0.0530431632881366	-0.0560529857902723	-0.0566731941870779	-0.0538089845969395	-0.0559132489821127	-0.0592555613030896	-0.0545662870726746	-0.0576542356380196
MI	-0.080564155171453	-0.0803810945106005	-0.0792777004494462	-0.0806629090611247	-0.0792648110759232	-0.0795511505794701	-0.0785636875203102	-0.07987796309613	-0.0795380883920257	-0.0790578323703105	-0.0787422312817747
MN	-0.0795132857209485	-0.0806465934006604	-0.0795947894443168	-0.07985335008184	-0.0786115824481611	-0.0773422411564935	-0.079170047396289	-0.080550534762696	-0.0783604225597757	-0.0791795029553339	-0.0783031692781773
MS	-0.0428836364820382	-0.0392740255738259	-0.0424513196797162	-0.0410920483932189	-0.0406208067311346	-0.0440232685461345	-0.0399168055561448	-0.0425474379905053	-0.041400737815512	-0.0410216682694591	-0.0413187036648403
MO	-0.0616268756233838	-0.0610570480638743	-0.0616454559886312	-0.061602071258133	-0.0601515943802791	-0.0610578945623461	-0.0609211883399633	-0.0616637993071557	-0.0614066386669426	-0.0620095213097316	-0.0602030418966661
MT	-0.0838955804960303	-0.0829749692805702	-0.0825735644479407	-0.0825754244194099	-0.0824939168603617	-0.0843211929052252	-0.082865114006263	-0.0822341837425694	-0.0839633042149268	-0.0828420756234585	-0.0834653991143372
NE	-0.0738266390665796	-0.0748446382333548	-0.0732432489976879	-0.0713251111596916	-0.0739295449914853	-0.0733677598498755	-0.0723620718673136	-0.0725414131231016	-0.0724582389764349	-0.0730251360248442	-0.072962309617694
NM	-0.0506376395798637	-0.0520576374195567	-0.0498858021620799	-0.0521356239695854	-0.0506092643499538	-0.0521861197946677	-0.0503822196240057	-0.0509917633599338	-0.0506230337054426	-0.0491260519256566	-0.0549471913558861
NY	-0.0603953549228513	-0.0598459367700311	-0.0607241903377984	-0.0625925605413775	-0.0596866392017206	-0.0627268334592065	-0.0602957753509924	-0.0605780777557066	-0.0612550174327472	-0.0610887717055048	-0.0600438216589658
NC	-0.0599178861730746	-0.058787661198959	-0.0602021674363162	-0.0599668250339572	-0.0600124829955316	-0.0595711970940576	-0.0589837049258158	-0.0593240810350532	-0.0593068665080031	-0.0591687862858604	-0.0586947089398545
ND	-0.0848881114794585	-0.0855114037461476	-0.0853170875299734	-0.0861452023293545	-0.0860094572011468	-0.0851805766205553	-0.0855245107558328	-0.0855956249595217	-0.0863532841522679	-0.0856856522743614	-0.0858744928590886
OH	-0.0736573038629011	-0.0749050363626643	-0.073637533931796	-0.0740727247100548	-0.0734027805861418	-0.0747619858008657	-0.0731911030665365	-0.0734297445584565	-0.0733666343952862	-0.0733831923802366	-0.0727684187189546
OK	-0.0633250433309751	-0.0635329731323388	-0.0626953877882681	-0.063289221224277	-0.0636129656702663	-0.0622044497971789	-0.0628588958933872	-0.0639249131630366	-0.0628441582754345	-0.0631623545699939	-0.0633403585730625
OR	-0.0751699166041503	-0.0756560042575857	-0.0762188215088062	-0.078080593575032	-0.0778845518913456	-0.075481746334101	-0.078480817729004	-0.0756704653007641	-0.0759944740861034	-0.0752707885206765	-0.0757857976754162
PA	-0.0659399239141742	-0.0642488099903776	-0.0655639115668122	-0.0633762907723205	-0.0644146192371551	-0.0645823242534376	-0.064350413879559	-0.0672963797319633	-0.0628791362259652	-0.0683677266053915	-0.064744952303709
SC	-0.0596192347560727	-0.0598348612748674	-0.0598031620318121	-0.060568811557052	-0.059272441769936	-0.0599485199790779	-0.0607264916980307	-0.059802731027088	-0.0596868297415585	-0.0589656574056212	-0.05860683290208
SD	-0.0757895798661801	-0.0773135202100435	-0.0762605227873098	-0.0774420051436345	-0.0759606138276864	-0.0785072017832616	-0.0755252547634164	-0.0764833232534416	-0.0761345574740966	-0.0768627987340111	-0.0774236472649326
TN	-0.0526931373966755	-0.054884477637358	-0.0537154866904066	-0.0550706225742633	-0.0547663135420625	-0.0550159662906124	-0.0546669070268766	-0.0547360243030169	-0.0542499686404669	-0.0547291921117945	-0.0546554719065895
TX	-0.0555622992139065	-0.055561637216149	-0.0547976091637415	-0.0558620040982777	-0.0551779099630569	-0.0564660781880642	-0.0549801720907229	-0.0554043399456417	-0.0554348916967579	-0.0547931084976672	-0.055258354541633
UT	-0.073538071509818	-0.0731173876368557	-0.0726346229814367	-0.0725520728953439	-0.0706692475705771	-0.073565015617329	-0.0728842229934233	-0.0723192129380524	-0.0732227523479594	-0.0726560589243272	-0.0721959541327314
VA	-0.0598951193121723	-0.0614112516384483	-0.0598197021256253	-0.0618010074304552	-0.0601841063885111	-0.0591000773837769	-0.0601259571224184	-0.0599348923838022	-0.0604398220628875	-0.0600173066411092	-0.060784809804444
WA	-0.0814004162378589	-0.0797749368345454	-0.0795711591969304	-0.0830901000512791	-0.0797338363738796	-0.0795597722068167	-0.082064509870066	-0.080422054355879	-0.0814190150624077	-0.0795935770947987	-0.0825992888259024
