AL	AZ	AR	CA	CO	CT	DE	GA	HI	IL	IN	IA	KS	KY	LA	MD	MA	MI	MN	MS	MO	MT	NE	NM	NY	NC	ND	OH	OK	OR	PA	SC	SD	TN	TX	UT	VA	WA	WV	WI
45645.7818808659	117332.954373577	35251.9173551539	339131.830555151	39718.9651997314	22475.1246747933	7165.20902783899	190811.159478982	27247.7072418705	81638.3390574768	68189.8763797121	26982.2744443856	39436.8661578574	64660.8896718983	63239.2270182468	53226.1336019573	33334.4666637002	139667.563590184	41111.7670121907	32687.0927633272	61016.6474863416	8383.57603885949	22365.244027865	23675.0838812744	127188.441181578	130666.691945157	6496.3354973524	160022.728804025	62996.180599739	28877.2773827973	111545.517622105	78373.1282042587	7855.15528409549	70527.3445317182	499385.805869915	37025.0049744391	84124.507726967	39572.7399557659	23295.0412636959	32625.8839747333
47972.6076876888	120453.273615013	36799.131531345	356756.418390314	41854.4609788338	23792.0740349352	7548.38259262905	194593.843318919	27139.3955052147	86388.3772403217	71210.4500615696	28274.6090945332	40864.4875514114	66816.9317097277	65773.3432947911	55877.6421511238	35431.8534228585	143614.875039345	43042.5304217033	34231.9593265152	63911.4377870317	8728.93598182597	23214.8067168087	24757.9577462935	134435.162176804	135779.231248043	6723.41415037684	165305.351410193	64856.0316292821	30290.4312299265	117127.539195514	80742.2269271213	8192.15451665434	73793.4326976746	509903.75763336	38326.8093929551	88057.0263377687	41614.6789851471	24220.9042280119	34552.6183168973
50383.8849823385	123512.378297332	38381.6321933617	375047.640908263	44079.2784256357	25174.3375445585	7947.35144594454	198216.277859877	27006.8372076485	91371.575402479	74310.2498793335	29610.3326861164	42304.4486566108	68977.0807001031	68343.9047469139	58622.1489128784	37646.9448609491	147545.556994362	45040.6205178389	35822.1386885542	66894.6513847962	9083.74642877245	24076.9082545418	25869.2335254884	142024.821843465	140957.955575379	6954.4983616014	170609.678824424	66698.3855038985	31756.2442995482	122911.050884377	83090.8739818909	8538.07282750147	77149.7197508802	520015.049490865	39639.3646053565	92103.5440028349	43745.6061337587	25161.8351772923	36577.8600536255
52878.1847724275	126498.911483392	39996.6646204419	394000.09659416	46394.1290485548	26623.7444911016	8362.24524524202	201665.664663483	26850.9318028117	96593.7282688382	77485.6796150635	30989.0929045052	43753.2898912137	71135.222925546	70944.0477531768	61458.3186896404	39983.8802324756	151450.333508711	47106.3751800457	37455.6829503879	69963.6048311002	9447.87211251302	24950.0367328868	27007.2381461873	149966.018369698	146191.922429828	7189.36660295866	175922.973616813	68517.1556463934	33275.403833726	128894.568884745	85411.2829141991	8892.6567889599	80591.8008183449	529676.784759856	40959.8676420068	96260.6488682306	45967.6695985502	26116.1098415997	38704.2499481082
55454.0343850785	129400.915907098	41641.1246390976	413604.522504886	48798.7992706125	28141.6150990249	8793.09182885745	204923.309327952	26672.5093949571	102059.921879491	80732.891735215	32410.2284489778	45207.5259455024	73285.4586906468	73567.4776831057	64384.3670661216	42447.3669768576	155320.387693842	49239.6444887105	39130.0922261955	73114.957052006	9821.10256639972	25832.4559920245	28170.2006235265	158263.834919665	151467.473385672	7427.78367033395	181231.505055299	70306.0412338206	34847.9712044979	135075.589313218	87695.1648557092	9255.58648315119	84114.6613756942	538851.760491135	42284.9810904277	100523.060703809	48282.8115199674	27081.6352184076	40934.969212166
58108.7763316198	132206.844116395	43311.3845838184	433847.614977698	51293.2396142924	29729.3446232723	9239.81148214883	207981.407805163	26472.3632693475	107774.826966105	84047.2425224101	33872.5087913348	46663.3326809292	75420.6989027024	76206.7077650422	67398.1657568353	45041.6026122748	159145.875781546	51439.8386662435	40842.6885200356	76345.0015464997	10203.3476457809	26722.3911476641	29355.9599406563	166925.497921783	156770.215300968	7669.55125174617	186521.127271062	72058.1610618639	36473.8663989508	141450.546617793	89934.3482781408	9626.5398708709	87712.3660407618	547494.158000969	43611.6055298645	104884.66512176	50693.3384440156	28056.3547934858	43272.3071136551
60839.3510643439	134905.572672832	45003.7736138769	454710.82705085	53876.6152509123	31388.1647929807	9702.22702926245	210826.235464498	26251.5791350594	113741.3736356	87423.2627508856	35374.8321853066	48116.3977677626	77534.6647626253	78853.8245637326	70496.5630543716	47770.4030273186	162917.364294195	53706.500163166	42590.2012729598	79648.8765303536	10594.3490657309	27618.0147648482	30562.0001250954	175955.320698812	162085.522048184	7914.37930824164	191778.955930961	73767.6526030514	38152.6915092709	148014.170907063	92120.3121123883	10004.9426848636	91377.63130756	555578.542414592	44936.0851778276	109338.321111665	53200.9271931517	29037.8608473813	45719.0369434535
63641.9461592132	137486.214625196	46714.0911183857	476166.877204319	56547.7836133366	33118.5343818803	10180.0689521716	213449.021132548	26010.8178412976	119962.718735476	90855.0644279773	36915.7607699057	49562.2978443993	79620.7301796735	81500.059989664	73675.8061693943	50637.6670231676	166624.296481938	56038.450535141	44369.2172691994	83020.3769686413	10993.7420255288	28516.7197254963	31785.6925657368	185355.473200577	167396.357914133	8161.94004931329	196987.464512785	75428.3562684568	39883.959083645	154760.601444017	94244.8257139368	10390.3529628931	95103.5781272117	563067.936641378	46255.2961328561	113876.353641463	55806.8257016021	30023.6185353772	48276.8323118717
66511.9039152879	139938.077822647	48437.62730196	498188.969907829	59304.6655778014	34921.066039932	10673.0197802292	215838.725254986	25751.5472227037	126439.752554673	94336.0806529082	38493.5662143716	50996.9537574863	81671.3475289514	84136.5106986637	76931.2553514443	53646.2488075914	170257.644435324	58434.4616629973	46175.5073403544	86453.9776614564	11401.0861835802	29416.5339931255	33023.9364042839	195125.948418723	172685.808973346	8411.97454816007	202132.97017523	77033.3548986771	41666.7405885238	161681.732075541	96299.7652334886	10782.1967966105	98880.6049896128	569935.337578832	47564.6694539791	118489.507901472	58512.6306019016	31010.887367642	50947.6935655314
69444.0992691644	142251.584753067	50169.4288725502	520742.643669952	62144.6143602455	36795.749118521	11180.5680941288	217987.217494526	25474.7988651585	133172.518099908	97859.3450694973	40106.2426231648	52415.2067623032	83679.7493235634	86753.9927202279	80258.0944107135	56798.9885012103	173807.142980645	60892.6207836225	48004.5582503614	89942.766139142	11816.1276794203	30314.9645615776	34273.4280237715	205266.472735967	177936.309709843	8664.14747167959	207199.961768914	78576.2487076273	43500.0464154452	168767.929707162	98276.6112344619	11179.8369673863	102699.910047099	576153.160183819	48860.6552687455	123167.495425136	61319.2537179342	31996.7907614731	53732.5152990129
72432.0646522242	144415.29459589	51904.2339000006	543782.061496201	65064.6433810275	38742.5672826425	11702.1320937034	219886.924547215	25181.8416298633	140160.253400315	101417.210913065	41750.6556667416	53813.0026527734	85638.8774859944	89343.0245106891	83649.9730279476	60098.4357417675	177260.13609841	63410.5550381154	49851.358573219	93478.6665676052	12238.4019129926	31209.6121593307	35530.5575175283	215773.507458166	183129.022997435	8918.05753254252	212173.172423791	80051.3704199978	45382.547420148	176007.401254659	100167.678209178	11582.6014067161	106551.03827736	581698.322820289	50139.3032861521	127898.457902351	64227.543364001	32978.6109378091	56632.234862181
75468.8930406393	146422.076833446	53636.3135173318	567261.947358627	68061.1338619134	40760.7814507835	12236.8702590178	221531.643610789	24873.3648970425	147399.013383666	104999.348627622	43424.4471937093	55184.631388918	87541.2040525295	91892.3660748362	87100.4178187993	63546.3932159932	180607.585168147	65985.9289732186	51710.4131339747	97052.8342934697	12667.28816058	32097.8406573009	36791.4606650202	226641.711726733	188245.483404479	9173.31453610917	217036.732650218	81452.960151361	47312.0546614539	183387.945183776	101963.905531252	11989.6704393711	110422.751781701	586549.827762418	51396.5541413363	132670.69810782	67237.0944439575	33952.7866548621	59646.7372404225
78546.9840746687	148263.465261738	55359.8010273457	591129.369524482	71128.3253309609	42848.9604054274	12784.0418866996	222915.31465398	24550.736002186	154884.724011685	108597.065012773	45124.3782083551	56525.6990781962	89379.7616789007	94392.4829131173	90600.8446181321	67143.7522896113	183840.991836191	68615.8029837867	53575.7639953155	100655.417330881	13102.2218837038	32976.8379792961	38051.9931510831	237863.198113111	193266.661848759	9429.49811916045	221773.108377598	82775.4097308357	49286.5600279213	190895.049646168	103658.566709143	12400.2135446396	114302.85869291	590692.034656501	52628.1642929072	137470.427210706	70347.5569070554	34916.2124080677	62775.5923174246
