X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11
AL	-0.0235030176190745	-0.0192886364522887	-0.0214713201986102	-0.0212442213900787	-0.0236430560079321	-0.0233727382567658	-0.023114508684116	-0.0210766632074162	-0.0217938027983375	-0.0209426904776295	-0.0208396413856492
AZ	0	0	0	0	0	0	0	0	0	0	0
AR	-0.01030417271271	-0.00955208344417377	-0.00858757763867564	-0.00738052959895323	-0.00928429081855845	-0.00856559817416329	-0.00913897183922184	-0.00789720107189971	-0.00947054044718161	-0.00952650853366642	-0.00774173251852979
CA	-0.0183356992926377	-0.0184421686812704	-0.0207966004505327	-0.0197781488503642	-0.0163664546217618	-0.0175409385816945	-0.0192245901653242	-0.0167533823594576	-0.0181035851788516	-0.0181676378306117	-0.0178638708255555
CO	-0.0147750008768507	-0.0159336869618562	-0.0158986597675396	-0.0169038515507576	-0.0166683559711389	-0.014762756902208	-0.0171586880202863	-0.0148600142328786	-0.0169909506884815	-0.0149063342326	-0.0164813099553072
CT	-0.0209100662465574	-0.0208954805001501	-0.0204643881594058	-0.0205869623740868	-0.0214345919923525	-0.0204063496889953	-0.0214132390980586	-0.0207399110013116	-0.0204648791455137	-0.0191662523740073	-0.0211585112962386
DE	-0.0163012785565961	-0.0136085481702273	-0.0165236108803009	-0.0165048590699048	-0.0162089350924341	-0.0154538275864944	-0.0154167501019213	-0.0156469596599911	-0.0156683503590034	-0.0165861725617037	-0.0152228036797009
GA	0.00931691383165318	0.00847790279933065	0.0100510108041882	0.00840714061489386	0.00910913474224811	0.00953576017419356	0.0108996310315403	0.00885451782041766	0.0109739563038022	0.010907836676148	0.0101531888680985
HI	0	0	0	0	0	0	0	0	0	0	0
IL	-0.0197589581563106	-0.0212252122392256	-0.01990763197321	-0.0202436415174794	-0.0208131038551898	-0.0213815306561805	-0.0192364076545373	-0.0206008657539491	-0.0207586846785827	-0.0180603842941664	-0.0197963934795041
IN	-0.00278032881699189	-0.00482924745410205	-0.00249999387729299	-0.00484277175911543	-0.00482570236073435	-0.00401837421611488	-0.00424793407372642	-0.0053807001222109	-0.00557100467159418	-0.00563488901477707	-0.00464841647669582
IA	-0.00768625487798833	-0.00873880085386119	-0.00775671617055807	-0.00677895548379934	-0.00805196914827325	-0.00746171445174542	-0.006252210418325	-0.0088893014608676	-0.00613772065084026	-0.00925908042600395	-0.00921596416635385
KS	0.00401998100589383	4.97631257506398e-05	0.00294362874187751	0.00192535097942111	0.000845187740102972	0.00259339424513431	0.00106557859463077	0.00230989093594825	-0.00344443786766735	0.001892252266195	-0.000645466212941936
KY	0.00141561061750235	0.00663760610108783	0.00305674426756942	0.00393168169254521	0.00116011782475322	0.00142378588240564	0.00298172146085077	0.00486479894615249	0.0011506029466328	0.00528247604560582	0.00502360481688354
LA	-0.0113530825866849	-0.0120768702452837	-0.00986071156968373	-0.0132719316941142	-0.012287242821429	-0.0101339316162703	-0.0119443551990267	-0.00926946689399184	-0.00750829681856604	-0.010951491443758	-0.0107165911568326
MD	-0.0129542060826888	-0.00989151184319532	-0.0103667556925562	-0.0107888714644163	-0.0136467238164907	-0.0123702148463123	-0.0135881730486585	-0.0110165291573165	-0.0121393150399432	-0.011869982199253	-0.0110033172382708
MA	-0.0254388304162056	-0.0259188211070979	-0.0245881766277628	-0.0252530762601111	-0.0259348767897932	-0.0251215031922114	-0.0260538541237213	-0.0268971718469901	-0.0266003712162439	-0.0256653370691255	-0.0257875209932946
MI	0.00813871129788541	0.010446453776834	0.00897453120729991	0.00772371727491533	0.00905366734726796	0.00775344028297243	0.00991995935121209	0.0120441152921197	0.00959681493668067	0.0119517566845619	0.00980506454396412
MN	-0.00562088127203872	-0.00707568870508053	-0.00555078222958054	-0.00414670154397814	-0.00533633651292464	-0.00409345894231832	-0.00724897634087022	-0.00559350638028111	-0.00331276745507901	-0.00565090300543099	-0.0061799980724263
MS	-0.0174765998096909	-0.0167126106739943	-0.0158101049353121	-0.0207009156044929	-0.0159768905073701	-0.0187210400730709	-0.0185265050790063	-0.0173957512797687	-0.0175949515619689	-0.0171849288412356	-0.0199234677135746
MO	-0.0104520256810245	-0.00948815077896573	-0.00971265744395344	-0.0100271253705357	-0.00920558008184872	-0.00997961367097838	-0.00860061984901412	-0.00926700722282356	-0.00932231046246894	-0.00940698322848777	-0.00832146128807263
MT	-4.32603903450036e-05	0.000139367227294465	-3.64434560460703e-06	-0.000444439607479304	-0.000540364051311325	-0.000605528328440887	-0.000960946738955456	0.00163726444330479	-0.000594640329441808	0.000268873546251082	-0.001048947959572
NE	0.000268199214540842	-0.000216759377851277	0.000734522754086371	0.00246039681825683	3.01592676178705e-05	0.00279891792220002	0.00398541840828919	0.00404375522208179	0.00111565776956027	0.00135077501868139	1.94530937739788e-05
NM	-0.0113106135772125	-0.0135147411033938	-0.0119843238276231	-0.0114695210665465	-0.0104575295923455	-0.0107411041839796	-0.0124847504926352	-0.0130161979085033	-0.0105899395767068	-0.011599435204364	-0.0130125411946868
NY	-0.0169710744022524	-0.0181459518029794	-0.0168495992258358	-0.0182801977707655	-0.0193843750876182	-0.0179131737223108	-0.0181179357786921	-0.0181367692048804	-0.0179090799344187	-0.0179967358625929	-0.0194310534889918
NC	-0.00177202632588283	-0.00530002431372558	-0.00280506184448507	-0.00142862570502267	-0.00504960585155845	-0.00358272354050652	-0.00536860886002949	-0.00304356477229013	-0.00370244931519994	-0.00111994624278519	-0.00212068193925434
ND	0.00528263561069875	0.00526831155248913	0.00538297252356232	0.00522375267770156	0.00434575967629767	0.00618660108305438	0.005233609266281	0.0041391305025149	0.00440186088472571	0.00549452878277306	0.00572732623614429
OH	0.00510953556478431	0.00286156365783569	0.00497989616258795	0.00523448746300713	0.00575147086847195	0.00446604578308266	0.00543057616775236	0.00439319516704281	0.00755206501193526	0.00596456274108579	0.00483913473455634
OK	0.00290328514449803	0.00292768941590937	0.00531060623382156	0.00472333519164158	0.00409057732234874	0.00508236943962777	0.00465780115282273	0.00394873307550414	0.00461251871719891	0.00412506041831987	0.00411407767494145
OR	-0.0058913734526368	-0.00695624870475627	-0.00652465682793935	-0.00737090622468456	-0.00948091642123643	-0.00666274581600025	-0.00805609466221205	-0.00733383970448831	-0.00714353440794816	-0.00669622795459668	-0.00628138291552773
PA	-0.0111850569510763	-0.00828432466623656	-0.0117964966070988	-0.00868520240581465	-0.0103540878873064	-0.0105986236168146	-0.0104634926408661	-0.0113747933036146	-0.00907965344228268	-0.0130547532295744	-0.0111576806807298
SC	0.0024524359814473	0.000981235212595085	0.00341843972281904	0.00169701794255019	0.00464910193322963	-0.00183765178412966	0.000983642416390126	0.003819658131998	0.0046357888811373	0.00317156969306099	0.0017820608393687
SD	-0.00170554929163212	-0.00219435029856966	-0.00201342089512503	-0.00346668340578267	-0.00113906835413934	-0.00338796103423258	-0.001460491752867	-0.00084575309977418	-0.00214264681959146	-0.0028031254298495	-0.00317913670445999
TN	-0.00842823389623326	-0.0105858125200109	-0.0102339972797267	-0.0101624592721917	-0.0108990988212489	-0.0113683475004172	-0.0102051312541148	-0.00986985898230522	-0.0105720458848152	-0.0103076078267455	-0.0109820712708912
TX	0.0062032629320782	0.00507589740720755	0.00566650345060763	0.00837934884179168	0.00806540691550453	0.00492771244247005	0.00693570067188722	0.00636619678649664	0.00651916097728956	0.00612334268025836	0.00599222059024901
UT	0.00441269884048616	0.00428453576486633	0.000318609527949295	0.00313835828378619	0.00477167627897278	0.00216567500657679	0.00187303664431	0.00493401654795134	0.00119332791045968	0.001362322901633	0.00508816894738886
VA	-0.00912124292847505	-0.00961584076685529	-0.00927491836100289	-0.0100791854690619	-0.00868045724632065	-0.00845377594978051	-0.00946822579808554	-0.00903155665248903	-0.009630388353367	-0.00864610435192661	-0.00932766700432076
