AL	AZ	AR	CA	CO	CT	DE	GA	HI	IL	IN	IA	KS	KY	LA	MD	MA	MI	MN	MS	MO	MT	NE	NM	NY	NC	ND	OH	OK	OR	PA	SC	SD	TN	TX	UT	VA	WA	WV	WI
75675.2428220273	107411.115361832	46373.103279689	585636.740577754	65152.1035344812	36571.2211834622	10897.5108487592	177489.805028353	27261.3723816561	133033.378491724	85446.3698347537	35854.1314832493	43284.5268649327	68164.376548255	82383.3210082625	75323.8993494395	58166.552867667	135288.776090041	53183.6373517495	49942.2756683063	82654.8137041255	10441.6656298583	25057.2558335652	35725.026778101	200282.253339357	154582.103025062	7124.71996294656	165897.048527714	63972.0736042066	40928.6425132547	156616.120358376	80998.1470417879	9546.26156122562	97464.425035995	484395.817100608	42818.7583516685	113113.53118262	56019.6394431685	27226.2842829249	51553.7675451794
78653.9635334239	110920.129710143	48157.5969671979	609787.345857235	68258.0487219266	38547.7362499894	11428.5394860454	182128.028663383	27326.5226613648	140183.118877675	89120.2201023236	37523.1918560955	44887.7331969723	70556.0707670528	84950.5818435505	78764.1151361175	61557.3899330875	139905.143957433	55711.8157168842	51749.3134233718	86262.1048247291	10887.3415772381	26044.3418966518	37018.4819196349	210919.190269964	160186.617431617	7401.50340695728	171896.261790786	66012.6898390164	42874.3623670956	163954.693263891	83503.3856588664	9962.24884792851	101392.631337182	496163.532661531	44324.9934349434	117934.927988125	58911.2278328329	28286.4658334511	54452.5103104995
81647.033061737	114425.344380795	49949.813023799	634210.949491499	71444.9895563602	40598.2611496344	11973.6307831021	186646.787403759	27362.7245601907	147586.807998032	92855.8690100047	39234.3332870947	46496.2134346237	72944.1204211302	87484.0597820064	82276.6351971075	65102.8092167865	144543.947988414	58318.2274232497	53551.4673629867	89926.885955509	11344.3670937766	27042.8966887123	38314.1203502071	221940.604589881	165790.158186759	7683.89952736037	177926.848730684	68032.7513046445	44880.1476493348	171472.329897832	85980.2010720652	10387.3713533422	105345.981218387	507604.334648365	45836.0949213921	122826.911126957	61917.344112974	29355.3331338879	57469.6441091663
84666.7542488835	117909.101661509	51746.9574447004	658798.450354445	74705.5677329312	42720.195919477	12532.2386040758	191061.41019743	27373.806249144	155238.078526084	96642.9929782262	40984.7709736735	48111.1523825256	75322.3033623201	89996.1368146816	85858.592477608	68797.4308990361	149189.796353941	60998.3758056111	55356.0401155136	93645.4147299592	11811.5259449413	28052.3898184272	39608.9501863011	233332.32401524	171393.239978155	7971.63423166985	183967.865080976	70037.4894274181	46940.9400967875	179157.335300796	88428.109372689	10821.5729840176	109323.611968952	518759.352466798	47348.1061113354	127784.933385202	65037.3735148413	30431.2122091048	60604.7630466621
87708.234781835	121348.473057807	53560.455882358	683379.676274999	78033.6357070203	44908.1284525965	13102.9094711326	195355.442154658	27363.9565403653	163168.768804289	100498.014120548	42779.2910207229	49734.8828212279	77703.6619058834	92482.2279061267	89499.0936295326	72631.6349179648	153852.46435724	63760.5630669211	57165.7695373103	97434.6483148771	12289.3934225826	29072.7598859222	40895.6977686752	245070.866264355	176966.829555106	8264.97208566824	190027.624357193	72027.1720323214	49053.9187681177	186991.825544744	90838.0275856167	11264.9801022356	113343.511362279	529527.529770629	48852.5974304413	132787.735901352	68270.9039324095	31511.7334486055	63869.8894530371
90776.0810242507	124724.206583348	55374.6253861288	707937.672978766	81423.1923477768	47179.7321954152	13689.6226428951	199564.421867836	27326.8289763603	171370.611867435	104415.090917755	44613.6981206049	51359.8799675165	80087.5633340975	94925.071499533	93222.9870154114	76636.7026476552	158530.332120057	66600.2393634884	58971.6685758234	101276.050230129	12776.3112976229	30100.4953422306	42167.2088330142	257240.204754756	182567.572329592	8563.15833213667	196128.133461727	73990.0385704515	51213.8478364999	195026.194148579	93230.1644269937	11716.3077982407	117397.746195893	539814.921319781	50347.0234510114	137877.148918586	71607.3223053859	32604.0976821848	67265.5141467829
93839.6213066644	128041.958580852	57185.1939201281	732535.362888337	84857.4674180615	49515.0397683779	14286.3629883096	203620.13285368	27262.4385869257	179824.896842338	108378.962277273	46480.3252536871	52976.126426232	82456.6782279576	97316.6981626107	96989.582703952	80789.1265870195	163201.047229742	69508.2132561293	60764.1494697585	105153.932905876	13271.0983534745	31130.8431941303	43419.1303168176	269740.473883677	188109.296915397	8865.39116969369	202218.79693939	75911.6558191397	53421.9932424541	203182.606944152	95565.8075362947	12174.1099557681	121461.210582431	549633.378792569	51827.6921047787	142990.346731183	75052.1954634091	33696.6577494416	70782.7521119634
96893.0510390345	131294.685860424	58974.2826070493	757000.958129725	88326.3044001605	51925.103956712	14895.726566275	207519.963862345	27174.2916881213	188497.370213517	112367.507590142	48370.636206273	54570.8394327507	84797.2276801088	99633.2604431157	100808.125616836	85106.0352641831	167843.545348732	72476.1335675948	62531.6059360763	109040.511078341	13773.6930620302	32158.5799970843	44648.9191757543	282618.016187308	193599.855461797	9170.79148332932	208282.51604146	77774.4429854827	55672.5824698317	211480.18719327	97847.7181168031	12636.7169428611	125511.419304707	558854.57045421	53286.2883567693	148138.664434791	78608.1772426689	34788.6988596012	74412.5800858338
99899.5660947295	134451.489979391	60726.4417985296	781101.963154657	91818.6650618085	54394.0838328722	15512.7092949326	211220.268541955	27060.9464569078	197341.873145881	116347.921997561	50280.7245517502	56141.4677204993	87080.4009946602	101856.024936271	104649.393606492	89564.180891011	172427.504325835	75500.0831164513	64254.2423519343	112910.618460441	14283.1464826249	33181.5371565226	45848.9279542579	295791.386445371	199001.087498038	9479.50436077609	214261.45587926	79580.2063257094	57955.4387450723	219854.994518098	100057.423374616	13103.3203662599	129503.225560172	567510.662007954	54717.6409554115	153282.950668533	82263.4921567472	35869.0482983109	78146.0157907109
102829.439606982	137492.250231922	62442.7345453086	804756.246651157	95326.4944375709	56908.5435236188	16132.772466298	214667.523271908	26921.3617688253	206364.998247754	120317.183517153	52211.0698107472	57688.3450817328	89300.775185206	103966.388040201	108484.147842634	94146.0951362404	176942.852960253	78581.2112338799	65917.7515558479	116773.435293881	14798.6459685667	34199.627505758	47011.5410005058	309194.439956522	204238.867344486	9790.84528591007	220129.027274474	81319.53847711	60270.9285551573	228251.128885054	102161.013006673	13573.7748997444	133421.264742222	575475.681317149	56112.9838037091	158374.136192475	86020.9543901919	36930.1887558668	81983.0651040407
