AL	AZ	AR	CA	CO	CT	DE	GA	HI	IL	IN	IA	KS	KY	LA	MD	MA	MI	MN	MS	MO	MT	NE	NM	NY	NC	ND	OH	OK	OR	PA	SC	SD	TN	TX	UT	VA	WA	WV	WI
99669.8410626815	84737.6828602777	53347.9702937053	773004.846268393	100530.053731064	63652.9796552455	17423.2655881625	112004.166720877	12263.2607427709	231970.887074199	107879.287873555	53159.9470959516	41149.3279823417	59266.453871428	83009.4811349665	109324.908025702	98244.7782244076	107613.821340549	85664.7646243792	60335.8911313729	110916.801695329	13617.9420367011	26052.7974478711	38980.1061246895	353179.72263797	155200.578679269	7884.89711590517	146436.947170106	50151.1082597518	64379.8567710279	235606.359116526	64507.4517116916	12410.7794012169	120043.888968156	313783.863492515	35746.228067996	146677.488163312	107337.896647252	28571.6085448857	94572.3023471183
100350.479854371	83549.3608963871	53004.6163369273	774183.657093564	100830.604019298	64753.6763402316	17516.2633018314	110376.087020633	12122.0525970361	235680.895949275	106983.571902748	52924.3701579723	40622.2255384626	58449.9178922369	82434.988289933	109198.17709881	100999.061027939	105886.27547394	85242.8793701584	60348.9231832148	110475.886768227	13450.2431674239	25718.7655877892	38681.3070802324	357756.740225649	153590.645849384	7766.6898332409	144299.593851605	49454.0439837302	64091.6138629127	235266.950204614	63652.5180538617	12285.4967691847	119500.71845595	309434.278592439	35183.6005195424	145960.655117724	107742.167731801	28242.7675733827	96328.6995002337
100910.3745869	82345.2707644816	52617.4344746856	774541.67233959	101030.928845712	65805.02872335	17591.3181835927	108724.599461783	11978.8749372494	239188.945953715	106017.680340489	52648.4611869232	40078.714599069	57613.3427044901	81792.7544770256	108969.249048838	103736.311415085	104154.165314005	84766.7328640862	60294.5056187568	109937.055222996	13278.6719955039	25375.4949422961	38353.7446732085	362026.004863527	151886.696752222	7647.83256997515	142131.156523148	48741.0751832272	63760.9963876751	234710.998248511	62775.4218220572	12154.3793045285	118844.043174146	305018.494147819	34615.90650977	145121.231763037	108071.948761134	27900.1177525608	98020.0333416911
101368.68293448	81125.1039362753	52190.6170744961	774059.184309417	101131.636851017	66802.702300157	17648.8026992679	107065.2872118	11835.104993444	242487.613738321	104985.137925224	52333.7897606992	39523.3903288104	56759.9440976513	81100.5968166215	108643.859258429	106442.047238301	102419.296941099	84237.1536589554	60184.5414246173	109307.445854539	13103.4212568969	25025.0145174759	38000.1798055278	365969.331744602	150107.861310709	7528.60075428908	139934.88958342	48019.39978952	63387.5906983435	233943.493960327	61882.4114923374	12018.169895841	118086.562156527	300578.506860354	34044.5874065502	144169.777061975	108326.580210417	27545.668097531	99641.9285969681
101728.927977318	79887.0977458607	51737.1629658624	772689.592194207	101134.711927975	67740.1407690749	17688.3015281965	105400.720739042	11692.3696377185	245606.527434297	103905.346141305	51987.6657302412	38960.838913632	55900.9094587954	80363.7893923104	108223.21677034	109099.470918001	100691.909229554	83664.4376719022	60026.492931255	108609.992797697	12925.5573177215	24669.3898375667	37620.306945406	369563.926941644	148255.5951487	7409.46159613838	137726.4761751	47293.3633345817	62973.7286052551	232977.914129157	60974.8853509275	11877.7819867406	117251.159098266	296100.857629073	33469.223756098	143106.162272675	108506.693565121	27181.1372894853	101202.839283485
102002.062065626	78632.1772264461	51252.5132084756	770511.780620075	101042.736571536	68633.8320736531	17714.4276236119	103750.294847493	11548.5857629059	248533.766964251	102782.777392669	51611.1094516936	38390.6476314751	55040.1706599682	79579.3841079245	107734.573908745	111736.189490699	98977.229408667	83049.4204815614	59819.4031158336	107840.945528523	12745.0783557117	24308.8090410235	37214.7550207415	372896.43178746	146374.544782852	7290.44336321267	135523.687172083	46562.0754258354	62519.2290016764	231870.297892193	60067.4220147257	11733.4324040874	116345.853991267	291579.506106466	32892.0718252256	141972.499184044	108605.917582664	26812.2230322163	102700.817164483
102170.886739831	77370.0202044509	50739.9239248104	767661.557459908	100850.892760219	69465.4029002754	17723.28437603	102098.763037176	11403.8179814761	251253.308396057	101619.128336838	51204.0382608427	37812.6157798635	54175.4571827893	78752.483102541	107157.630096883	114321.424111612	97273.8445989401	82390.8858966623	59562.8729774369	106999.388640816	12562.2414245352	23943.4728209407	36785.6462398172	375876.36256159	144435.908627309	7171.63331543625	133318.806728507	45824.7829095875	62030.9749025073	230582.201212412	59149.0868885775	11585.2317827498	115369.394909556	287040.643795931	32314.6611280128	140741.193255877	108631.492392119	26435.7294488469	104123.927211131
102240.866872487	76105.6137280019	50194.3345172607	764100.150876569	100561.652452242	70245.4424824371	17718.0212427237	100452.817108883	11259.1054329156	253736.188993038	100411.514723849	50765.449568852	37225.130177421	53305.7907702191	77878.5656265701	106508.711220986	116867.631520066	95581.2938830476	81689.3150209716	59254.8243428452	106080.438289793	12377.822188589	23573.3663055932	36336.5749814212	378558.176124098	142458.611926164	7053.11331549407	131114.938234804	45079.2697436159	61508.2211749281	229148.030630127	58226.8067964635	11433.2047519586	114318.192265424	282461.959438944	31737.0165442029	139434.316862771	108588.454081766	26054.0715049697	105463.2351125
102193.038208371	74833.9831214465	49614.4514781425	759765.395326072	100178.457605707	70960.8107878595	17696.3291061587	98806.3953553047	11114.0846903149	255953.542903346	99154.0608075714	50294.2723749723	36631.0281300165	52426.2944728738	76956.4305441822	105779.756070761	119347.975222651	93897.4507091604	80948.1377827712	58889.2406988221	105081.315533976	12192.1438526937	23199.8474900105	35867.9123406119	380883.878074256	140438.73400005	6935.23848341887	128902.928180889	44330.5201198259	60950.8753924594	227545.939362084	57298.8388066631	11278.0810111635	113179.328133374	277876.609831431	31160.1093019668	138044.383542087	108473.064995348	25665.0740948155	106711.697982468
102018.151356697	73555.550113817	49007.4994576108	754699.816294721	99707.1421425749	71603.0175095988	17656.7040910063	97151.0424962808	10968.3718513844	257924.541743239	97856.5624842715	49798.0830924711	36034.1899388703	51540.2427218917	75985.8024703199	104964.607244962	121745.174774479	92226.6450357387	80174.1959744209	58464.2701023527	104021.600820966	12005.8146207063	22824.9776067616	35380.8601205083	382819.406689049	138360.451460438	6818.15125539246	126684.882451926	43579.3923866655	60363.6411787826	225766.659847692	56358.198330273	11120.7065836016	111960.557000711	273261.833832066	30584.0555152328	136559.841846139	108291.351553631	25268.1557716798	107870.771214075
