AL	AZ	AR	CA	CO	CT	DE	GA	HI	IL	IN	IA	KS	KY	LA	MD	MA	MI	MN	MS	MO	MT	NE	NM	NY	NC	ND	OH	OK	OR	PA	SC	SD	TN	TX	UT	VA	WA	WV	WI
37783.62305868	107411.115361832	28932.6918647897	306412.568939454	35579.3184399008	19224.1137001239	6050.96543619257	164671.581288478	27261.3723816561	70596.7153747106	56684.5403886395	22723.4092287931	32544.480655384	53355.6906056442	50859.0359367756	44420.9094871188	29448.6479782962	117414.406432522	35053.7363653521	26991.8880950439	50544.205669713	7441.92775068793	18543.3198369699	20791.5559429443	108978.925564124	106465.962419638	5582.88618132256	133240.345967822	52299.6108254636	25988.7569978655	93721.2818146371	63993.5862341817	6620.29047814842	58411.0875993303	426812.73617917	33269.0619554053	69510.2893040471	35390.3434816249	19254.5387308951	28110.4459334782
39806.3822285372	110920.129710143	30355.1327771141	323010.361903356	37609.1009119629	20409.0336413008	6397.78986619661	169550.016063844	27326.5226613648	74927.3868423862	59534.1265077885	23935.5998782904	33970.7738332751	55569.3576615922	53159.7405306042	46835.5958895356	31369.7011834773	121809.423873498	36903.6633632163	28356.1724523048	53198.9663749888	7794.9446854618	19386.3801257871	21818.8919921234	115564.766762393	111317.68576556	5820.18920521583	138737.192985598	54301.3759725487	27381.7177415505	98852.2276799312	66464.0167285004	6946.59268786982	61390.5517198512	439800.21002636	34650.7391838194	73108.2093098101	37383.5161638406	20148.5721517525	29870.6689075211
41906.670349408	114425.344380795	31821.1460414231	340294.769288925	39734.9885994272	21657.7909063726	6760.60647758117	174357.904697059	27362.7245601907	79483.6725769556	62481.7880882593	25197.4646504098	35426.7611774804	57817.2649332274	55515.2192144425	49349.4719907719	33405.9947400715	126264.245207272	38833.0218840825	29765.2939192794	55951.8445336756	8160.92030240748	20252.0611227232	22881.0390860434	122494.49753117	116284.105754122	6064.46951209589	144335.687214671	56318.8999235896	28836.710591236	104201.336660489	68959.146577764	7284.53182991976	64467.0626148885	452681.622280253	36060.0472880391	76836.8179265116	39476.0631870667	21066.599546478	31727.067206838
44096.5792754551	117909.101661509	33331.2031465485	358245.096439588	41957.5279311194	22971.7511567166	7139.74254602771	179108.859142357	27373.806249144	84272.4965640346	65524.4692587391	26509.2679792678	36914.6178341511	60095.8944199677	57937.0253735073	51965.9142766818	35559.3322783958	130768.512056047	40841.7054773364	31226.5147764041	58805.738469383	8539.39694140672	21140.7098615141	23978.6010000537	129774.851360755	121371.88292571	6315.67560517671	150021.341501571	58357.6107926774	30352.8949647918	109772.506674908	71480.0388647073	7634.42359628043	67645.8751376265	465493.196784121	37494.2634194032	80700.0354126858	41670.5652273503	22008.4830854226	33682.8619576094
46379.6639303151	121348.473057807	34895.7739299363	376810.016004007	44278.4108764567	24350.9666390592	7535.24267993373	183787.644570011	27363.9565403653	89322.3940267366	68677.6349781395	27876.5224797367	38437.3680820346	62417.9348921769	60425.8363665596	54683.2716583666	37829.5842660818	135330.983363686	42937.8509605393	32744.6890520147	61777.660601663	8931.15272621792	22053.331356582	25108.668998905	137407.956922821	126565.149695365	6574.16418544756	155807.104398838	60418.7739890541	31930.8115250152	115563.236432867	74018.6943833997	7996.89412953301	70944.191506431	478134.867276682	38947.7613894256	84691.1455530161	43969.9514319382	22973.7695713906	35748.650276817
48764.2845183761	124724.206583348	36507.0051978334	396021.117507775	46699.6516201644	25808.5681945607	7950.47607155702	188429.38052801	27326.8289763603	94641.0377717799	71942.4151011612	29299.0376067771	39990.7861471623	64784.2590993408	62972.7106543176	57523.1303259085	40238.9332282885	139952.574713976	45121.4014534506	34317.6286381538	64860.6454382126	9335.50926732679	22988.1533571441	26268.6413705648	145459.876585497	131912.690497653	6839.54375173694	161713.773521404	62492.0481494023	33569.4218239101	121618.286106164	76595.0914807795	8371.54997785549	74364.0092716701	490523.805606486	40419.6252508911	88845.568657115	46370.6114925541	23968.9984216338	37930.016962167
51239.4388308857	128041.958580852	38164.5663465551	415958.180597538	49217.0113783427	27336.897423623	8382.7252946963	192964.512571035	27262.4385869257	100231.172687112	75314.2025559967	30774.8417971968	41568.231186967	67182.6609897549	65574.1161230903	60465.5085848323	42780.5084140427	144614.091858034	47389.658802707	35942.977885544	68050.9083672604	9751.95745247742	23942.3287734118	27457.307904756	153892.739345127	137355.935124496	7111.44229094354	167702.649937045	64566.2349435638	35272.3076407836	127901.041133818	79176.8782359639	8757.66759463097	77895.2728192958	502661.543977228	41907.8147917196	93128.4857402098	48879.9674182223	24986.3635379911	40226.6500442534
53807.510339397	131294.685860424	39857.8170359612	436563.166891412	51829.546638108	28946.1937121933	8834.60448828692	197390.373410508	27174.2916881213	106086.421270635	78781.6324305314	32300.4240573009	43160.4585109071	69602.5036251816	68215.5094983966	63522.2696003623	45470.6399594626	149299.507209594	49739.9619006525	37616.2987572076	71333.5544740411	10180.9016297973	24912.724694017	28674.7795488882	162751.418779775	142906.378900899	7389.33738791916	173762.224444764	66625.7870551347	37038.2860468269	134435.370550841	81766.8080915151	9154.60168883951	81528.8344966309	514412.041469716	43405.7428744856	97556.156218944	51503.2770802988	26026.5984727893	42638.3039381469
56452.1992554297	134451.489979391	41578.3438793399	457734.858412432	54537.0955066826	30631.6421816214	9304.06217863322	201661.165020922	27060.9464569078	112194.629304005	82325.0360446276	33873.3123106701	44766.1940486812	72019.4900134216	70884.553897482	66680.136473857	48303.4785756441	153981.048363968	52172.8871270445	39327.0501183584	74697.3294762843	10622.0081396002	25898.1855818927	29916.9831983061	172009.744522059	148539.032302948	7673.48662171678	179846.502408447	68672.4272637857	38863.3577949262	141191.321575098	84348.8045234557	9562.17232849284	85239.3491379263	525802.47690077	44909.3745110533	102107.903322105	54237.4155312962	27082.059975429	45164.9779065102
59159.9148428557	137492.250231922	43328.1123643442	479455.334993008	57339.9878588413	32389.2521583551	9789.2353401466	205725.026450917	26921.3617688253	118574.32712893	85946.6216755959	35496.7426274937	46386.3861598176	74429.8042504975	73567.6280792766	69925.080374913	51276.1334495754	158652.024362964	54693.1658485038	41067.8551636921	78153.8617964524	11075.3228815941	26899.3942922392	31180.3793189383	181649.31470386	154199.187979117	7963.5192167446	185933.949198398	70697.0355490022	40750.3829373027	148144.500533282	86892.3590133255	9980.87275971102	89020.6266118792	536696.580760332	46412.1962682658	106757.236565389	57088.3429882128	28147.4572910724	47812.4944998649
