V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
3900390.99432505	3892517.2159008	3898626.15507024	3910638.72194595	3899854.59761911	3909353.44417992	3895259.4393917	3900120.11127548	3890073.34101605	3905918.5907466	3895563.84690193
4049215.21251997	4040994.78519266	4047216.06052726	4059522.32365143	4048618.7605054	4058357.88704803	4044068.46350998	4048786.02563335	4038569.88514606	4054749.21558745	4044197.22822278
4199835.81019589	4191267.16872228	4197593.16138178	4210176.15548349	4199172.79655536	4209140.32904514	4194697.76974551	4199243.24052621	4188873.78099026	4205360.99009978	4194630.02995551
4351903.52529155	4342997.19008824	4349402.29859671	4362248.0786573	4351171.92082613	4361346.10956676	4346782.46649053	4351145.51571454	4340631.61784415	4357400.97305976	4346518.94706018
4505031.83515577	4495798.79826501	4502271.06693834	4515357.58546301	4504237.78511041	4514596.23922906	4499957.63095041	4504100.04999298	4493474.17931197	4510490.84899095	4499471.60673717
4658822.93978153	4649271.80666269	4655790.65212815	4669096.13259945	4657957.79825039	4668489.31779924	4653819.77958876	4657705.24753827	4646995.35043607	4664220.85762339	4653089.32503225
4812833.46314896	4802976.56928047	4809531.26228544	4823034.71503655	4811897.84546363	4822586.8788727	4807923.96432999	4811532.87496214	4800760.42415223	4818153.81953886	4806939.96733909
4966604.48974456	4956452.52874259	4963021.97062564	4976707.88090461	4965594.25782774	4976417.09393922	4961814.06687727	4965115.49287675	4954309.75061209	4971831.84675693	4960555.30841645
5119646.23978802	5109226.62180094	5115782.67337952	5129618.1236362	5118562.89881682	5129492.45178139	5115003.95589273	5117960.70967433	5107162.06773245	5124766.07263472	5113452.90126261
5271454.42716732	5260773.75643802	5267304.33761421	5281260.087767	5270293.61333387	5281304.65501026	5266981.71857661	5269576.79928265	5258809.92136244	5276449.22938718	5265124.63650423
5421502.60006723	5410582.83505395	5417066.16541988	5431105.30309383	5420262.08935449	5431324.51252353	5417221.13542183	5419429.2781318	5408732.65220891	5426357.77269146	5415052.00579012
5569236.45408131	5558112.92153264	5564522.31506315	5578611.96488642	5567929.66000206	5579016.4743242	5565177.42980138	5566973.00965389	5556372.82364653	5573943.37103557	5562678.29879004
5714099.69732348	5702797.3492978	5709114.59632659	5723222.05092913	5712733.19241947	5723805.0612478	5710296.34864763	5711642.82437729	5701183.26066955	5718640.33874694	5707449.48030125
5855534.28193175	5844075.81248705	5850276.74891565	5864374.78073173	5854103.41885435	5865131.89793881	5852010.12319941	5852881.16037095	5842597.08628354	5859892.9296622	5848804.13445124
5992962.20589468	5981375.51568686	5987442.28539441	6001485.31944713	5991468.85783428	6002423.27274551	5989744.24770545	5990117.12195999	5980040.03968718	5997122.33225255	5986174.89569297
6125815.44352755	6114127.54405387	6120029.74383132	6133986.21527324	6124256.55993863	6135105.77385286	6122925.05159116	6122775.85212014	6112947.07256353	6129763.38597293	6118980.52799065
6253512.06303951	6241764.84463617	6247485.53763635	6261306.66859478	6251904.26572904	6262609.54252776	6250979.86242419	6250286.96379328	6240741.19172874	6257237.68080782	6246660.33612977
6375498.79380538	6363730.3011278	6369243.61482637	6382897.36158924	6373837.01436501	6384370.15805841	6373349.69212975	6372089.9840578	6362861.22665539	6378988.58743751	6368654.23934691
6491234.99578033	6479474.78639958	6484768.61830724	6498211.17157566	6489525.43752188	6499848.15946044	6489484.87283898	6487652.90556453	6478768.98493866	6494484.39200902	6484420.83628055
6600191.41961949	6588479.14948399	6593530.22602	6606727.98954052	6598441.59011796	6608521.20636677	6598859.93571751	6596451.44761874	6587944.71550583	6603195.88832786	6593426.56891981
6701860.70744567	6690235.52117732	6695023.78461896	6707942.99628195	6700084.14623779	6709890.69006332	6700966.31856992	6697961.41212809	6689884.81831522	6704614.85927807	6695171.73003072
6795773.41601062	6784271.04590955	6788782.38195892	6801389.66605484	6793979.37968419	6803487.93330556	6795332.70632327	6791728.46074725	6784106.01455434	6798282.4667731	6789179.05517619
6881479.94566308	6870137.8935372	6874370.78385411	6886627.5949687	6879688.87438032	6888857.89929106	6881521.95303278	6877314.29622293	6870167.90093933	6883749.70981146	6875018.89353331
6958600.30675736	6947443.05057457	6951387.45167936	6963259.37065234	6956819.91975684	6965607.76659057	6959114.85942187	6954310.30038796	6947675.31393653	6960621.54609642	6952287.24316771
7026766.80728904	7015830.70219015	7019481.38740775	7030927.92269818	7024992.58080451	7033385.12208975	7027760.23510545	7022372.71285022	7016269.74477411	7028535.8594509	7020634.75230762
7085671.05580104	7074984.46317235	7078333.52105663	7089322.94458827	7083912.31709475	7091887.13534416	7087143.3988052	7081175.398994	7075623.01717183	7087182.77867697	7079728.5800167
7135039.8876208	7124639.87568849	7127679.67795974	7138179.31219196	7133310.64902515	7140843.17594794	7136988.58310606	7130456.26090966	7125483.25837082	7136306.34979301	7129321.3224474
7174668.42885363	7164589.06317926	7167305.68430805	7177296.74911367	7172978.15183876	7180041.14264563	7177091.69343625	7170009.58097071	7165631.51726533	7175700.89276578	7169194.03376694
7204406.79530597	7194668.55297165	7197056.83555006	7206528.342724	7202756.39181686	7209335.6085236	7207283.88481819	7199684.34741488	7195904.65576788	7205204.07213345	7199186.8030844
7224147.31209298	7214774.15619775	7216842.47887389	7225768.05269362	7222550.07001687	7228632.91757179	7227478.57938323	7219376.27579154	7216201.85177893	7224714.45141412	7219208.28796218
7233850.21247383	7224864.60863211	7226615.18788845	7234970.94343179	7232309.24951057	7237882.55352162	7237606.6673748	7229047.22193192	7226487.02975112	7234190.88570296	7229215.10038391
7233534.34047093	7224951.54898925	7226389.5789169	7234153.89167135	7232050.38670015	7237107.28516363	7237692.51302658	7228696.75069062	7226761.07383391	7233654.56135958	7229204.83106736
7223262.52702145	7215098.92774486	7216236.67330905	7223392.903754	7221848.92869312	7226376.24481001	7227810.8257894	7218405.44255572	7217094.50299164	7223175.18127514	7219254.75087483
7203157.78636982	7195435.77829064	7196270.15654195	7202813.70250302	7201816.57175632	7205813.97660782	7208078.03075099	7198299.91563474	7197609.96804754	7202879.22267778	7199484.74601712
7173404.04766141	7166139.13933852	7166673.66114894	7172600.59267539	7172146.52230084	7175605.90703317	7178665.16034551	7168555.30206365	7168475.69511944	7172932.34224841	7170076.10306637
7134226.55527881	7127424.28664141	7127674.26601349	7132982.95821492	7133051.76360021	7135981.18039933	7139804.15743825	7129394.6992498	7129915.39845084	7133565.44246749	7131248.63636532
7085891.6337565	7079560.90083204	7079549.96866632	7084242.61178946	7084809.1314036	7087225.1653011	7091766.6474735	7081102.91813785	7082198.53744655	7085067.15785815	7083276.69962499
7028734.05641734	7022875.57527275	7022606.41311154	7026694.47804633	7027742.79663189	7029642.92531321	7034861.68161665	7023998.37429992	7025646.17602094	7027748.13367322	7026482.70224513
6963110.72048855	6957722.17507898	6957202.63767407	6960700.04567975	6962211.53964074	6963601.6587831	6969465.85449934	6958434.54157907	6960621.17444961	6961979.19688882	6961226.82354877
6889417.25486424	6884500.91121487	6883746.02928195	6886652.58119319	6888603.19914597	6889492.63818084	6895960.1384245	6884809.86651071	6887514.52911474	6888138.02012055	6887890.29316727
6808075.95533338	6803628.50649511	6802644.91551413	6804978.70246846	6807355.05304927	6807763.96392437	6814779.17969651	6803553.14040017	6806757.83346786	6806663.55749522	6806908.18101146
6719542.20316057	6715562.60753265	6714364.08331974	6716139.83482411	6718915.31229748	6718857.88190759	6726386.39510258	6715108.60693168	6718784.92248575	6718008.54075174	6718727.98392409
6624303.94143137	6620775.06680632	6619380.19039229	6620613.23217156	6623767.24694059	6623260.78641374	6631244.74256825	6619959.2084704	6624088.30190551	6622652.98872425	6623830.98298246
6522838.39444038	6519760.48119836	6518172.60621559	6518890.06630387	6522399.79420664	6521460.76733465	6529848.39064909	6518597.86378335	6523138.41873826	6521081.49870624	6522709.45926811
6415663.19695759	6413022.30362406	6411258.96615984	6411482.74588729	6415313.41831805	6413965.91418609	6422712.00000859	6411534.49614597	6416456.07481916	6413810.65889595	6415860.40128751
6303292.40459005	6301069.71336234	6299144.19339518	6298899.41957113	6303028.36087594	6301296.2353594	6310344.39804814	6299274.11301211	6304545.01400231	6301340.75120734	6303793.54720516
6186232.69163154	6184411.58130683	6182335.48924393	6181654.80940665	6186054.48578804	6183956.1464598	6193272.97623819	6182341.28814888	6187925.46320452	6184201.30577704	6187041.96239514
6065007.02726095	6063573.96308746	6061363.66550929	6060263.24055587	6064906.92677192	6062466.68388539	6072006.16360294	6061244.58249096	6067109.79727033	6062909.68035326	6066106.60841546
5940132.86171858	5939064.13972507	5936735.80498593	5935235.62574388	5940101.01808744	5937335.91913224	5947059.67822672	5936485.60302908	5942617.61722531	5937972.04300585	5941498.05269891
5812107.21649372	5811385.14757708	5808943.33940489	5807077.72375167	5812145.99386632	5809073.50589617	5818942.80926536	5808580.08253691	5814949.19569119	5809886.50189103	5813726.68282277
5681420.92782193	5681025.02832857	5678487.50483156	5676282.87126154	5681527.4526148	5678167.82807945	5688147.52891407	5678015.70275931	5684594.39619623	5679146.57378144	5683278.48209067
5548544.8528063	5548472.60162294	5545846.13679861	5543324.79745087	5548712.73603468	5545102.52953429	5555151.78804272	5545272.40360838	5552027.6244743	5546234.02476844	5550630.71643552
5413948.21633366	5414173.10181806	5411481.5202569	5408662.41466913	5414171.91691068	5410330.79374664	5420410.17681886	5410806.68569763	5417710.26565555	5411600.90515657	5416245.01164743
5278077.63498926	5278576.15793904	5275822.35603946	5272734.52399169	5278349.15357777	5274295.17497174	5284374.7425193	5275063.76717891	5282081.02407745	5275692.9552318	5280558.7988057
5141347.6877097	5142100.81206624	5139290.39698734	5135964.67745327	5141662.65920041	5137410.65745179	5147472.19366391	5138463.09512395	5145565.96964476	5138935.79673833	5143996.78700298
5004162.03432523	5005145.9637368	5002289.02819558	4998746.70616573	5004511.16333369	5000080.23815674	5010090.42198195	5001400.27844401	5008565.58069059	5001721.70930074	5006953.20973197
4866880.96163206	4868089.18696494	4865195.66375731	4861453.45862127	4867262.41042078	4862679.69888138	4872613.6258232	4864247.21414651	4871456.2621051	4864426.64367037	4869807.27529456
4729860.09669782	4731278.5286258	4728355.28839939	4724444.2694513	4730277.29555492	4725560.04385799	4735394.93813635	4727362.03976657	4734589.24056181	4727397.02612971	4732907.90660269
4593430.96422788	4595045.80039518	4592094.57973193	4588033.52470483	4593881.04148001	4589048.3608733	4598759.82722766	4591062.637352	4598289.81905958	4590962.28520113	4596588.96190229
4457895.70551501	4459683.09533014	4456717.33677498	4452533.032118	4458373.6312487	4453444.18981006	4463010.23599321	4455653.86199782	4462857.53066151	4455428.61361617	4461145.43421185
4323528.87862273	4325480.59016608	4322508.34775393	4318211.03866076	4324029.38479544	4319024.21197852	4328427.62414318	4321416.91049086	4328576.16071308	4321066.37645437	4326857.72130759
4190588.96232351	4192687.06214578	4189714.92796951	4185322.25088322	4191109.3060237	4186038.03031751	4195270.44374972	4188596.28058807	4195700.58045297	4188133.74963267	4193980.81420199
4059298.7299834	4061528.02736608	4058563.57828495	4054092.27471887	4059836.83779026	4054718.52047319	4063761.54564353	4057423.83945713	4064459.07505751	4056856.0605409	4062746.31859619
3929867.54954216	3932215.47634643	3929266.28967579	3924733.34367564	3930420.36920791	3925269.47841029	3934114.49538275	3928110.75906915	3935059.19519462	3927445.77655803	3933356.21267546
3802483.52210141	3804931.52891103	3802001.73793157	3797422.96661488	3803050.71287645	3797876.32073967	3806512.54452472	3800836.8820087	3807691.0767953	3800078.29811998	3806001.02622865
3677302.05378243	3679840.09042533	3676931.22430549	3672323.40527014	3677880.21241153	3672696.3303275	3681121.37708967	3675766.97840735	3682511.87738918	3674918.55412887	3680841.42278496
3554470.56941259	3557083.81010393	3554201.06939694	3549577.9186458	3555054.07818085	3549875.75436663	3558079.21686967	3553037.31721936	3559666.25933697	3552107.2003403	3558019.14996957
3434108.23314778	3436785.38312335	3433935.8980618	3429307.58407108	3434691.28779129	3429529.37680001	3437506.93091256	3432774.96783899	3439277.37965898	3431769.67293303	3437657.41449349
3316322.27909576	3319053.43019777	3316238.82615856	3311618.05339563	3316902.40385949	3311778.75810566	3319518.73563786	3315091.78351317	3321454.67280205	3314022.96198425	3319868.00620136
3191394.93982173	3194207.57722236	3191413.40475257	3186769.10365153	3191946.98608037	3186911.13261548	3194446.7809875	3190279.03779587	3196486.67045142	3189106.02482413	3194869.79762608
3070609.25175287	3073489.0283841	3070720.90720691	3066072.28293609	3071136.526783	3066192.3429308	3073524.93228979	3069608.55986345	3075651.67916124	3068334.32017592	3074011.04327055
2953905.35700977	2956837.36209966	2954106.11217099	2949460.1321802	2954407.84253491	2949557.75634988	2956678.5741653	2953005.51253403	2958890.00681171	2951652.90232959	2957234.14337405
2841217.18536277	2844191.73795923	2841492.35149738	2836864.27809841	2841696.40068661	2836942.21452063	2843848.59363043	2840411.14895392	2846135.90168009	2838992.02424601	2844475.55336338
2732470.31549587	2735472.93165579	2732812.9919833	2728213.99537347	2732927.42915201	2728272.89393779	2734964.37726121	2731755.22707858	2737317.46989881	2730273.40997932	2735657.05335162
2627582.70251832	2630603.96410446	2627986.12543432	2623425.92625612	2628020.86319238	2623466.28219876	2629944.47071924	2626954.23780433	2632352.98798931	2625418.76618637	2630694.11694152
2526472.6401972	2529498.36504175	2526924.91549827	2522412.0254611	2526884.51334726	2522438.13437224	2528701.52948282	2525922.02376646	2531159.10891597	2524342.29155251	2529507.28361449
2429041.11742513	2432067.47271922	2429540.29950027	2425082.61753722	2429431.16900731	2425094.46225193	2431142.23974428	2428562.77667781	2433641.99917527	2426949.13704405	2432003.21612239
