V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
4541562.85431654	4544931.08903915	4542619.89415792	4541218.45810035	4544767.36940984	4548869.41657507	4552485.15911139	4539680.58834473	4539540.99883118	4541982.35840899	4537500.37784175
4539049.65475694	4542804.14028598	4541022.6100266	4538103.68714791	4541818.55940713	4545746.00743161	4550668.72455418	4537364.23261482	4537785.78035888	4539016.75657076	4534668.49733537
4533422.21296965	4537560.74798706	4536308.38350342	4531887.29153358	4535762.41899559	4539507.31092563	4545723.09802888	4531946.5701518	4532920.69807595	4532942.07152248	4528734.53565095
4524724.42052416	4529236.98568898	4528516.77416639	4522608.81857754	4526627.57865554	4530187.05547505	4537678.00042421	4523451.7528767	4524980.20237221	4523797.07616173	4519731.23363573
4513008.34085259	4517872.40044047	4517693.1482371	4510318.82765099	4514477.00646295	4517839.84979219	4526590.23559047	4511939.84614427	4514011.57639784	4511634.20238181	4507706.26989202
4498323.67349357	4503536.29483664	4503887.20770226	4495069.80346369	4499361.029995	4502525.12781942	4512513.00498808	4497457.07339202	4500068.8284543	4496508.37490522	4492716.16861027
4480735.27325061	4486290.33420991	4487158.73259906	4476937.79924795	4481349.46053053	4484303.03952041	4495499.42795361	4480070.7193194	4483213.46737704	4478488.76449683	4474836.51390691
4460320.5686162	4466202.95204584	4467582.43321786	4455982.51255868	4460513.08130227	4463250.78922816	4475626.43377606	4459850.72886928	4463518.58864419	4457641.97667838	4454139.17013646
4437154.60607132	4443351.9473908	4445232.84716005	4432294.80050192	4436928.42053456	4439452.3923857	4452973.35442731	4436880.06253907	4441054.79845407	4434050.25679787	4430690.57357523
4411327.11739919	4417828.28910431	4420194.35737863	4405960.4332169	4410687.44704186	4412988.13557556	4427617.77803929	4411241.71448478	4415911.21882712	4407802.96918565	4404589.24825232
4382921.02342267	4389722.19550623	4392552.87619216	4377066.4326258	4381880.58542882	4383957.69165981	4399652.83619804	4383027.96621796	4388172.50655403	4378990.25743555	4375927.5057795
4352038.00671836	4359117.93247842	4362407.35616061	4345721.22625226	4350606.58733987	4352456.73474489	4369178.25246867	4352336.23025131	4357940.21704106	4347715.57092864	4344789.99009651
4318789.78061146	4326123.96163954	4329857.90979086	4312030.10578497	4316966.01065591	4318590.465832	4336293.3275692	4319264.27986849	4325310.3022306	4314066.46701474	4311289.36658681
4283262.85490912	4290857.07772753	4295008.33340411	4276089.15891687	4281071.61600547	4282466.54126359	4301101.28109966	4283918.75163661	4290388.51668407	4278164.80225065	4275533.38539635
4245578.47721356	4253411.04225323	4257966.53395725	4238008.46360404	4243031.2049565	4244197.3611354	4263718.32156893	4246407.31376061	4253280.17925543	4240118.71260859	4237627.65995189
4205847.0088841	4213898.37517365	4218847.59820613	4197905.5661138	4202955.80603009	4203900.66474537	4224254.30022587	4206848.26287668	4214097.21138302	4200031.44217739	4197693.34925058
4164185.23757536	4172444.67226079	4177758.23610152	4155896.41087756	4160961.83521383	4161680.39254897	4182826.48716851	4165352.1038299	4172959.48715303	4158033.25765041	4155843.05880955
4120716.60989527	4129168.6610339	4134818.50850607	4112099.49735342	4117171.32982574	4117661.30985622	4139545.48991657	4122046.34597174	4129978.60687698	4114236.3523188	4112187.77817749
4075549.45993136	4084183.07789012	4090148.87848114	4066642.78071398	4071707.57608496	4071969.46212009	4094528.65823828	4077030.26242049	4085275.90445709	4068752.60542029	4066847.03170361
4028802.6350703	4037607.21890218	4043873.49911111	4019628.88344244	4024680.82472347	4024721.23058217	4047905.18080354	4030426.99369936	4038961.07969955	4021712.16896857	4019947.72996799
3980602.30597276	3989564.93625397	3996103.31796278	3971181.55248483	3976215.23264372	3976036.50717998	3999789.52217137	3982365.83102627	3991157.71082202	3973236.94393856	3971601.73603197
3931063.18280572	3940168.85378177	3946954.89677614	3921426.2043617	3926428.90643121	3926038.03991908	3950300.12908307	3932963.33459615	3941987.71622947	3923438.69669788	3921933.42747432
3880303.48626277	3889536.71874553	3896551.55174817	3870472.32301865	3875438.5570638	3874842.8808445	3899561.1482103	3882330.42111399	3891568.24186792	3872444.3701353	3871060.21483853
3828441.04218475	3837793.43418679	3845015.92591102	3818442.16163367	3823365.12152665	3822566.60209581	3847693.21981163	3830591.52072973	3840017.96726907	3820361.83067479	3819103.16423805
3775590.68199636	3785048.46917269	3792452.43778446	3765450.32823841	3770325.67318081	3769322.2011104	3794803.86311935	3777861.03671991	3787452.33840762	3767311.19442773	3766171.53163043
3721868.76117282	3731415.73018702	3738983.56581321	3711606.73972791	3716422.1453968	3715229.81334711	3741017.14905399	3724246.65764792	3733985.68466935	3713404.12136556	3712381.9399024
3667383.5666909	3677009.43722046	3684711.18417085	3657022.37317079	3661777.692372	3660398.26796911	3686436.45786108	3669865.3482413	3679722.1465784	3658751.42706849	3657839.75884586
3612243.49741064	3621934.62562363	3629751.18028368	3601815.75483352	3606501.35481761	3604933.18824379	3631172.84415965	3614819.41718424	3624777.27906421	3603459.94669663	3602660.19289638
3556554.2300591	3566292.46920184	3574207.60309518	3546079.51939122	3550685.8270672	3548941.8926454	3575336.45148157	3559220.64397997	3569257.56368543	3547638.13227129	3546944.41173444
3500416.38313168	3510191.07293381	3518186.02760788	3489913.90630546	3494435.60565673	3492527.41189536	3519027.31279739	3503166.26152919	3513261.33526719	3491386.69528454	3490797.04771302
