V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
2795302.61093118	2804976.92644271	2807355.18345939	2802650.4242765	2797597.09179653	2798968.37309239	2796717.06166187	2801096.4173919	2799765.56610544	2806032.44899857	2801028.94579674
2915667.90084788	2925557.57466285	2928058.1244258	2923335.93454622	2918051.71144527	2919591.26904218	2917281.99361982	2921640.25464146	2920410.00513309	2926744.01762533	2921378.96021123
3039211.37442548	3049308.38465034	3051929.33563944	3047200.55029121	3041692.79971204	3043400.88660428	3041034.76453905	3045355.41178747	3044240.2501849	3050629.3739767	3044889.26290143
3165825.26895973	3176121.34751297	3178866.45346792	3174141.84700777	3168405.86252676	3170294.33903772	3167870.99004138	3172137.85890636	3171150.38181765	3177588.62863753	3171463.08653286
3295391.63073341	3305873.22615707	3308734.72303683	3304035.29873354	3298068.85886594	3300141.08968385	3297664.47100985	3301867.04305194	3301018.09763645	3307481.02634479	3300967.81908539
3427764.41033246	3438414.05379533	3441390.73703184	3436733.73614188	3430535.2362283	3432798.05592321	3430272.31132677	3434396.11601106	3433695.64559356	3440171.27836751	3433263.26869594
3562773.59262204	3573576.22226117	3576671.03721479	3572069.88212541	3565640.31151079	3568097.36271632	3565528.88833334	3569559.5975947	3569011.06429268	3575486.10732491	3568179.09881333
3700230.16364781	3711166.57133927	3714376.43395742	3709854.42375468	3703192.03024758	3705853.00512836	3703242.46486391	3707161.02853757	3706773.05526602	3713236.33114436	3705529.66851739
3839924.56675675	3850975.5956434	3854293.19052717	3849867.7120658	3842980.61685059	3845841.79167896	3843198.84946494	3846991.19837097	3846770.47689468	3853205.25575982	3845098.40778627
3981617.58202365	3992754.09146511	3996188.06608763	3991875.26304935	3984771.83392237	3987833.57651008	3985160.06055304	3988802.99973473	3988763.38277117	3995153.76214187	3986649.78666975
4125054.07677426	4136248.85725675	4139797.72954242	4135615.78713001	4128293.84207239	4131562.63415882	4128863.93026816	4132342.84836079	4132488.78407634	4138818.18889141	4129920.43297951
4269947.58363714	4281168.43734117	4284823.41456668	4280799.33677229	4273263.33490344	4276745.86687651	4274021.18592435	4277324.27215645	4277658.25845499	4283909.47310195	4274634.8813876
4415976.43161306	4427196.46278447	4430955.93620673	4427111.69526905	4419366.49885753	4423064.62540663	4420319.83994593	4423424.42468033	4423953.03062266	4430117.73971969	4420472.43489181
4562812.83656223	4573993.33430391	4577853.45907602	4574214.08489031	4566277.42516766	4570187.97900645	4567422.70825028	4570312.43273759	4571033.58386504	4577101.97451623	4567096.45667157
4710091.057806	4721193.61590291	4725150.35209938	4721750.41426513	4713627.40157828	4717749.99426468	4714967.23485131	4717624.19136911	4718531.19336183	4724490.29428663	4714140.21295654
4857434.75295292	4868408.92379928	4872453.87284288	4869317.03353018	4861023.57906948	4865356.03374513	4862555.46520751	4864963.95153935	4866065.20533005	4871904.40372804	4861233.16229236
5004426.66809749	5015233.42380648	5019357.32627966	5016505.15658659	5008063.77887652	5012600.9785445	5009781.12870969	5011928.63714145	5013215.48188609	5018921.17512652	5007962.30741482
5150631.93123414	5161231.83761756	5165427.4028805	5162890.88289563	5154310.83742911	5159050.35567557	5156222.03033812	5158079.15090089	5159556.01143743	5165119.97567648	5153892.88657241
5295602.87429652	5305951.64478384	5310204.49721636	5308014.87900006	5299311.96796082	5304251.73133611	5301412.60427345	5302965.76736811	5304620.81653096	5310039.52389976	5298566.13864071
5438868.03258677	5448917.64495979	5453214.97692489	5451398.4219356	5442588.82666525	5447723.86511884	5444875.74414789	5446112.76316792	5447936.9525085	5453206.94731424	5441514.19266441
5579932.36303321	5589633.32344232	5593967.43574421	5592549.70134274	5583658.40866575	5588975.01808459	5586127.92298364	5587024.62590915	5589008.34695043	5594121.44098263	5582255.78046203
5718293.53927487	5727587.01302956	5731947.02011896	5730959.58517751	5722009.39068601	5727508.16725022	5724646.92211468	5725196.25946813	5727326.0833562	5732284.89810943	5720275.57913141
5853433.97349069	5862265.48982406	5866641.24332142	5866111.93695812	5857122.41957906	5862792.94115089	5859926.41398257	5860113.11062896	5862368.95654563	5867172.55143181	5855053.80179545
5984820.83276057	5993134.88661812	5997521.96704684	5997468.38650935	5988471.87165959	5994306.48414068	5991424.2773278	5991246.25095858	5993616.28590806	5998251.22398833	5986070.85979471
6111932.88113776	6119673.65559787	6124056.04853933	6124504.29208941	6115534.07715805	6121506.4291639	6118628.25506017	6118058.0257701	6120523.33799723	6125001.05526887	6112794.41817447
6234222.80647566	6241346.09324196	6245704.01615802	6246684.24874412	6237756.14434653	6243865.39767351	6240985.63849918	6240009.63565886	6242559.29415668	6246881.9760704	6234697.12495198
6351171.29510654	6357620.23523604	6361936.20477288	6363472.23369599	6354616.20699248	6360846.5443634	6357969.67270456	6356579.10792001	6359194.10490113	6363358.38120294	6351234.98413722
6462246.34493339	6467965.933642	6472231.36612127	6474339.77735842	6465596.3946111	6471933.08531859	6469054.50799497	6467233.63497491	6469894.18355637	6473918.87577821	6461891.75641458
6566935.99767637	6571880.15383448	6576081.51377436	6578776.80473769	6570169.9908773	6576610.27547624	6573729.16678375	6571475.26911322	6574156.25612277	6578041.26368723	6566158.44638324
6664750.97826093	6668865.33101268	6672996.29739853	6676290.23652644	6667850.52074291	6674374.90496915	6671499.87689545	6668808.80470531	6671486.04168646	6675240.23083513	6663549.07385883
6755211.37834953	6758456.6682907	6762495.94950368	6766407.50503585	6758168.26070844	6764754.29214745	6761881.04571215	6758756.8716099	6761410.02503748	6765038.66495514	6753581.02888142
6837868.19986498	6840207.76936091	6844150.56785683	6848680.33176172	6840668.69446864	6847299.84350401	6844438.38014694	6840870.01107572	6843477.23795087	6846983.1376485	6835813.48732394
6912314.27403286	6913703.01286209	6917539.04569028	6922689.09440902	6914935.89872148	6921596.95971779	6918760.18703654	6914733.39970255	6917281.09725023	6920676.17276986	6909830.90319356
6978173.75430379	6978573.16403744	6982287.05121439	6988062.71839174	6980591.49203757	6987272.47578111	6984452.13324692	6979980.63183629	6982441.34212597	6985736.37399573	6975250.44328265
7035090.18602628	7034481.07185405	7038065.39908042	7044462.69981462	7037299.74370092	7043979.11471091	7041183.71483844	7036272.84893831	7038626.71232082	7041826.55903006	7031747.47922677
7082776.91987601	7081148.62738847	7084587.62165992	7091595.12435878	7084766.00189766	7091432.20942998	7088670.78621791	7083318.17340402	7085551.5061704	7088656.47776068	7079024.91306516
7120987.91392681	7118326.13007626	7121612.37736358	7129218.52134556	7122749.71736543	7129377.06087141	7126663.8716313	7120880.45058053	7122972.00003386	7125991.05145773	7116831.36651434
7149536.84179212	7145821.10069287	7148956.76235572	7157131.22187274	7151047.81718603	7157626.77387998	7154961.77388663	7148762.73799614	7150685.91372247	7153638.19042501	7144974.96819052
7168269.995593	7163496.22789569	7166475.60772819	7175213.58938565	7169522.36542189	7176053.75330468	7173429.17368255	7166827.88159168	7168572.28812892	7171467.13389589	7163321.88973069
7177109.5213995	7171285.20122454	7174090.2705427	7183378.86825116	7178092.39727762	7184554.51251758	7181976.13546133	7174993.61114342	7176547.53019317	7179389.08287851	7171786.87144677
7176020.86968419	7169162.77136627	7171785.06515139	7181597.67071198	7176733.25696895	7183098.81151219	7180588.0700663	7173235.20378429	7174588.14630145	7177370.13158525	7170356.56637687
7165033.10579187	7157154.03886493	7159594.47753867	7169903.41412587	7165473.28579931	7171724.95024745	7169281.75629988	7161593.78845552	7162725.85129169	7165465.45634751	7159035.39694761
7144235.61165778	7135361.87815326	7137612.4065699	7148381.15886336	7144397.85039529	7150523.39390294	7148147.6481795	7140148.15292303	7141062.07753219	7143753.38898305	7137918.32751191
7113760.18220281	7103922.52671777	7105985.28959708	7117178.64494343	7113650.20965544	7119634.42840729	7117332.42771127	7109045.35817043	7109732.37753029	7112380.25973654	7107147.21510438
7073805.75149002	7063036.11438071	7064915.07766947	7076489.30840173	7073416.22108578	7079254.63737622	7077029.44828985	7068479.31871858	7068941.35141845	7071544.35888863	7066926.64142819
7024619.74173753	7012961.83040841	7014657.63559049	7026572.35567208	7023960.67446196	7029632.58079492	7027486.22372067	7018710.5179379	7018940.36535669	7021505.83039107	7017485.5009411
6966479.94077974	6953994.29487638	6955510.90500164	6967732.37911674	6965565.19886107	6971062.42171285	6969009.76499978	6960035.14175265	6960034.11188731	6962566.99777918	6959137.90389343
6899750.54803762	6886482.39878724	6887817.94184739	6900305.76601566	6898577.50454613	6903893.79244784	6901937.29795147	6892786.04172615	6892567.83807214	6895056.93135976	6892221.57052971
6824808.27179729	6810810.46403001	6811959.26107285	6824672.77515661	6823380.52055146	6828504.53776419	6826649.49466013	6817349.08217386	6816921.72338287	6819354.89991222	6817113.8426649
6742058.48166271	6727397.19681835	6728375.04613666	6741258.26355155	6740398.63090894	6745317.71804628	6743558.56905472	6734149.15242313	6733512.8452181	6735891.28932075	6734231.87326769
6651948.89299531	6636691.5360367	6637507.31175648	6650515.84749361	6650069.03567338	6654774.00084048	6653123.45097799	6643637.68406221	6642799.21110383	6645117.57772417	6644020.47718742
6554956.26231027	6539160.28126866	6539830.46862891	6552918.85198694	6552871.83688115	6557360.1809922	6555814.46058152	6546281.55026331	6545254.44095606	6547507.90658997	6546956.61381209
6451584.71793686	6435318.59993022	6435829.72370677	6448964.30244261	6449301.4717569	6453571.28849519	6452134.05715228	6442586.4283062	6441377.59030369	6443560.14536581	6443527.42938997
6342353.00245351	6325676.16779793	6326035.33993683	6339172.74378287	6339878.0629096	6343928.57641285	6342598.84460344	6333064.13565492	6331680.55575929	6333787.61893501	6334254.34239164
6227770.94021336	6210756.21033585	6210968.27234694	6224076.35334552	6225127.02372206	6228958.9010771	6227733.84170804	6218242.42480068	6216694.1084657	6218718.99303832	6219665.72846753
6108372.09551122	6091090.78706984	6091164.68522448	6104194.84837887	6105575.45570875	6109179.95772835	6108062.39638136	6098638.8819114	6096940.9166348	6098886.81502665	6100281.00660839
5984688.91040088	5967201.76968259	5967153.03664102	5980059.54202894	5981760.46521735	5985134.48764926	5984120.10190335	5974797.47324945	5972964.93708743	5974819.28382982	5976639.85115961
5857251.05951392	5839624.46164419	5839460.08492247	5852212.27565111	5854207.8513815	5857355.32539609	5856439.42976416	5847240.29679037	5845293.119721	5847045.86052964	5849274.90074747
5726586.41655061	5708880.63247429	5708608.40394577	5721178.53804692	5723443.2846374	5726364.1389915	5725545.66127277	5716493.76138803	5714443.92771755	5716098.46779919	5718691.5520396
