code	pop	state	missing
FL	18801310	Florida	522
NJ	8791894	New Jersey	522
RI	1052567	Rhode Island	522
DC	601723	District of Columbia	475
NH	1316470	New Hampshire	327
WY	563626	Wyoming	323
ID	1567582	Idaho	291
PR	3725789	Puerto Rico	273
ME	1328361	Maine	219
VT	625741	Vermont	218
AK	710231	Alaska	209
NV	2700551	Nevada	201
KS	2853118	Kansas	194
ND	672591	North Dakota	187
DE	897934	Delaware	186
MT	989415	Montana	157
MS	2967297	Mississippi	118
IA	3046355	Iowa	114
MI	9883640	Michigan	107
NM	2059179	New Mexico	99
NC	9535483	North Carolina	98
OR	3831074	Oregon	76
TN	6346105	Tennessee	73
CT	3574097	Connecticut	64
MA	6547629	Massachusetts	59
SC	4625364	South Carolina	53
MD	5773552	Maryland	46
AR	2915918	Arkansas	37
SD	814180	South Dakota	30
OK	3751351	Oklahoma	27
NE	1826341	Nebraska	25
LA	4533372	Louisiana	24
OH	11536504	Ohio	18
NY	19378102	New York	14
WA	6724540	Washington	13
WI	5686986	Wisconsin	13
MO	5988927	Missouri	12
KY	4339367	Kentucky	11
AL	4779736	Alabama	10
IL	12830632	Illinois	6
VA	8001024	Virginia	5
MN	5303925	Minnesota	4
UT	2763885	Utah	4
HI	1360301	Hawaii	3
CO	5029196	Colorado	2
PA	12702379	Pennsylvania	1
AZ	6392017	Arizona	0
CA	37253956	California	0
GA	9687653	Georgia	0
IN	6483802	Indiana	0
TX	25145561	Texas	0
WV	1852994	West Virginia	0
