state	code	pop	LATITUDE	LONGITUDE	OFFCENTER
Alabama	AL	4779736	33.008097	-86.756826	3.243174
Alaska	AK	710231	61.399882	-148.873973	-13.873973
Arizona	AZ	6392017	33.368266	-111.86431	-6.86431
Arkansas	AR	2915918	35.14258	-92.655243	-2.655243
California	CA	37253956	35.463595	-119.325359	0.674640999999994
Colorado	CO	5029196	39.51342	-105.208056	-0.208055999999999
Connecticut	CT	3574097	41.497001	-72.870342	2.12965800000001
Delaware	DE	897934	39.358946	-75.556835	-0.556835000000007
District of Columbia	DC	601723	38.91027	-77.014468	-2.01446799999999
Florida	FL	18801310	27.822726	-81.634654	-6.634654
Georgia	GA	9687653	33.376825	-83.882712	-8.882712
Hawaii	HI	1360301	21.115289	-157.484404	-7.48440400000001
Idaho	ID	1567582	44.218532	-115.178681	-10.178681
Illinois	IL	12830632	41.286759	-88.390334	1.609666
Indiana	IN	6483802	40.149246	-86.259514	-11.259514
Iowa	IA	3046355	41.946066	-93.036629	-3.036629
Kansas	KS	2853118	38.464949	-96.462812	-6.462812
Kentucky	KY	4339367	37.824499	-85.248467	-10.248467
Louisiana	LA	4533372	30.722814	-91.508833	-1.508833
Maine	ME	1328361	44.29995	-69.736482	5.263518
Maryland	MD	5773552	39.140769	-76.797763	-1.797763
Massachusetts	MA	6547629	42.272291	-71.36337	3.63663
Michigan	MI	9883640	42.873187	-84.203434	-9.203434
Minnesota	MN	5303925	45.203555	-93.571903	-3.57190300000001
Mississippi	MS	2967297	32.590954	-89.579514	0.420485999999997
Missouri	MO	5988927	38.423798	-92.198469	-2.198469
Montana	MT	989415	46.787064	-111.296213	-6.29621299999999
Nebraska	NE	1826341	41.1743	-97.315578	-7.315578
Nevada	NV	2700551	37.043481	-116.19172	3.80828
New Hampshire	NH	1316470	43.154858	-71.461974	3.538026
New Jersey	NJ	8791894	40.43181	-74.432208	0.567791999999997
New Mexico	NM	2059179	34.632744	-106.354349	-1.354349
New York	NY	19378102	41.501299	-74.620909	0.379091000000003
North Carolina	NC	9535483	35.543075	-79.658232	-4.658232
North Dakota	ND	672591	47.348468	-99.309504	-9.309504
Ohio	OH	11536504	40.455191	-82.773339	-7.77333899999999
Oklahoma	OK	3751351	35.598464	-96.836786	-6.836786
Oregon	OR	3831074	44.743243	-122.585214	-2.58521399999999
Pennsylvania	PA	12702379	40.456756	-77.00968	-2.00968
Puerto Rico	PR	3725789	18.280422	-66.346513	-6.346513
Rhode Island	RI	1052567	41.753609	-71.450869	3.549131
South Carolina	SC	4625364	34.025176	-81.011022	-6.011022
South Dakota	SD	814180	44.014397	-99.002355	-9.00235499999999
Tennessee	TN	6346105	35.80809	-86.359136	3.64086399999999
Texas	TX	25145561	30.905244	-97.365594	-7.365594
Utah	UT	2763885	40.401359	-111.927035	-6.927035
Vermont	VT	625741	44.094874	-72.816417	2.183583
Virginia	VA	8001024	37.810313	-77.81116	-2.81116
Washington	WA	6724540	47.33075	-121.619994	-1.61999400000001
West Virginia	WV	1852994	38.795594	-80.731308	-5.731308
Wisconsin	WI	5686986	43.721933	-89.018997	0.981003000000001
Wyoming	WY	563626	42.697026	-107.019126	-2.019126
