REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Alabama,2010,40,54.000000,0.000000,0.000000,2.134770,249.000000,35.000000,11664.000000
Alabama,2010,41,46.000000,0.000000,0.000000,2.059990,239.000000,31.000000,11602.000000
Alabama,2010,42,55.000000,0.000000,1.000000,1.942240,232.000000,33.000000,11945.000000
Alabama,2010,43,64.000000,2.000000,3.000000,2.276500,274.000000,36.000000,12036.000000
Alabama,2010,44,69.000000,4.000000,7.000000,2.833710,342.000000,35.000000,12069.000000
Alabama,2010,45,107.000000,2.000000,11.000000,3.462240,419.000000,34.000000,12102.000000
Alabama,2010,46,97.000000,1.000000,16.000000,3.532480,434.000000,33.000000,12286.000000
Alabama,2010,47,97.000000,5.000000,12.000000,4.276550,360.000000,33.000000,8418.000000
Alabama,2010,48,89.000000,3.000000,13.000000,4.440430,467.000000,35.000000,10517.000000
Alabama,2010,49,106.000000,2.000000,36.000000,5.810970,656.000000,37.000000,11289.000000
Alabama,2010,50,130.000000,6.000000,50.000000,10.435900,1245.000000,36.000000,11930.000000
Alabama,2010,51,106.000000,12.000000,36.000000,13.087800,1297.000000,36.000000,9910.000000
Alabama,2010,52,152.000000,11.000000,47.000000,11.659200,1274.000000,38.000000,10927.000000
Alabama,2011,1,153.000000,14.000000,41.000000,9.737550,1191.000000,37.000000,12231.000000
Alabama,2011,2,124.000000,11.000000,39.000000,11.944000,1195.000000,38.000000,10005.000000
Alabama,2011,3,113.000000,24.000000,21.000000,13.106300,1624.000000,38.000000,12391.000000
Alabama,2011,4,162.000000,24.000000,45.000000,14.737600,1938.000000,39.000000,13150.000000
Alabama,2011,5,173.000000,37.000000,37.000000,12.598400,1504.000000,36.000000,11938.000000
Alabama,2011,6,148.000000,38.000000,16.000000,11.507800,1586.000000,38.000000,13782.000000
Alabama,2011,7,206.000000,50.000000,20.000000,11.969600,1450.000000,35.000000,12114.000000
Alabama,2011,8,151.000000,35.000000,9.000000,9.671960,1200.000000,33.000000,12407.000000
Alabama,2011,9,122.000000,30.000000,3.000000,6.802030,737.000000,32.000000,10835.000000
Alabama,2011,10,113.000000,24.000000,4.000000,5.825720,593.000000,30.000000,10179.000000
