REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Georgia,2010,40,209.000000,0.000000,2.000000,1.604900,647.000000,62.000000,40314.000000
Georgia,2010,41,223.000000,1.000000,3.000000,1.713070,702.000000,63.000000,40979.000000
Georgia,2010,42,158.000000,2.000000,5.000000,2.012490,793.000000,62.000000,39404.000000
Georgia,2010,43,234.000000,0.000000,7.000000,2.387470,881.000000,60.000000,36901.000000
Georgia,2010,44,353.000000,1.000000,27.000000,2.656140,1033.000000,62.000000,38891.000000
Georgia,2010,45,426.000000,3.000000,64.000000,3.413050,1390.000000,62.000000,40726.000000
Georgia,2010,46,628.000000,9.000000,110.000000,4.555180,1938.000000,62.000000,42545.000000
Georgia,2010,47,861.000000,9.000000,153.000000,5.463200,1801.000000,61.000000,32966.000000
Georgia,2010,48,740.000000,8.000000,125.000000,3.481780,1315.000000,62.000000,37768.000000
Georgia,2010,49,764.000000,9.000000,131.000000,4.489620,1685.000000,62.000000,37531.000000
Georgia,2010,50,1057.000000,29.000000,215.000000,6.304010,2254.000000,61.000000,35755.000000
Georgia,2010,51,1240.000000,33.000000,268.000000,7.278840,2489.000000,63.000000,34195.000000
Georgia,2010,52,1157.000000,46.000000,200.000000,6.068270,2064.000000,60.000000,34013.000000
Georgia,2011,1,962.000000,48.000000,111.000000,4.822140,1723.000000,63.000000,35731.000000
Georgia,2011,2,668.000000,64.000000,43.000000,4.111480,1133.000000,60.000000,27557.000000
Georgia,2011,3,548.000000,55.000000,23.000000,3.520760,1288.000000,64.000000,36583.000000
Georgia,2011,4,687.000000,104.000000,25.000000,4.366710,1629.000000,65.000000,37305.000000
Georgia,2011,5,771.000000,133.000000,26.000000,4.795510,1828.000000,64.000000,38119.000000
Georgia,2011,6,910.000000,213.000000,24.000000,4.871950,1908.000000,63.000000,39163.000000
Georgia,2011,7,1055.000000,264.000000,28.000000,4.712140,1835.000000,62.000000,38942.000000
