REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Hawaii,2010,40,83.000000,9.000000,0.000000,1.029340,20.000000,18.000000,1943.000000
Hawaii,2010,41,217.000000,14.000000,3.000000,1.752460,32.000000,19.000000,1826.000000
Hawaii,2010,42,214.000000,14.000000,3.000000,0.755124,14.000000,19.000000,1854.000000
Hawaii,2010,43,133.000000,13.000000,3.000000,1.574340,27.000000,18.000000,1715.000000
Hawaii,2010,44,184.000000,6.000000,4.000000,1.773980,27.000000,18.000000,1522.000000
Hawaii,2010,45,183.000000,2.000000,1.000000,1.174290,19.000000,18.000000,1618.000000
Hawaii,2010,46,194.000000,2.000000,6.000000,1.312040,23.000000,18.000000,1753.000000
Hawaii,2010,47,163.000000,5.000000,7.000000,1.574220,128.000000,18.000000,8131.000000
Hawaii,2010,48,123.000000,2.000000,15.000000,1.963050,34.000000,18.000000,1732.000000
Hawaii,2010,49,184.000000,5.000000,24.000000,2.422150,42.000000,18.000000,1734.000000
Hawaii,2010,50,266.000000,7.000000,25.000000,2.512250,41.000000,17.000000,1632.000000
Hawaii,2010,51,245.000000,10.000000,22.000000,2.217040,19.000000,17.000000,857.000000
Hawaii,2010,52,147.000000,20.000000,36.000000,3.343780,32.000000,17.000000,957.000000
Hawaii,2011,1,378.000000,40.000000,28.000000,2.442750,48.000000,18.000000,1965.000000
Hawaii,2011,2,361.000000,31.000000,33.000000,2.018710,41.000000,19.000000,2031.000000
Hawaii,2011,3,283.000000,73.000000,34.000000,3.216700,57.000000,18.000000,1772.000000
Hawaii,2011,4,390.000000,66.000000,22.000000,3.948900,68.000000,17.000000,1722.000000
Hawaii,2011,5,456.000000,91.000000,29.000000,3.738870,63.000000,17.000000,1685.000000
Hawaii,2011,6,570.000000,162.000000,23.000000,4.717530,81.000000,17.000000,1717.000000
Hawaii,2011,7,658.000000,229.000000,27.000000,5.722710,97.000000,16.000000,1695.000000
Hawaii,2011,8,679.000000,203.000000,26.000000,5.548550,88.000000,17.000000,1586.000000
Hawaii,2011,9,657.000000,220.000000,16.000000,5.254330,94.000000,17.000000,1789.000000
Hawaii,2011,10,544.000000,158.000000,21.000000,5.173880,61.000000,15.000000,1179.000000
Hawaii,2011,11,350.000000,64.000000,16.000000,4.236800,73.000000,16.000000,1723.000000
Hawaii,2011,12,330.000000,49.000000,7.000000,1.973680,24.000000,16.000000,1216.000000
Hawaii,2011,13,276.000000,27.000000,7.000000,2.759530,42.000000,15.000000,1522.000000
Hawaii,2011,14,269.000000,15.000000,8.000000,2.799480,43.000000,15.000000,1536.000000
Hawaii,2011,15,242.000000,9.000000,7.000000,1.850530,26.000000,15.000000,1405.000000
Hawaii,2011,16,217.000000,5.000000,5.000000,2.554470,34.000000,15.000000,1331.000000
Hawaii,2011,17,157.000000,2.000000,2.000000,1.771340,22.000000,14.000000,1242.000000
Hawaii,2011,18,110.000000,0.000000,1.000000,0.603774,8.000000,14.000000,1325.000000
Hawaii,2011,19,154.000000,1.000000,0.000000,1.411760,18.000000,14.000000,1275.000000
Hawaii,2011,20,81.000000,1.000000,2.000000,1.407410,19.000000,15.000000,1350.000000
Hawaii,2011,21,81.000000,1.000000,3.000000,1.866250,24.000000,15.000000,1286.000000
Hawaii,2011,22,78.000000,0.000000,1.000000,1.137540,11.000000,15.000000,967.000000
Hawaii,2011,23,73.000000,0.000000,2.000000,1.233400,13.000000,15.000000,1054.000000
Hawaii,2011,24,68.000000,0.000000,0.000000,0.756534,11.000000,16.000000,1454.000000
Hawaii,2011,25,52.000000,0.000000,0.000000,1.161200,17.000000,16.000000,1464.000000
Hawaii,2011,26,58.000000,2.000000,0.000000,1.576180,18.000000,15.000000,1142.000000
Hawaii,2011,27,36.000000,1.000000,0.000000,2.350970,28.000000,15.000000,1191.000000
Hawaii,2011,28,42.000000,1.000000,0.000000,1.632050,22.000000,15.000000,1348.000000
Hawaii,2011,29,48.000000,0.000000,1.000000,1.127550,16.000000,16.000000,1419.000000
Hawaii,2011,30,38.000000,0.000000,0.000000,1.519760,20.000000,15.000000,1316.000000
Hawaii,2011,31,42.000000,2.000000,1.000000,0.143062,2.000000,14.000000,1398.000000
Hawaii,2011,32,33.000000,0.000000,0.000000,0.468933,8.000000,15.000000,1706.000000
Hawaii,2011,33,36.000000,3.000000,0.000000,0.736842,7.000000,14.000000,950.000000
Hawaii,2011,34,62.000000,0.000000,0.000000,0.970320,17.000000,15.000000,1752.000000
Hawaii,2011,35,42.000000,2.000000,0.000000,0.643317,9.000000,15.000000,1399.000000
Hawaii,2011,36,48.000000,1.000000,2.000000,0.887574,12.000000,16.000000,1352.000000
Hawaii,2011,37,60.000000,0.000000,1.000000,1.285520,19.000000,15.000000,1478.000000
Hawaii,2011,38,54.000000,0.000000,0.000000,0.815217,12.000000,15.000000,1472.000000
Hawaii,2011,39,66.000000,1.000000,1.000000,0.914962,17.000000,17.000000,1858.000000
Hawaii,2011,40,93.000000,0.000000,0.000000,0.726625,106.000000,21.000000,14588.000000
Hawaii,2011,41,103.000000,0.000000,1.000000,0.466828,104.000000,23.000000,22278.000000
Hawaii,2011,42,79.000000,4.000000,0.000000,0.737279,112.000000,24.000000,15191.000000
