REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Illinois,2010,40,44.000000,0.000000,0.000000,1.282050,505.000000,74.000000,39390.000000
Illinois,2010,41,40.000000,4.000000,0.000000,1.450890,600.000000,76.000000,41354.000000
Illinois,2010,42,37.000000,1.000000,0.000000,1.566070,644.000000,76.000000,41122.000000
Illinois,2010,43,49.000000,0.000000,0.000000,1.457620,623.000000,79.000000,42741.000000
Illinois,2010,44,51.000000,2.000000,0.000000,1.489300,625.000000,79.000000,41966.000000
Illinois,2010,45,36.000000,1.000000,0.000000,1.553920,651.000000,80.000000,41894.000000
Illinois,2010,46,29.000000,3.000000,0.000000,1.632420,661.000000,79.000000,40492.000000
Illinois,2010,47,38.000000,5.000000,0.000000,1.816690,622.000000,78.000000,34238.000000
Illinois,2010,48,32.000000,6.000000,0.000000,1.621320,659.000000,79.000000,40646.000000
Illinois,2010,49,52.000000,15.000000,0.000000,1.852880,732.000000,79.000000,39506.000000
Illinois,2010,50,48.000000,17.000000,0.000000,2.050970,775.000000,80.000000,37787.000000
Illinois,2010,51,68.000000,39.000000,0.000000,3.090330,1039.000000,79.000000,33621.000000
Illinois,2010,52,89.000000,36.000000,1.000000,3.551560,1251.000000,76.000000,35224.000000
Illinois,2011,1,94.000000,48.000000,6.000000,2.990710,1172.000000,78.000000,39188.000000
Illinois,2011,2,118.000000,65.000000,4.000000,3.283570,1280.000000,79.000000,38982.000000
Illinois,2011,3,115.000000,63.000000,3.000000,4.034620,1664.000000,79.000000,41243.000000
Illinois,2011,4,114.000000,40.000000,5.000000,4.718790,1991.000000,77.000000,42193.000000
Illinois,2011,5,128.000000,41.000000,1.000000,4.968300,1857.000000,76.000000,37377.000000
Illinois,2011,6,126.000000,23.000000,4.000000,4.233280,1774.000000,77.000000,41906.000000
Illinois,2011,7,130.000000,27.000000,4.000000,4.043620,1739.000000,76.000000,43006.000000
Illinois,2011,8,99.000000,16.000000,12.000000,3.859220,1568.000000,74.000000,40630.000000
Illinois,2011,9,117.000000,37.000000,6.000000,3.695300,1579.000000,77.000000,42730.000000
Illinois,2011,10,116.000000,20.000000,9.000000,3.190150,1345.000000,76.000000,42161.000000
Illinois,2011,11,93.000000,15.000000,4.000000,3.373000,1284.000000,74.000000,38067.000000
Illinois,2011,12,70.000000,2.000000,2.000000,2.636030,1045.000000,74.000000,39643.000000
Illinois,2011,13,62.000000,4.000000,7.000000,2.551810,985.000000,71.000000,38600.000000
Illinois,2011,14,75.000000,1.000000,2.000000,2.153180,851.000000,71.000000,39523.000000
Illinois,2011,15,50.000000,0.000000,2.000000,1.570630,616.000000,71.000000,39220.000000
Illinois,2011,16,45.000000,0.000000,0.000000,1.721910,640.000000,69.000000,37168.000000
Illinois,2011,17,34.000000,0.000000,2.000000,1.524950,526.000000,66.000000,34493.000000
Illinois,2011,18,33.000000,0.000000,0.000000,1.348040,479.000000,67.000000,35533.000000
Illinois,2011,19,38.000000,0.000000,0.000000,1.590680,575.000000,67.000000,36148.000000
Illinois,2011,20,29.000000,0.000000,0.000000,1.196950,392.000000,63.000000,32750.000000
Illinois,2011,21,25.000000,0.000000,0.000000,1.238460,381.000000,59.000000,30764.000000
Illinois,2011,22,15.000000,0.000000,0.000000,1.683850,516.000000,57.000000,30644.000000
Illinois,2011,23,17.000000,0.000000,0.000000,1.261300,392.000000,57.000000,31079.000000
Illinois,2011,24,21.000000,0.000000,0.000000,1.107230,311.000000,55.000000,28088.000000
Illinois,2011,25,16.000000,0.000000,0.000000,1.064860,307.000000,55.000000,28830.000000
Illinois,2011,26,20.000000,0.000000,0.000000,1.247860,379.000000,56.000000,30372.000000
Illinois,2011,27,13.000000,0.000000,0.000000,1.521600,372.000000,52.000000,24448.000000
Illinois,2011,28,,0.000000,,0.822823,244.000000,52.000000,29654.000000
Illinois,2011,29,13.000000,0.000000,0.000000,1.140270,335.000000,52.000000,29379.000000
Illinois,2011,30,,0.000000,,1.182490,356.000000,52.000000,30106.000000
Illinois,2011,31,10.000000,0.000000,0.000000,1.391150,351.000000,51.000000,25231.000000
Illinois,2011,32,21.000000,0.000000,0.000000,1.011590,316.000000,52.000000,31238.000000
Illinois,2011,33,10.000000,0.000000,0.000000,1.149140,370.000000,52.000000,32198.000000
Illinois,2011,34,12.000000,0.000000,0.000000,1.216310,398.000000,52.000000,32722.000000
Illinois,2011,35,11.000000,0.000000,0.000000,1.312500,431.000000,52.000000,32838.000000
Illinois,2011,36,,0.000000,,1.412580,448.000000,53.000000,31715.000000
Illinois,2011,37,17.000000,0.000000,0.000000,1.336210,439.000000,53.000000,32854.000000
Illinois,2011,38,,0.000000,,1.930420,541.000000,52.000000,28025.000000
Illinois,2011,39,12.000000,0.000000,0.000000,1.536570,512.000000,54.000000,33321.000000
Illinois,2011,40,38.000000,1.000000,0.000000,1.839970,886.000000,88.000000,48153.000000
Illinois,2011,41,25.000000,0.000000,0.000000,1.644470,794.000000,89.000000,48283.000000
Illinois,2011,42,27.000000,0.000000,0.000000,1.653530,755.000000,87.000000,45660.000000
Illinois,2011,43,27.000000,0.000000,0.000000,1.693840,772.000000,89.000000,45577.000000
Illinois,2011,44,26.000000,0.000000,0.000000,1.708800,797.000000,91.000000,46641.000000
Illinois,2011,45,33.000000,0.000000,2.000000,1.646470,742.000000,91.000000,45066.000000
Illinois,2011,46,35.000000,0.000000,0.000000,1.768480,819.000000,92.000000,46311.000000
Illinois,2011,47,27.000000,0.000000,0.000000,2.033920,783.000000,92.000000,38497.000000
Illinois,2011,48,38.000000,0.000000,0.000000,1.714150,772.000000,91.000000,45037.000000
Illinois,2011,49,41.000000,0.000000,0.000000,1.626280,694.000000,90.000000,42674.000000
Illinois,2011,50,35.000000,2.000000,0.000000,2.099140,772.000000,89.000000,36777.000000
Illinois,2011,51,37.000000,2.000000,0.000000,2.142580,840.000000,89.000000,39205.000000
Illinois,2011,52,36.000000,5.000000,0.000000,2.688460,1020.000000,87.000000,37940.000000
Illinois,2012,1,40.000000,5.000000,0.000000,2.202160,888.000000,89.000000,40324.000000
Illinois,2012,2,55.000000,3.000000,1.000000,1.866640,830.000000,89.000000,44465.000000
Illinois,2012,3,34.000000,1.000000,0.000000,2.081980,867.000000,87.000000,41643.000000
Illinois,2012,4,39.000000,6.000000,1.000000,2.062570,948.000000,86.000000,45962.000000
Illinois,2012,5,48.000000,12.000000,0.000000,2.457700,1136.000000,88.000000,46222.000000
Illinois,2012,6,43.000000,9.000000,5.000000,2.404340,989.000000,85.000000,41134.000000
Illinois,2012,7,77.000000,23.000000,3.000000,2.926570,1361.000000,88.000000,46505.000000
Illinois,2012,8,81.000000,23.000000,4.000000,3.368530,1557.000000,87.000000,46222.000000
Illinois,2012,9,106.000000,37.000000,7.000000,3.380030,1561.000000,85.000000,46183.000000
Illinois,2012,10,161.000000,79.000000,10.000000,3.949130,1829.000000,81.000000,46314.000000
Illinois,2012,11,155.000000,57.000000,19.000000,4.668750,2074.000000,83.000000,44423.000000
Illinois,2012,12,126.000000,20.000000,14.000000,3.379120,1562.000000,81.000000,46225.000000
Illinois,2012,13,94.000000,5.000000,6.000000,2.443840,1077.000000,78.000000,44070.000000
Illinois,2012,14,67.000000,4.000000,4.000000,2.322420,1009.000000,77.000000,43446.000000
Illinois,2012,15,50.000000,2.000000,4.000000,2.255300,962.000000,75.000000,42655.000000
Illinois,2012,16,58.000000,3.000000,1.000000,1.984180,863.000000,75.000000,43494.000000
Illinois,2012,17,42.000000,1.000000,2.000000,1.933710,839.000000,73.000000,43388.000000
Illinois,2012,18,37.000000,3.000000,4.000000,1.795730,749.000000,75.000000,41710.000000
Illinois,2012,19,30.000000,2.000000,2.000000,1.384290,544.000000,71.000000,39298.000000
Illinois,2012,20,31.000000,0.000000,0.000000,1.410210,542.000000,70.000000,38434.000000
Illinois,2012,21,23.000000,1.000000,0.000000,1.417980,482.000000,56.000000,33992.000000
Illinois,2012,22,16.000000,0.000000,0.000000,1.508980,511.000000,68.000000,33864.000000
Illinois,2012,23,23.000000,0.000000,0.000000,1.405420,490.000000,68.000000,34865.000000
Illinois,2012,24,24.000000,0.000000,1.000000,1.109760,374.000000,61.000000,33701.000000
Illinois,2012,25,16.000000,0.000000,1.000000,1.150510,389.000000,61.000000,33811.000000
Illinois,2012,26,10.000000,0.000000,0.000000,1.206230,402.000000,60.000000,33327.000000
Illinois,2012,27,11.000000,1.000000,0.000000,1.248480,369.000000,58.000000,29556.000000
Illinois,2012,28,19.000000,0.000000,0.000000,1.180190,396.000000,59.000000,33554.000000
Illinois,2012,29,19.000000,0.000000,0.000000,1.196580,397.000000,56.000000,33178.000000
Illinois,2012,30,,0.000000,,1.223620,429.000000,65.000000,35060.000000
Illinois,2012,31,12.000000,0.000000,0.000000,1.583050,490.000000,71.000000,30953.000000
Illinois,2012,32,26.000000,1.000000,0.000000,1.275480,378.000000,69.000000,29636.000000
Illinois,2012,33,28.000000,0.000000,0.000000,1.195050,442.000000,70.000000,36986.000000
Illinois,2012,34,28.000000,1.000000,0.000000,1.341140,518.000000,72.000000,38624.000000
Illinois,2012,35,22.000000,0.000000,0.000000,1.475840,579.000000,73.000000,39232.000000
Illinois,2012,36,22.000000,0.000000,0.000000,1.599010,503.000000,64.000000,31457.000000
Illinois,2012,37,35.000000,0.000000,0.000000,1.664530,687.000000,73.000000,41273.000000
Illinois,2012,38,37.000000,0.000000,0.000000,1.637440,607.000000,72.000000,37070.000000
Illinois,2012,39,33.000000,0.000000,0.000000,1.652170,644.000000,74.000000,38979.000000
Illinois,2012,40,34.000000,0.000000,0.000000,1.582140,696.000000,84.000000,43991.000000
Illinois,2012,41,49.000000,0.000000,0.000000,1.692690,734.000000,83.000000,43363.000000
Illinois,2012,42,40.000000,0.000000,0.000000,1.710160,789.000000,86.000000,46136.000000
Illinois,2012,43,39.000000,0.000000,0.000000,1.721810,765.000000,83.000000,44430.000000
Illinois,2012,44,44.000000,0.000000,0.000000,1.890330,836.000000,83.000000,44225.000000
Illinois,2012,45,54.000000,2.000000,1.000000,2.028570,923.000000,85.000000,45500.000000
Illinois,2012,46,54.000000,6.000000,0.000000,1.998060,885.000000,84.000000,44293.000000
Illinois,2012,47,57.000000,7.000000,4.000000,2.328180,853.000000,84.000000,36638.000000
Illinois,2012,48,75.000000,23.000000,0.000000,2.391210,1116.000000,87.000000,46671.000000
Illinois,2012,49,109.000000,30.000000,2.000000,3.222680,1529.000000,85.000000,47445.000000
Illinois,2012,50,127.000000,45.000000,2.000000,4.239000,1995.000000,89.000000,47063.000000
Illinois,2012,51,193.000000,71.000000,2.000000,5.078260,2271.000000,85.000000,44720.000000
Illinois,2012,52,188.000000,70.000000,1.000000,6.271650,2227.000000,83.000000,35509.000000
Illinois,2013,1,186.000000,48.000000,2.000000,5.055660,1903.000000,81.000000,37641.000000
Illinois,2013,2,224.000000,42.000000,2.000000,4.348110,2008.000000,86.000000,46181.000000
Illinois,2013,3,199.000000,25.000000,4.000000,3.889020,1790.000000,88.000000,46027.000000
Illinois,2013,4,134.000000,18.000000,4.000000,3.543670,1500.000000,86.000000,42329.000000
Illinois,2013,5,120.000000,12.000000,4.000000,3.502750,1572.000000,84.000000,44879.000000
Illinois,2013,6,119.000000,8.000000,0.000000,3.125850,1381.000000,84.000000,44180.000000
Illinois,2013,7,109.000000,7.000000,3.000000,3.059670,1282.000000,80.000000,41900.000000
Illinois,2013,8,77.000000,3.000000,5.000000,2.555170,1064.000000,83.000000,41641.000000
Illinois,2013,9,82.000000,5.000000,4.000000,2.814710,1194.000000,82.000000,42420.000000
Illinois,2013,10,60.000000,0.000000,1.000000,2.621750,1102.000000,82.000000,42033.000000
Illinois,2013,11,78.000000,4.000000,7.000000,3.037160,1073.000000,78.000000,35329.000000
Illinois,2013,12,61.000000,1.000000,3.000000,2.640340,1039.000000,79.000000,39351.000000
Illinois,2013,13,47.000000,1.000000,6.000000,2.449040,954.000000,78.000000,38954.000000
Illinois,2013,14,52.000000,1.000000,9.000000,2.318810,932.000000,76.000000,40193.000000
Illinois,2013,15,56.000000,1.000000,3.000000,1.896720,746.000000,76.000000,39331.000000
Illinois,2013,16,50.000000,1.000000,8.000000,1.825980,724.000000,76.000000,39650.000000
Illinois,2013,17,46.000000,0.000000,4.000000,1.698670,705.000000,79.000000,41503.000000
Illinois,2013,18,35.000000,1.000000,2.000000,1.647190,678.000000,80.000000,41161.000000
Illinois,2013,19,40.000000,0.000000,1.000000,1.613730,664.000000,80.000000,41147.000000
Illinois,2013,20,33.000000,0.000000,1.000000,1.890150,647.000000,79.000000,34230.000000
Illinois,2013,21,41.000000,0.000000,3.000000,1.422930,526.000000,76.000000,36966.000000
Illinois,2013,22,42.000000,0.000000,0.000000,1.586590,531.000000,77.000000,33468.000000
Illinois,2013,23,31.000000,0.000000,1.000000,1.575550,585.000000,76.000000,37130.000000
Illinois,2013,24,39.000000,0.000000,0.000000,1.646540,499.000000,74.000000,30306.000000
Illinois,2013,25,33.000000,0.000000,0.000000,1.371450,473.000000,74.000000,34489.000000
Illinois,2013,26,28.000000,0.000000,0.000000,1.218190,428.000000,72.000000,35134.000000
Illinois,2013,27,23.000000,1.000000,0.000000,1.174230,370.000000,72.000000,31510.000000
Illinois,2013,28,29.000000,0.000000,0.000000,1.161560,418.000000,72.000000,35986.000000
Illinois,2013,29,19.000000,0.000000,0.000000,0.963450,344.000000,70.000000,35705.000000
Illinois,2013,30,22.000000,0.000000,0.000000,0.991386,366.000000,75.000000,36918.000000
Illinois,2013,31,17.000000,0.000000,0.000000,0.949602,332.000000,70.000000,34962.000000
Illinois,2013,32,16.000000,1.000000,0.000000,0.902903,321.000000,71.000000,35552.000000
Illinois,2013,33,17.000000,0.000000,0.000000,1.074040,385.000000,70.000000,35846.000000
Illinois,2013,34,11.000000,0.000000,0.000000,0.941708,363.000000,71.000000,38547.000000
Illinois,2013,35,10.000000,0.000000,0.000000,1.031930,383.000000,68.000000,37115.000000
Illinois,2013,36,18.000000,2.000000,0.000000,1.189830,439.000000,72.000000,36896.000000
Illinois,2013,37,24.000000,0.000000,0.000000,1.370060,560.000000,75.000000,40874.000000
Illinois,2013,38,54.000000,0.000000,0.000000,1.456430,578.000000,72.000000,39686.000000
Illinois,2013,39,53.000000,0.000000,0.000000,1.439880,562.000000,71.000000,39031.000000
Illinois,2013,40,81.000000,0.000000,1.000000,1.411440,859.000000,105.000000,60860.000000
Illinois,2013,41,87.000000,1.000000,0.000000,1.526820,932.000000,107.000000,61042.000000
Illinois,2013,42,93.000000,2.000000,0.000000,1.602530,937.000000,103.000000,58470.000000
Illinois,2013,43,89.000000,0.000000,0.000000,1.732670,1036.000000,101.000000,59792.000000
Illinois,2013,44,104.000000,1.000000,0.000000,1.848180,1072.000000,101.000000,58003.000000
Illinois,2013,45,95.000000,0.000000,0.000000,1.791310,1069.000000,104.000000,59677.000000
Illinois,2013,46,105.000000,0.000000,0.000000,1.806780,1060.000000,103.000000,58668.000000
Illinois,2013,47,115.000000,8.000000,2.000000,1.930230,1095.000000,104.000000,56729.000000
Illinois,2013,48,86.000000,2.000000,0.000000,2.338750,1012.000000,103.000000,43271.000000
Illinois,2013,49,150.000000,22.000000,1.000000,2.380910,1371.000000,103.000000,57583.000000
Illinois,2013,50,179.000000,31.000000,2.000000,2.781070,1337.000000,102.000000,48075.000000
Illinois,2013,51,206.000000,67.000000,1.000000,3.000350,1627.000000,101.000000,54227.000000
Illinois,2013,52,213.000000,90.000000,1.000000,4.508310,1920.000000,102.000000,42588.000000
Illinois,2014,1,292.000000,128.000000,0.000000,4.442420,1995.000000,101.000000,44908.000000
Illinois,2014,2,245.000000,62.000000,0.000000,3.449040,1716.000000,107.000000,49753.000000
Illinois,2014,3,237.000000,59.000000,0.000000,2.995570,1712.000000,103.000000,57151.000000
Illinois,2014,4,204.000000,47.000000,1.000000,2.813710,1538.000000,109.000000,54661.000000
Illinois,2014,5,180.000000,34.000000,2.000000,2.313130,1240.000000,107.000000,53607.000000
Illinois,2014,6,161.000000,36.000000,0.000000,2.093110,1120.000000,108.000000,53509.000000
Illinois,2014,7,131.000000,17.000000,1.000000,2.020270,1146.000000,107.000000,56725.000000
Illinois,2014,8,143.000000,13.000000,0.000000,2.073390,1182.000000,107.000000,57008.000000
Illinois,2014,9,121.000000,16.000000,2.000000,2.042080,1186.000000,107.000000,58078.000000
Illinois,2014,10,134.000000,15.000000,1.000000,1.849000,1033.000000,106.000000,55868.000000
Illinois,2014,11,95.000000,4.000000,2.000000,1.983140,1101.000000,104.000000,55518.000000
Illinois,2014,12,96.000000,7.000000,1.000000,1.752080,975.000000,104.000000,55648.000000
Illinois,2014,13,83.000000,2.000000,3.000000,2.036280,1126.000000,103.000000,55297.000000
Illinois,2014,14,117.000000,1.000000,5.000000,1.963440,1158.000000,107.000000,58978.000000
Illinois,2014,15,97.000000,3.000000,10.000000,1.951870,1181.000000,104.000000,60506.000000
Illinois,2014,16,101.000000,2.000000,6.000000,1.788860,1006.000000,99.000000,56237.000000
Illinois,2014,17,98.000000,1.000000,14.000000,1.862040,1093.000000,102.000000,58699.000000
Illinois,2014,18,74.000000,2.000000,9.000000,1.714400,956.000000,97.000000,55763.000000
Illinois,2014,19,99.000000,0.000000,10.000000,1.991320,1055.000000,95.000000,52980.000000
Illinois,2014,20,85.000000,2.000000,5.000000,1.632550,808.000000,95.000000,49493.000000
Illinois,2014,21,80.000000,1.000000,2.000000,1.732570,794.000000,85.000000,45828.000000
