REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
North Carolina,2010,40,,0.000000,,0.531430,134.000000,74.000000,25215.000000
North Carolina,2010,41,14.000000,0.000000,0.000000,0.536530,141.000000,77.000000,26280.000000
North Carolina,2010,42,17.000000,0.000000,0.000000,0.457107,116.000000,71.000000,25377.000000
North Carolina,2010,43,10.000000,0.000000,0.000000,0.511163,136.000000,74.000000,26606.000000
North Carolina,2010,44,17.000000,0.000000,0.000000,0.649925,169.000000,70.000000,26003.000000
North Carolina,2010,45,21.000000,1.000000,0.000000,0.476862,115.000000,72.000000,24116.000000
North Carolina,2010,46,21.000000,0.000000,2.000000,0.484569,122.000000,75.000000,25177.000000
North Carolina,2010,47,12.000000,2.000000,2.000000,0.631970,102.000000,77.000000,16140.000000
North Carolina,2010,48,23.000000,3.000000,4.000000,0.657793,170.000000,77.000000,25844.000000
North Carolina,2010,49,16.000000,1.000000,3.000000,0.613611,132.000000,75.000000,21512.000000
North Carolina,2010,50,21.000000,1.000000,1.000000,0.628731,119.000000,74.000000,18927.000000
North Carolina,2010,51,16.000000,3.000000,4.000000,0.944729,107.000000,68.000000,11326.000000
North Carolina,2010,52,20.000000,9.000000,1.000000,1.589860,158.000000,73.000000,9938.000000
North Carolina,2011,1,50.000000,13.000000,4.000000,1.526600,289.000000,73.000000,18931.000000
North Carolina,2011,2,100.000000,44.000000,21.000000,2.534450,469.000000,77.000000,18505.000000
North Carolina,2011,3,102.000000,43.000000,16.000000,3.981450,910.000000,77.000000,22856.000000
North Carolina,2011,4,91.000000,34.000000,27.000000,4.895490,1260.000000,76.000000,25738.000000
North Carolina,2011,5,117.000000,49.000000,40.000000,5.622130,1370.000000,72.000000,24368.000000
North Carolina,2011,6,86.000000,31.000000,23.000000,6.071600,1406.000000,71.000000,23157.000000
North Carolina,2011,7,98.000000,25.000000,32.000000,5.034140,1305.000000,72.000000,25923.000000
North Carolina,2011,8,66.000000,14.000000,20.000000,3.739120,962.000000,74.000000,25728.000000
North Carolina,2011,9,54.000000,12.000000,14.000000,2.258270,522.000000,69.000000,23115.000000
North Carolina,2011,10,38.000000,11.000000,4.000000,2.326290,381.000000,61.000000,16378.000000
North Carolina,2011,11,20.000000,6.000000,0.000000,1.478390,298.000000,63.000000,20157.000000
North Carolina,2011,12,21.000000,3.000000,5.000000,1.058100,226.000000,63.000000,21359.000000
North Carolina,2011,13,17.000000,1.000000,0.000000,0.838605,175.000000,59.000000,20868.000000
North Carolina,2011,14,13.000000,0.000000,0.000000,0.536536,105.000000,56.000000,19570.000000
North Carolina,2011,15,12.000000,0.000000,0.000000,0.586047,115.000000,58.000000,19623.000000
North Carolina,2011,16,,0.000000,,0.370714,60.000000,54.000000,16185.000000
North Carolina,2011,17,13.000000,0.000000,0.000000,0.275451,49.000000,55.000000,17789.000000
North Carolina,2011,18,,0.000000,,0.320739,50.000000,55.000000,15589.000000
North Carolina,2011,19,,0.000000,,0.405581,50.000000,50.000000,12328.000000
North Carolina,2011,20,,0.000000,,0.313559,37.000000,44.000000,11800.000000
North Carolina,2011,21,,0.000000,,0.622249,41.000000,27.000000,6589.000000
North Carolina,2011,22,,0.000000,,0.607571,39.000000,27.000000,6419.000000
North Carolina,2011,23,,0.000000,,0.533668,34.000000,26.000000,6371.000000
North Carolina,2011,24,,0.000000,,0.605469,31.000000,22.000000,5120.000000
North Carolina,2011,25,,0.000000,,0.637996,27.000000,21.000000,4232.000000
North Carolina,2011,26,,0.000000,,0.654332,29.000000,22.000000,4432.000000
North Carolina,2011,27,,0.000000,,0.677613,26.000000,21.000000,3837.000000
North Carolina,2011,28,,0.000000,,0.422692,19.000000,21.000000,4495.000000
North Carolina,2011,29,,0.000000,,0.317383,13.000000,19.000000,4096.000000
North Carolina,2011,30,,0.000000,,0.379210,17.000000,19.000000,4483.000000
North Carolina,2011,31,,0.000000,,0.262342,11.000000,19.000000,4193.000000
North Carolina,2011,32,,0.000000,,0.275344,11.000000,18.000000,3995.000000
North Carolina,2011,33,,0.000000,,0.531915,23.000000,20.000000,4324.000000
North Carolina,2011,34,,0.000000,,0.293794,16.000000,19.000000,5446.000000
North Carolina,2011,35,,0.000000,,0.436910,25.000000,21.000000,5722.000000
North Carolina,2011,36,,0.000000,,0.389788,20.000000,22.000000,5131.000000
North Carolina,2011,37,,0.000000,,0.562852,36.000000,22.000000,6396.000000
North Carolina,2011,38,,0.000000,,0.520980,37.000000,23.000000,7102.000000
North Carolina,2011,39,13.000000,0.000000,0.000000,0.858681,59.000000,22.000000,6871.000000
North Carolina,2011,40,14.000000,0.000000,0.000000,0.350666,64.000000,52.000000,18251.000000
North Carolina,2011,41,17.000000,0.000000,0.000000,0.583957,110.000000,56.000000,18837.000000
North Carolina,2011,42,20.000000,0.000000,0.000000,0.793962,162.000000,63.000000,20404.000000
North Carolina,2011,43,15.000000,0.000000,0.000000,0.740942,164.000000,65.000000,22134.000000
North Carolina,2011,44,26.000000,0.000000,0.000000,0.797813,178.000000,68.000000,22311.000000
North Carolina,2011,45,23.000000,0.000000,0.000000,0.910326,201.000000,69.000000,22080.000000
North Carolina,2011,46,28.000000,0.000000,1.000000,0.864231,193.000000,67.000000,22332.000000
North Carolina,2011,47,15.000000,0.000000,0.000000,0.785780,103.000000,65.000000,13108.000000
North Carolina,2011,48,20.000000,0.000000,0.000000,0.795694,170.000000,70.000000,21365.000000
North Carolina,2011,49,18.000000,4.000000,0.000000,0.750728,147.000000,66.000000,19581.000000
North Carolina,2011,50,10.000000,0.000000,0.000000,0.883308,166.000000,68.000000,18793.000000
North Carolina,2011,51,19.000000,0.000000,0.000000,1.139780,129.000000,59.000000,11318.000000
North Carolina,2011,52,,0.000000,,1.521180,149.000000,63.000000,9795.000000
North Carolina,2012,1,10.000000,0.000000,0.000000,0.920014,134.000000,67.000000,14565.000000
North Carolina,2012,2,21.000000,2.000000,0.000000,0.889533,184.000000,67.000000,20685.000000
North Carolina,2012,3,24.000000,0.000000,0.000000,1.012250,195.000000,69.000000,19264.000000
North Carolina,2012,4,22.000000,9.000000,0.000000,1.044500,215.000000,66.000000,20584.000000
North Carolina,2012,5,20.000000,3.000000,0.000000,1.052870,235.000000,70.000000,22320.000000
North Carolina,2012,6,30.000000,13.000000,0.000000,1.290120,293.000000,69.000000,22711.000000
North Carolina,2012,7,27.000000,5.000000,0.000000,1.326490,292.000000,68.000000,22013.000000
North Carolina,2012,8,27.000000,12.000000,0.000000,1.709180,390.000000,69.000000,22818.000000
North Carolina,2012,9,34.000000,21.000000,1.000000,1.521230,345.000000,68.000000,22679.000000
North Carolina,2012,10,18.000000,9.000000,0.000000,1.636740,299.000000,68.000000,18268.000000
North Carolina,2012,11,34.000000,21.000000,1.000000,0.902817,174.000000,63.000000,19273.000000
North Carolina,2012,12,22.000000,11.000000,0.000000,1.290970,271.000000,64.000000,20992.000000
North Carolina,2012,13,15.000000,6.000000,0.000000,0.883198,169.000000,59.000000,19135.000000
North Carolina,2012,14,12.000000,4.000000,0.000000,1.109510,200.000000,61.000000,18026.000000
North Carolina,2012,15,23.000000,12.000000,0.000000,0.908550,168.000000,60.000000,18491.000000
North Carolina,2012,16,11.000000,8.000000,0.000000,0.793651,154.000000,55.000000,19404.000000
North Carolina,2012,17,,0.000000,,0.746526,130.000000,54.000000,17414.000000
North Carolina,2012,18,10.000000,6.000000,0.000000,0.622895,98.000000,50.000000,15733.000000
North Carolina,2012,19,,0.000000,,0.567520,78.000000,48.000000,13744.000000
North Carolina,2012,20,,0.000000,,0.508067,57.000000,45.000000,11219.000000
North Carolina,2012,21,,0.000000,,0.213955,18.000000,35.000000,8413.000000
North Carolina,2012,22,,0.000000,,1.015370,72.000000,35.000000,7091.000000
North Carolina,2012,23,19.000000,0.000000,0.000000,0.828189,55.000000,29.000000,6641.000000
North Carolina,2012,24,13.000000,0.000000,0.000000,0.744096,46.000000,27.000000,6182.000000
North Carolina,2012,25,,0.000000,,0.715033,41.000000,26.000000,5734.000000
North Carolina,2012,26,,0.000000,,0.705764,42.000000,27.000000,5951.000000
North Carolina,2012,27,,0.000000,,0.891886,41.000000,25.000000,4597.000000
North Carolina,2012,28,,0.000000,,0.849009,51.000000,26.000000,6007.000000
North Carolina,2012,29,,0.000000,,0.761937,45.000000,25.000000,5906.000000
