REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Nebraska,2010,40,20.000000,0.000000,0.000000,2.199780,61.000000,13.000000,2773.000000
Nebraska,2010,41,17.000000,0.000000,0.000000,2.735320,68.000000,12.000000,2486.000000
Nebraska,2010,42,12.000000,0.000000,0.000000,3.311030,94.000000,14.000000,2839.000000
Nebraska,2010,43,33.000000,0.000000,0.000000,2.057610,60.000000,14.000000,2916.000000
Nebraska,2010,44,17.000000,0.000000,0.000000,0.376712,11.000000,14.000000,2920.000000
Nebraska,2010,45,21.000000,0.000000,0.000000,2.961080,105.000000,16.000000,3546.000000
Nebraska,2010,46,33.000000,0.000000,2.000000,2.423030,85.000000,16.000000,3508.000000
Nebraska,2010,47,39.000000,0.000000,0.000000,0.614754,15.000000,15.000000,2440.000000
Nebraska,2010,48,20.000000,0.000000,0.000000,2.815700,99.000000,15.000000,3516.000000
Nebraska,2010,49,41.000000,0.000000,1.000000,2.462120,91.000000,16.000000,3696.000000
Nebraska,2010,50,46.000000,1.000000,1.000000,3.237100,111.000000,15.000000,3429.000000
Nebraska,2010,51,46.000000,4.000000,2.000000,2.220630,62.000000,15.000000,2792.000000
Nebraska,2010,52,48.000000,5.000000,2.000000,3.828830,85.000000,14.000000,2220.000000
Nebraska,2011,1,62.000000,18.000000,8.000000,3.006190,102.000000,16.000000,3393.000000
Nebraska,2011,2,61.000000,23.000000,1.000000,2.959390,86.000000,15.000000,2906.000000
Nebraska,2011,3,82.000000,31.000000,9.000000,3.120490,108.000000,16.000000,3461.000000
Nebraska,2011,4,95.000000,46.000000,4.000000,4.478430,164.000000,16.000000,3662.000000
Nebraska,2011,5,86.000000,30.000000,7.000000,6.280190,156.000000,14.000000,2484.000000
Nebraska,2011,6,85.000000,26.000000,11.000000,3.680980,126.000000,15.000000,3423.000000
Nebraska,2011,7,101.000000,30.000000,13.000000,4.431820,156.000000,16.000000,3520.000000
Nebraska,2011,8,120.000000,35.000000,12.000000,8.241760,300.000000,16.000000,3640.000000
Nebraska,2011,9,83.000000,19.000000,8.000000,6.802190,261.000000,16.000000,3837.000000
Nebraska,2011,10,117.000000,33.000000,12.000000,5.889570,192.000000,16.000000,3260.000000
Nebraska,2011,11,107.000000,18.000000,15.000000,2.895170,87.000000,15.000000,3005.000000
Nebraska,2011,12,63.000000,13.000000,9.000000,1.563520,48.000000,15.000000,3070.000000
Nebraska,2011,13,67.000000,7.000000,4.000000,1.161050,31.000000,14.000000,2670.000000
Nebraska,2011,14,54.000000,8.000000,0.000000,0.894234,29.000000,15.000000,3243.000000
