REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
New Hampshire,2010,40,10.000000,1.000000,0.000000,0.075930,3.000000,21.000000,3951.000000
New Hampshire,2010,41,,0.000000,,0.092464,4.000000,22.000000,4326.000000
New Hampshire,2010,42,20.000000,0.000000,0.000000,0.293610,17.000000,29.000000,5790.000000
New Hampshire,2010,43,17.000000,0.000000,0.000000,0.178795,10.000000,29.000000,5593.000000
New Hampshire,2010,44,19.000000,1.000000,0.000000,0.294372,17.000000,30.000000,5775.000000
New Hampshire,2010,45,19.000000,0.000000,0.000000,0.304414,16.000000,29.000000,5256.000000
New Hampshire,2010,46,17.000000,0.000000,0.000000,0.279281,16.000000,31.000000,5729.000000
New Hampshire,2010,47,11.000000,2.000000,0.000000,0.205181,8.000000,30.000000,3899.000000
New Hampshire,2010,48,27.000000,0.000000,0.000000,0.138806,7.000000,29.000000,5043.000000
New Hampshire,2010,49,19.000000,1.000000,0.000000,0.247015,12.000000,30.000000,4858.000000
New Hampshire,2010,50,19.000000,0.000000,0.000000,0.070922,4.000000,31.000000,5640.000000
New Hampshire,2010,51,14.000000,0.000000,1.000000,0.243309,10.000000,31.000000,4110.000000
New Hampshire,2010,52,21.000000,5.000000,0.000000,0.266046,8.000000,30.000000,3007.000000
New Hampshire,2011,1,29.000000,8.000000,0.000000,0.328757,17.000000,30.000000,5171.000000
New Hampshire,2011,2,31.000000,14.000000,0.000000,0.231774,11.000000,29.000000,4746.000000
New Hampshire,2011,3,22.000000,10.000000,0.000000,0.422744,20.000000,30.000000,4731.000000
New Hampshire,2011,4,38.000000,12.000000,1.000000,0.413456,22.000000,30.000000,5321.000000
New Hampshire,2011,5,47.000000,19.000000,0.000000,0.504732,24.000000,30.000000,4755.000000
New Hampshire,2011,6,61.000000,30.000000,0.000000,0.725821,40.000000,29.000000,5511.000000
New Hampshire,2011,7,96.000000,35.000000,2.000000,0.661660,37.000000,29.000000,5592.000000
New Hampshire,2011,8,121.000000,65.000000,3.000000,0.766522,37.000000,27.000000,4827.000000
New Hampshire,2011,9,71.000000,27.000000,2.000000,0.939249,47.000000,26.000000,5004.000000
New Hampshire,2011,10,73.000000,27.000000,1.000000,0.529101,28.000000,27.000000,5292.000000
New Hampshire,2011,11,58.000000,15.000000,8.000000,0.541883,24.000000,27.000000,4429.000000
New Hampshire,2011,12,90.000000,22.000000,2.000000,0.388199,20.000000,27.000000,5152.000000
New Hampshire,2011,13,49.000000,6.000000,3.000000,0.484352,26.000000,27.000000,5368.000000
New Hampshire,2011,14,60.000000,4.000000,10.000000,0.196773,10.000000,25.000000,5082.000000
New Hampshire,2011,15,45.000000,4.000000,4.000000,0.059102,3.000000,25.000000,5076.000000
New Hampshire,2011,16,22.000000,4.000000,1.000000,0.044150,2.000000,25.000000,4530.000000
New Hampshire,2011,17,,0.000000,,0.161253,7.000000,24.000000,4341.000000
New Hampshire,2011,18,,0.000000,,0.075226,3.000000,23.000000,3988.000000
New Hampshire,2011,19,,0.000000,,0.070605,3.000000,23.000000,4249.000000
New Hampshire,2011,20,,0.000000,,0.068073,3.000000,23.000000,4407.000000
New Hampshire,2011,21,,0.000000,,0.031250,1.000000,17.000000,3200.000000
New Hampshire,2011,22,,0.000000,,0.044823,1.000000,16.000000,2231.000000
New Hampshire,2011,23,,0.000000,,0.000000,0.000000,17.000000,3071.000000
New Hampshire,2011,24,,0.000000,,0.000000,0.000000,16.000000,2691.000000
New Hampshire,2011,25,,0.000000,,0.036711,1.000000,16.000000,2724.000000
New Hampshire,2011,26,,0.000000,,0.041876,1.000000,15.000000,2388.000000
New Hampshire,2011,27,,0.000000,,0.000000,0.000000,16.000000,2176.000000
New Hampshire,2011,28,,0.000000,,0.000000,0.000000,17.000000,3034.000000
New Hampshire,2011,29,,0.000000,,0.032938,1.000000,17.000000,3036.000000
New Hampshire,2011,30,,0.000000,,0.000000,0.000000,17.000000,3040.000000
New Hampshire,2011,31,,0.000000,,0.030807,1.000000,17.000000,3246.000000
New Hampshire,2011,32,,0.000000,,0.000000,0.000000,17.000000,3129.000000
New Hampshire,2011,33,,0.000000,,0.031446,1.000000,17.000000,3180.000000
