REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Puerto Rico,2013,40,10.000000,6.000000,1.000000,5.161290,40.000000,1.000000,775.000000
Puerto Rico,2013,41,,0.000000,,6.284920,45.000000,1.000000,716.000000
Puerto Rico,2013,42,12.000000,4.000000,0.000000,7.712770,58.000000,1.000000,752.000000
Puerto Rico,2013,43,11.000000,3.000000,0.000000,4.504500,45.000000,1.000000,999.000000
Puerto Rico,2013,44,,0.000000,,7.330570,53.000000,1.000000,723.000000
Puerto Rico,2013,45,,0.000000,,4.755780,37.000000,1.000000,778.000000
Puerto Rico,2013,46,17.000000,10.000000,0.000000,2.812940,20.000000,1.000000,711.000000
Puerto Rico,2013,47,36.000000,17.000000,1.000000,3.970590,27.000000,1.000000,680.000000
Puerto Rico,2013,48,18.000000,3.000000,0.000000,3.623190,25.000000,1.000000,690.000000
Puerto Rico,2013,49,19.000000,5.000000,0.000000,4.123710,28.000000,1.000000,679.000000
Puerto Rico,2013,50,20.000000,8.000000,2.000000,3.149610,20.000000,1.000000,635.000000
Puerto Rico,2013,51,,0.000000,,4.109590,27.000000,1.000000,657.000000
Puerto Rico,2013,52,,0.000000,,0.000000,0.000000,0.000000,0.000000
Puerto Rico,2014,1,,0.000000,,3.004290,21.000000,1.000000,699.000000
Puerto Rico,2014,2,11.000000,6.000000,0.000000,3.488370,24.000000,1.000000,688.000000
Puerto Rico,2014,3,16.000000,6.000000,0.000000,3.313250,22.000000,1.000000,664.000000
Puerto Rico,2014,4,17.000000,7.000000,1.000000,3.846150,25.000000,1.000000,650.000000
Puerto Rico,2014,5,18.000000,9.000000,3.000000,4.594180,30.000000,1.000000,653.000000
Puerto Rico,2014,6,20.000000,12.000000,2.000000,4.833840,32.000000,1.000000,662.000000
Puerto Rico,2014,7,16.000000,9.000000,1.000000,5.020350,37.000000,1.000000,737.000000
Puerto Rico,2014,8,16.000000,9.000000,2.000000,3.722720,29.000000,1.000000,779.000000
Puerto Rico,2014,9,10.000000,5.000000,1.000000,4.204990,32.000000,1.000000,761.000000
Puerto Rico,2014,10,22.000000,12.000000,4.000000,2.872780,21.000000,1.000000,731.000000
Puerto Rico,2014,11,11.000000,5.000000,2.000000,3.520210,27.000000,1.000000,767.000000
Puerto Rico,2014,12,22.000000,14.000000,4.000000,3.773580,28.000000,1.000000,742.000000
Puerto Rico,2014,13,13.000000,4.000000,4.000000,4.689660,34.000000,1.000000,725.000000
Puerto Rico,2014,14,22.000000,13.000000,0.000000,4.090910,27.000000,1.000000,660.000000
Puerto Rico,2014,15,10.000000,4.000000,0.000000,3.453690,22.000000,1.000000,637.000000
