REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Rhode Island,2010,40,,0.000000,,0.235036,15.000000,21.000000,6382.000000
Rhode Island,2010,41,,0.000000,,0.201545,12.000000,21.000000,5954.000000
Rhode Island,2010,42,,0.000000,,0.362845,25.000000,21.000000,6890.000000
Rhode Island,2010,43,,0.000000,,0.322675,22.000000,21.000000,6818.000000
Rhode Island,2010,44,,0.000000,,0.530256,34.000000,21.000000,6412.000000
Rhode Island,2010,45,,0.000000,,0.477403,30.000000,21.000000,6284.000000
Rhode Island,2010,46,,0.000000,,0.504177,35.000000,21.000000,6942.000000
Rhode Island,2010,47,,0.000000,,0.678040,31.000000,21.000000,4572.000000
Rhode Island,2010,48,,0.000000,,0.765766,51.000000,21.000000,6660.000000
Rhode Island,2010,49,,0.000000,,0.635497,42.000000,21.000000,6609.000000
Rhode Island,2010,50,,0.000000,,0.468165,30.000000,21.000000,6408.000000
Rhode Island,2010,51,,0.000000,,0.854701,38.000000,21.000000,4446.000000
Rhode Island,2010,52,,0.000000,,1.288810,44.000000,21.000000,3414.000000
Rhode Island,2011,1,,0.000000,,0.588452,32.000000,21.000000,5438.000000
Rhode Island,2011,2,,0.000000,,0.415937,19.000000,21.000000,4568.000000
Rhode Island,2011,3,,0.000000,,0.502842,23.000000,21.000000,4574.000000
Rhode Island,2011,4,,0.000000,,0.950899,55.000000,21.000000,5784.000000
Rhode Island,2011,5,,0.000000,,1.405030,81.000000,21.000000,5765.000000
Rhode Island,2011,6,,0.000000,,2.316540,149.000000,20.000000,6432.000000
Rhode Island,2011,7,,0.000000,,2.726090,189.000000,21.000000,6933.000000
Rhode Island,2011,8,,0.000000,,4.950670,286.000000,21.000000,5777.000000
Rhode Island,2011,9,,0.000000,,2.480510,175.000000,21.000000,7055.000000
Rhode Island,2011,10,,0.000000,,2.271680,148.000000,21.000000,6515.000000
Rhode Island,2011,11,,0.000000,,1.313320,84.000000,21.000000,6396.000000
Rhode Island,2011,12,,0.000000,,0.897505,50.000000,21.000000,5571.000000
Rhode Island,2011,13,,0.000000,,0.906649,54.000000,21.000000,5956.000000
Rhode Island,2011,14,,0.000000,,0.701179,47.000000,21.000000,6703.000000
Rhode Island,2011,15,,0.000000,,0.529021,35.000000,21.000000,6616.000000
Rhode Island,2011,16,,0.000000,,0.464476,27.000000,21.000000,5813.000000
