REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Wisconsin,2010,40,93.000000,0.000000,0.000000,0.465022,23.000000,44.000000,4946.000000
Wisconsin,2010,41,84.000000,0.000000,0.000000,0.581832,31.000000,48.000000,5328.000000
Wisconsin,2010,42,88.000000,1.000000,0.000000,1.188220,69.000000,43.000000,5807.000000
Wisconsin,2010,43,89.000000,1.000000,0.000000,1.010490,53.000000,46.000000,5245.000000
Wisconsin,2010,44,117.000000,2.000000,0.000000,1.096490,60.000000,49.000000,5472.000000
Wisconsin,2010,45,109.000000,1.000000,0.000000,1.033830,55.000000,46.000000,5320.000000
Wisconsin,2010,46,122.000000,2.000000,0.000000,1.124020,59.000000,47.000000,5249.000000
Wisconsin,2010,47,91.000000,3.000000,0.000000,0.978261,36.000000,50.000000,3680.000000
Wisconsin,2010,48,119.000000,5.000000,0.000000,1.270810,71.000000,49.000000,5587.000000
Wisconsin,2010,49,136.000000,3.000000,0.000000,1.279470,70.000000,46.000000,5471.000000
Wisconsin,2010,50,111.000000,10.000000,0.000000,0.661686,31.000000,50.000000,4685.000000
Wisconsin,2010,51,133.000000,14.000000,3.000000,0.693594,17.000000,46.000000,2451.000000
Wisconsin,2010,52,140.000000,30.000000,2.000000,1.388220,29.000000,46.000000,2089.000000
Wisconsin,2011,1,212.000000,42.000000,4.000000,0.801901,27.000000,45.000000,3367.000000
Wisconsin,2011,2,180.000000,53.000000,8.000000,0.842289,29.000000,44.000000,3443.000000
Wisconsin,2011,3,248.000000,98.000000,14.000000,1.247030,42.000000,45.000000,3368.000000
Wisconsin,2011,4,306.000000,135.000000,13.000000,2.377590,101.000000,46.000000,4248.000000
Wisconsin,2011,5,341.000000,160.000000,13.000000,2.989870,121.000000,47.000000,4047.000000
Wisconsin,2011,6,371.000000,184.000000,22.000000,2.935420,135.000000,45.000000,4599.000000
Wisconsin,2011,7,399.000000,169.000000,26.000000,2.813240,130.000000,43.000000,4621.000000
Wisconsin,2011,8,356.000000,147.000000,26.000000,2.764980,120.000000,43.000000,4340.000000
Wisconsin,2011,9,377.000000,164.000000,29.000000,3.192630,149.000000,44.000000,4667.000000
Wisconsin,2011,10,325.000000,126.000000,27.000000,3.128960,148.000000,45.000000,4730.000000
Wisconsin,2011,11,285.000000,108.000000,27.000000,3.717580,129.000000,41.000000,3470.000000
Wisconsin,2011,12,244.000000,62.000000,19.000000,1.020410,33.000000,39.000000,3234.000000
Wisconsin,2011,13,237.000000,60.000000,16.000000,1.295450,57.000000,40.000000,4400.000000
Wisconsin,2011,14,221.000000,42.000000,28.000000,1.001590,44.000000,40.000000,4393.000000
Wisconsin,2011,15,184.000000,23.000000,14.000000,0.797560,34.000000,40.000000,4263.000000
Wisconsin,2011,16,121.000000,13.000000,5.000000,0.251397,9.000000,37.000000,3580.000000
Wisconsin,2011,17,124.000000,2.000000,9.000000,0.440529,18.000000,38.000000,4086.000000
Wisconsin,2011,18,108.000000,5.000000,0.000000,0.421250,18.000000,38.000000,4273.000000
Wisconsin,2011,19,95.000000,4.000000,1.000000,0.227661,8.000000,36.000000,3514.000000
Wisconsin,2011,20,94.000000,0.000000,3.000000,0.524292,15.000000,36.000000,2861.000000
Wisconsin,2011,21,73.000000,0.000000,0.000000,0.410210,9.000000,33.000000,2194.000000
Wisconsin,2011,22,55.000000,0.000000,1.000000,0.421496,8.000000,34.000000,1898.000000
Wisconsin,2011,23,64.000000,0.000000,0.000000,0.121729,2.000000,32.000000,1643.000000
Wisconsin,2011,24,39.000000,0.000000,0.000000,0.111359,2.000000,34.000000,1796.000000
Wisconsin,2011,25,37.000000,2.000000,0.000000,0.395604,9.000000,33.000000,2275.000000
Wisconsin,2011,26,23.000000,0.000000,0.000000,0.427148,9.000000,32.000000,2107.000000
Wisconsin,2011,27,35.000000,0.000000,0.000000,0.291886,5.000000,31.000000,1713.000000
Wisconsin,2011,28,42.000000,0.000000,0.000000,0.293010,7.000000,32.000000,2389.000000
Wisconsin,2011,29,35.000000,0.000000,0.000000,0.157563,3.000000,31.000000,1904.000000
Wisconsin,2011,30,26.000000,0.000000,0.000000,0.262329,5.000000,30.000000,1906.000000
Wisconsin,2011,31,23.000000,1.000000,0.000000,0.047801,1.000000,32.000000,2092.000000
Wisconsin,2011,32,22.000000,0.000000,0.000000,0.231267,5.000000,30.000000,2162.000000
Wisconsin,2011,33,17.000000,0.000000,0.000000,0.111919,2.000000,30.000000,1787.000000
Wisconsin,2011,34,20.000000,0.000000,0.000000,0.319149,6.000000,29.000000,1880.000000
Wisconsin,2011,35,31.000000,0.000000,0.000000,0.287356,8.000000,33.000000,2784.000000
Wisconsin,2011,36,,0.000000,,0.215332,5.000000,31.000000,2322.000000
Wisconsin,2011,37,31.000000,1.000000,0.000000,0.211034,7.000000,35.000000,3317.000000
Wisconsin,2011,38,64.000000,1.000000,0.000000,0.519781,18.000000,34.000000,3463.000000
Wisconsin,2011,39,50.000000,0.000000,0.000000,0.501771,17.000000,33.000000,3388.000000
Wisconsin,2011,40,56.000000,0.000000,0.000000,0.763807,26.000000,36.000000,3404.000000
Wisconsin,2011,41,65.000000,1.000000,0.000000,0.410628,17.000000,34.000000,4140.000000
