,MD,IA,DE,OH,PA,NE,WA,PR,AL,AR,NM,TX,CA,KY,GA,WI,OR,MO,VA,TN,LA,NY,MI,ID,FL,AK,IL,MT,MN,IN,MA,KS,NV,VT,CT,NJ,DC,NC,UT,ND,SC,MS,CO,SD,OK,WY,WV,ME,HI,NH,AZ,RI
2010-01-01,275.35288923291705,257.49548457959276,275.0105137624091,269.9736341895376,273.0643703619059,259.37964630165715,279.08662136414,297.9697941062697,280.3648136584788,274.22990616577033,271.25511038674654,279.9432420301234,284.4456773383369,270.1434000835154,280.79810779599023,261.4109336442959,280.76621946906744,265.38927052743196,276.28514522800145,274.34604333436766,282.3485414690599,273.81141935224116,267.79734274803803,272.9246451387448,291.05909063772003,259.04357891710833,262.5661095766181,265.50888317193306,254.84867710277223,264.79024572597353,272.47885351519864,263.89927691370195,276.196770020783,268.7581566661773,274.33109997584813,274.74478545986057,275.9134056674537,278.97348495103233,271.2991866266632,248.54216004998574,281.19421702706774,280.9126183318203,267.76657920867854,255.99531720594726,272.0204947497974,267.63833289487303,273.2180876474831,270.36010886796566,295.01519365252665,270.5968451746202,280.9754980534226,272.8467651584381
2010-01-02,270.6911137842459,251.53872488569075,271.36793260544425,264.1767305041533,268.0191163184975,254.0989573036799,279.71996195543284,298.1044019420155,274.3234268422953,271.60026031545175,273.3466548368873,278.55650015736796,285.718935819056,265.08625016049905,273.79861144545004,258.2097274960826,279.4310350881366,261.8121368821149,270.68222924222533,268.0708530680567,278.4124953882211,270.38835903199896,262.27336221945495,274.31057580448277,283.88241966772983,256.4908039963944,260.25964732973887,271.67027265261237,248.18316884669835,262.26833753837343,271.56642865595563,260.3418801887492,277.75652795615594,267.2328925521129,272.34019252556527,272.0474595596169,271.26178592572563,272.0993555052464,271.2561616276819,245.35470864551075,274.4197545780129,275.79664673038485,270.5897533100886,251.42815028950142,271.18982232082544,270.39168509100233,266.02017881851765,267.7748272701717,293.700765405672,270.00537117731733,283.5271020801565,271.8962000207207
2010-01-03,267.13505505001905,253.99039096382157,267.8110438503004,262.03265359922307,264.4150602041961,258.70588283067536,278.0418435670975,297.9302065526687,271.8967427695199,270.64101082401294,273.80718888188846,279.9755376053544,285.5272042490012,263.39641828845413,270.672231508542,258.4565194525267,277.8452224499172,263.539994633931,267.44627214399645,266.0047820388793,277.51811196020805,265.16185587382967,261.76270397699886,271.86879037188913,280.73955352135425,259.6090525132736,259.918608399345,271.13410171393264,249.65098250482166,261.1861368574326,266.34162127587365,263.3876538215268,277.9496952513538,262.8171084394454,266.30962128401063,266.6631209632049,267.58530628584253,269.0020894203811,267.83731888683815,251.6059940060973,270.7937724880167,274.3050426283812,270.02976284322784,258.024185548932,271.7967162311924,269.58446586165934,263.0355404676094,270.65891879054453,295.22912011381516,266.6692758405212,282.7557906701118,266.5853449741565
2010-01-04,269.8683794685767,253.72122551812714,269.53469301262027,266.0550642462027,266.6609710839054,256.89300321479664,278.82326628673525,297.8703956722747,271.2047456807328,269.33650475799067,272.5573538651972,278.23755182919973,285.0508265314149,265.6427050147299,270.6013120316046,261.3183524321389,278.31315620491455,260.899681493828,269.5597574449684,266.2239439925743,276.29558168058895,267.8643897577896,266.5949623815345,271.1048680074956,280.08553684508456,263.9473579009472,261.44655661891176,268.5134202761199,252.2019419648909,264.1802529953875,270.21000326829534,261.31020973466093,277.3265471683605,265.1726355846035,269.3738029235604,269.0426497556989,270.4480633492022,269.94588460696366,265.8771377721398,255.66894830112923,271.2903472466337,273.12465013867165,267.7064242012286,256.9702714651094,269.172212668144,265.88390125698294,266.1152670684307,272.7637068528329,296.4658375189488,270.1167173785437,283.086713970554,270.52047802744323
2010-01-05,271.35484777833767,254.5806880685023,270.5144787062602,266.5811852584382,267.7980813642784,258.07593670187293,279.579083782268,298.1423992134621,270.13250628830343,266.97092178657664,272.97596823726144,275.64145354927217,284.70657144927503,265.0188850803602,270.717132250734,263.4388240210334,281.1922033992433,260.3416129604862,270.8441430213681,265.97416045628387,273.71244536400593,268.2747129137728,267.6530061043233,272.19438445233726,280.0703012828753,266.5268311851978,263.07452463395225,268.79512043647003,253.74330521014335,265.06762644347356,269.5430826438141,262.12289212482113,277.03956959523254,263.52726984297857,269.6368142759152,269.58533585398334,272.07514014639906,270.55291520825926,268.06865609098963,256.06006671394016,271.80783229645186,270.90113778312616,269.9251549155552,257.46398283793803,269.6301218187446,269.2008862194176,267.23431563471405,270.5004039975063,296.6619266531437,268.48635444376345,283.82620851688984,270.00152270753046
2010-01-06,272.6623911849437,257.3809715747429,272.40132454699096,267.8479083328596,269.79378245250797,262.319239825131,278.44731427574,297.66056889807044,271.0592776839419,269.24536644044554,274.72442597549826,278.996085319599,285.05188999194837,265.79153138051055,271.3514606007667,263.9192102542427,280.7847086374607,263.3991935209542,271.9617953880919,267.2666197863651,275.05165309527365,270.0443372119621,268.75164989810423,271.879824388011,278.62944685089036,268.1684113789481,263.80907845437446,260.64152732963925,256.53217127493474,265.458278171564,270.27732381027323,265.12093837910817,278.6357607560276,265.6345202648038,271.21530633574025,271.4273528005235,273.2405371262012,271.6176066307185,270.88430161831286,257.373575325383,272.45875909935944,272.27376456789426,269.1588241147297,260.0633422023563,272.7531244574671,265.9816642935504,268.13293973920713,269.6426740035775,296.44414256349893,268.95963139482024,283.10932317058644,270.7792169037753
2010-01-07,272.8789012409655,261.5598095822301,273.1801497959236,267.8975872362387,270.7920256653238,257.804363399718,276.08406826911045,296.5189019930176,274.12950550487784,270.65102152422725,273.20676782869344,279.13506783216195,284.75015669360823,267.4421120476647,273.4012223091331,265.73001932125305,277.2479899230058,264.4837103947452,272.28953856669017,270.11599152490885,279.95790273187447,271.915037140704,267.9534323216951,265.8420099196022,280.330966265068,268.36850733932727,265.4722749818916,252.41022137713202,259.03684976025494,266.18089601197096,271.61312180094745,261.7043489193014,280.3541075629846,266.1784148157014,273.3121206470095,273.33442691466973,273.2352961139004,272.65983537191084,268.58289893227413,249.92993580161513,273.9580476063693,276.537974089989,259.50449630113616,255.53788001788627,268.67109920335747,254.64436951624867,268.398685189031,269.8638536748354,295.07971728856467,269.9636447124281,283.2281027440381,272.1069163080246
2010-01-08,271.2815497898308,257.15155768800975,271.75396355313916,265.73575532145026,268.94414995762696,253.32020199269746,277.08399688204366,296.54238669339196,270.2763988785158,263.8342538573986,269.25952868579805,271.1778124853519,285.2719015173387,262.9807644037816,271.9722008371323,265.0611255853101,277.0746518695366,258.9487033400866,271.33944155973825,264.4277097940356,272.3758577866396,270.6961282091438,266.879652429775,264.10160773330915,283.7028177236055,266.22791168451135,265.1182400153657,257.44619067661273,255.35194714533284,265.21490265247894,270.2459109418583,257.70137902827184,278.02582799605887,264.01737261520634,272.3536077497819,272.2752402581017,271.72854712531614,273.32444091298225,262.08430387968457,245.38683034320636,275.5294083228132,270.3293646008396,259.3717810867539,249.77798960120901,263.8259027362641,256.2562769340594,265.68100182312594,266.37242981991017,294.43025191835886,267.1379324736107,282.8045229420565,271.1577435181454
2010-01-09,269.78027611480934,253.21695502956825,269.55611274051245,265.44614483114043,266.8991298990572,252.9490229314337,278.8465791983408,296.9471081784853,268.8968289120086,265.9478967590759,270.4036796798668,270.8648741917181,285.52943295369215,265.4981342253818,269.03868024965294,260.67238735215557,278.33890247487307,259.42747765070595,269.7344591244917,265.10665298977443,270.9919912734271,266.941785746868,264.123862775267,267.7558564527571,279.0400500742041,264.1387138356685,261.5292585400694,265.31934691230055,251.601167306457,264.6257792072168,267.257385700958,257.6390798782485,277.1832301987956,260.56083120095826,268.68223183501095,269.03188626163296,270.54202903958725,269.4868642873909,265.43619059833486,248.54052682731927,270.6944524982247,269.2237775376605,266.4650175522843,251.8941308825238,265.2076434468531,264.6192996493823,266.3037748786529,265.39986516056496,294.5019881757814,265.11928365327674,282.8962043564063,267.90398274339907
2010-01-10,268.68834149075735,257.0016498322068,267.55069677714255,263.42991358230677,264.1666271615937,261.6590202471886,279.6218577097328,296.8353874362442,269.7720439499129,266.50765918022705,271.92246747406267,273.1672126266457,285.80805454900565,264.16289681769655,270.167310782835,259.83508371838514,278.735320540137,260.49947226215943,269.458295382108,265.8991592265675,271.5324283408764,265.0814218516257,263.9317350838181,271.5371761452843,275.9907911264971,261.9689979078644,258.9383713659981,270.7089863020719,257.82280299826283,261.5106379749066,264.3447161158674,261.87371718333696,279.64174421057623,257.27336676570184,266.5027603685697,266.8762563580187,269.8387981313387,270.2654419011649,268.4215653274742,261.9978566250091,271.0624518970801,269.75648446488646,269.15223405071725,264.08694130685706,267.73658239205855,267.7553937140974,264.4654506492245,260.7047863346473,295.27878809504324,261.62952058623193,283.01826914197545,264.9421516092001
2010-01-11,269.1991837851576,265.9383140403378,268.69773265934856,265.35622014523864,266.33903751693487,268.39949159318525,280.6860747884965,297.255909456558,271.2430092495735,273.3036907413301,274.8006359941171,276.8750615884923,285.9501203694059,267.3222416125796,271.63983012812406,264.8838413291029,279.59056751083654,270.7584902445484,269.6428721512701,269.0777425620486,273.7006921600124,268.54135784510765,266.15739194957433,271.9417180546779,277.74967875762457,259.3458427680021,266.8512800316975,270.2813770787821,263.2779026198934,266.4521875142827,267.74050252319137,271.7775827201822,279.28636859338235,264.8139875210967,269.1102093492698,269.04391934765135,270.1091621813708,270.71439148876436,266.90336926125366,262.1654945595695,272.19454411376086,272.1721320109671,269.8670857853977,267.18946303508704,275.9601634619766,267.56655959476444,265.19477496737926,264.8753759776354,294.4637280009784,266.11169623705734,283.28211150477614,268.24905524092463
2010-01-12,272.25411434891663,263.46747407057524,271.85266329754444,267.2959012445785,269.1217364053274,265.9864349510648,281.30595971012616,297.2992754756213,275.002643192463,273.4097036680056,275.460492770287,280.7018820021087,286.70096132890285,269.4600157412129,275.0570082714197,266.6588861894339,281.06485526047413,268.3197301978281,272.8237548808886,271.57503517585235,278.1226932415969,270.6535192464022,266.6747530646252,274.06021371583904,280.5457874484689,259.39698234219316,268.5816907351815,273.6940543194289,261.3880748060812,269.08973084480743,270.9294473880617,269.04356418921054,280.9184900100648,264.6396987914311,272.26513144601756,272.1795625403443,272.9628360051033,274.64552823361134,267.0209568591998,264.95398746724516,276.0962364913014,275.8744873410682,271.4684071900458,266.0062380146898,275.6324291227575,269.3876490282383,269.0320338154539,266.39773740991575,294.2237833875394,268.59483375719856,284.3944961051352,271.58817900201944
2010-01-13,272.44063918698606,268.907419894929,271.89547917095314,267.2623124686957,269.5712800899501,272.5836330793872,280.8100462723186,297.39374773964727,273.86318774018093,273.5825139873553,275.36188763483085,281.6702698465227,286.45305266827785,268.73799276684514,274.02687996626065,267.1896233085097,280.9378983871515,272.27054329090356,272.40567945423834,270.489119972272,277.28064658884205,268.9716855272128,269.2839012245955,275.03099640872415,281.94676203460034,261.71633022989766,268.2418807550568,275.95701793157554,267.01954102768246,268.15991861197347,266.66797666550247,274.45356810947396,280.6344871648574,259.2108269722697,270.02549667595986,270.9394940674621,273.14113818601254,272.66998018528744,269.4995982337986,267.1153449116365,273.9733747092925,274.73561413802696,273.4715163486872,270.74310397884847,278.0817364836502,272.70984054173084,268.79942315897125,261.82773567977745,294.0370347144914,263.51915405122037,285.86212735328667,267.4111777092254
2010-01-14,274.06818564915017,272.21199543792727,273.50396575307366,271.30963271795923,271.6973461007223,271.5176084811598,279.9916509111503,296.2114180132314,276.27983000458966,277.6635025621753,277.81371463750145,284.682664625013,284.99192089423997,273.0986380450237,275.91134533716996,272.0822095727942,279.6703441816946,277.846104450433,274.5713878913085,274.2601280847192,280.80620801451886,272.5404542721519,272.2624459094328,274.9388590306425,285.1635083440177,261.8163183042574,274.31942268281125,274.2935570612137,267.8360227250669,273.26567067352426,270.56509500989756,278.16797762812826,279.13168221686084,265.13737344621427,273.2704868844878,273.44263656080614,274.6621423276277,275.32780421423865,271.620417139262,268.6330194615934,275.87652143594835,277.77820453428143,272.6855937526052,270.4604750977561,282.70629771088466,269.24752855030073,271.6675968242653,262.55109218070663,293.73666663390424,266.7704129449988,284.8314226043306,271.1711336999524
2010-01-15,276.14400875710413,269.9022404746619,275.4174054912433,275.342949571027,274.65169355061437,270.33256888918555,280.2140409006276,295.8772561230626,279.34885848395663,280.42782010405864,276.84563325188265,284.9091474910892,285.33688457543565,278.0519936481268,279.2529818971156,270.67910873903867,280.56300525205097,276.73657382453655,276.9827377274438,278.1641273894585,283.5847698872773,275.2432139596635,274.0549979449509,274.27521659614075,289.70316815173896,261.3455371285228,273.86895724869487,273.777279070344,267.40385058068085,275.5588347010989,274.90445731330846,274.04438730363887,278.7858005774933,272.0520178128946,275.58158617564595,275.5226509399939,276.7584232005672,278.2137090916112,269.07342982465224,269.04441632750746,279.31212115804885,280.7676935735355,271.5028634612562,269.44866156099954,281.3929744766407,269.5181566681311,275.209622751891,271.6433996968887,293.33104940252673,273.4015813847973,284.56494070470666,275.2805720574006
2010-01-16,278.1441712062328,268.9064634381204,278.158003232316,274.58161824192206,276.6577410978813,270.81230142862734,278.1430231631626,296.4045645882473,284.1298089073035,281.28440040121865,275.8406106024059,283.09291033869255,285.71430373074605,278.24276817314916,281.49135087052395,268.47218331856385,280.44763596978567,276.2337595056322,278.43354363891865,278.85376315700523,285.2497456136476,276.81570479919554,272.20115881335573,274.6241934452131,293.34586191260576,262.25453114750815,271.56863755585823,275.3701275838863,268.75843470637477,273.69392526611483,276.4312783556991,275.14547925623975,279.9406716683078,273.4363478336108,277.7788852287772,278.10848975929093,278.5440367092256,278.79103149597603,268.83138066978233,271.7120002211245,280.24436930458035,284.7548845868452,273.38876062674905,271.0753347834303,280.7844389546876,271.73155854400494,277.69924345127635,273.8499726262759,294.04733814729775,275.55663003328186,284.46529060228903,276.7374018383624
