date,South,Midwest,Northeast,West
2019-01-01,600.682,552.119,554.298,572.476
2019-01-02,601.234,552.905,555.070,571.244
2019-01-03,601.832,553.757,555.907,572.061
2019-01-04,602.476,554.675,556.809,572.889
2019-01-05,603.166,555.657,557.774,573.775
2019-01-06,603.901,556.702,558.802,574.717
2019-01-07,604.680,557.810,559.891,576.761
2019-01-08,605.503,558.980,561.042,577.812
2019-01-09,606.369,560.209,562.251,578.917
2019-01-10,607.277,561.499,563.520,580.074
2019-01-11,608.226,562.846,564.845,581.243
2019-01-12,609.216,564.250,566.227,582.501
2019-01-13,610.246,565.710,567.664,583.809
2019-01-14,611.315,567.224,569.155,584.232
2019-01-15,612.422,568.792,570.698,585.642
2019-01-16,613.567,570.412,572.293,587.098
2019-01-17,614.748,572.082,573.938,588.742
2019-01-18,615.965,573.802,575.631,590.285
2019-01-19,617.216,575.569,577.373,592.071
2019-01-20,618.502,577.384,579.160,593.697
2019-01-21,619.821,579.243,580.992,596.040
2019-01-22,621.171,581.147,582.868,597.618
2019-01-23,622.553,583.094,584.786,599.360
2019-01-24,623.966,585.082,586.745,601.271
2019-01-25,625.408,587.110,588.744,603.086
2019-01-26,626.878,589.177,590.782,604.344
2019-01-27,628.376,591.282,592.856,606.234
2019-01-28,629.901,593.422,594.967,607.886
2019-01-29,631.453,595.598,597.112,609.840
2019-01-30,633.029,597.808,599.291,611.823
2019-01-31,634.629,600.050,601.502,613.833
2019-02-01,636.253,602.323,603.744,615.871
2019-02-02,637.900,604.627,606.015,617.934
2019-02-03,639.568,606.959,608.316,620.023
2019-02-04,641.258,609.320,610.645,622.135
2019-02-05,642.967,611.707,612.999,624.271
2019-02-06,644.696,614.120,615.380,626.428
2019-02-07,646.444,616.557,617.785,628.607
2019-02-08,648.210,619.018,620.213,630.806
2019-02-09,649.993,621.501,622.663,633.025
2019-02-10,651.793,624.006,625.135,635.262
2019-02-11,653.609,626.532,627.628,637.517
2019-02-12,655.440,629.077,630.140,639.790
2019-02-13,657.285,631.641,632.670,642.078
2019-02-14,659.144,634.222,635.219,644.382
2019-02-15,661.017,636.821,637.784,646.700
2019-02-16,662.902,639.436,640.366,649.033
2019-02-17,664.799,642.066,642.963,651.379
2019-02-18,666.708,644.711,645.574,653.738
2019-02-19,668.628,647.370,648.199,656.108
2019-02-20,670.558,650.042,650.837,658.490
2019-02-21,672.498,652.726,653.488,660.883
2019-02-22,674.447,655.422,656.150,663.286
2019-02-23,676.406,658.129,658.823,665.699
2019-02-24,678.372,660.846,661.507,668.120
2019-02-25,680.347,663.573,664.200,670.551
2019-02-26,682.329,666.310,666.903,672.989
2019-02-27,684.318,669.055,669.614,675.435
2019-02-28,686.314,671.808,672.333,677.888
2019-03-01,688.316,674.569,675.060,680.347
2019-03-02,690.323,677.336,677.794,682.813
2019-03-03,692.336,680.110,680.535,685.284
2019-03-04,694.354,682.891,683.281,687.760
2019-03-05,696.376,685.676,686.033,690.242
2019-03-06,698.403,688.467,688.790,692.727
2019-03-07,700.434,691.262,691.552,695.217
2019-03-08,702.468,694.062,694.317,697.711
2019-03-09,704.506,696.865,697.087,700.208
2019-03-10,706.546,699.672,699.860,702.707
2019-03-11,708.589,702.482,702.636,705.210
2019-03-12,710.634,705.294,705.415,707.714
2019-03-13,712.681,708.109,708.196,710.221
2019-03-14,714.729,710.925,710.978,712.729
2019-03-15,716.779,713.743,713.763,715.239
2019-03-16,718.830,716.562,716.548,717.749
2019-03-17,720.882,719.381,719.334,720.260
2019-03-18,722.934,722.201,722.120,722.772
2019-03-19,724.986,725.021,724.907,725.283
2019-03-20,727.038,727.841,727.693,727.795
2019-03-21,729.090,730.660,730.479,730.306
2019-03-22,731.141,733.478,733.263,732.815
2019-03-23,733.191,736.295,736.047,735.324
2019-03-24,735.239,739.110,738.828,737.832
2019-03-25,737.286,741.924,741.608,740.337
2019-03-26,739.332,744.734,744.385,742.841
2019-03-27,741.375,747.542,747.160,745.342
2019-03-28,743.416,750.348,749.932,747.841
2019-03-29,745.454,753.149,752.700,750.336
2019-03-30,747.489,755.947,755.465,752.829
2019-03-31,749.520,758.741,758.225,755.318
2019-04-01,751.548,761.530,760.981,757.803
2019-04-02,753.573,764.315,763.732,760.283
2019-04-03,755.593,767.094,766.478,762.759
2019-04-04,757.608,769.868,769.219,765.231
2019-04-05,759.619,772.635,771.953,767.697
2019-04-06,761.624,775.396,774.681,770.157
2019-04-07,763.624,778.150,777.402,772.611
2019-04-08,765.618,780.897,780.116,775.059
2019-04-09,767.606,783.636,782.822,777.501
2019-04-10,769.587,786.367,785.520,779.935
2019-04-11,771.561,789.090,788.209,782.361
2019-04-12,773.528,791.803,790.889,784.780
2019-04-13,775.487,794.506,793.560,787.190
2019-04-14,777.438,797.199,796.220,789.591
2019-04-15,779.381,799.882,798.870,791.983
2019-04-16,781.314,802.553,801.508,794.366
2019-04-17,783.239,805.212,804.135,796.738
2019-04-18,785.153,807.859,806.749,799.099
2019-04-19,787.057,810.493,809.351,801.449
2019-04-20,788.950,813.113,811.939,803.787
2019-04-21,790.833,815.719,814.512,806.113
2019-04-22,792.703,818.310,817.071,808.425
2019-04-23,794.561,820.885,819.614,810.725
