code	pop	state
Atlanta	1823234	Atlanta
Beijing	21540000	Beijing
Berlin	3644826	Berlin
Birmingham	658573	Birmingham
Boston	2415606	Boston
Chicago	5150233	Chicago
Cologne	1085664	Cologne
Dallas	2635516	Dallas
Delhi	18710922	Delhi
Denver	727211	Denver
Fresno	999101	Fresno
Hamburg	1841179	Hamburg
Hiroshima	2804177	Hiroshima
Hong Kong	7496988	Hong Kong
Honolulu	974563	Honolulu
Houston	4713325	Houston
Kyoto	2582957	Kyoto
Los Angeles	10039107	Los Angeles
Madrid	6641649	Madrid
Mexico City	9018645	Mexico City
Miami	2716940	Miami
Moscow	12506468	Moscow
New York	16032857	New York
Oakland	1671329	Oakland
Osaka	8809363	Osaka
Phoenix	4485414	Phoenix
Rio de Janeiro	6718903	Rio de Janeiro
Rome	5879082	Rome
Sacramento	1552058	Sacramento
San Diego	3338330	San Diego
San Francisco	881549	San Francisco
Santa Clara	1927852	Santa Clara
Sao Paulo	12252023	Sao Paulo
Seattle	2252782	Seattle
Shanghai	24240000	Shanghai
St Louis	994205	St Louis
Stockholm	2377081	Stockholm
Stuttgart	4143418	Stuttgart
Tianjin	15600000	Tianjin
Tokyo	13920663	Tokyo
Toronto	14711827	Toronto
Tucson	1047279	Tucson
Vancouver	5110917	Vancouver
Xinjiang	24870000	Xinjiang
Manchester	553230	Manchester
London	8170000	London
Birmingham_UK	1149000	Birmingham_UK
