,MD,IA,DE,OH,PA,NE,WA,PR,AL,AR,NM,TX,CA,KY,GA,WI,OR,MO,VA,TN,LA,NY,MI,ID,FL,AK,IL,MT,MN,IN,MA,KS,NV,VT,CT,NJ,DC,NC,UT,ND,SC,MS,CO,SD,OK,WY,WV,ME,HI,NH,AZ,RI
2019-01-01,446.722335504463,462.18319568522367,442.34695874972033,474.91201569962635,452.4077607897767,470.89828095065985,477.18949100151696,0.0,414.06425872874917,438.48849979163055,433.03320326836933,444.13800315521866,426.59598121885915,462.9251088851073,455.7807669349725,447.3794236867365,471.1536118245737,447.185977747342,446.490293154038,437.8529488580082,423.7976941284187,444.5939165772146,488.2457664334835,479.3326466526163,434.0082569768715,581.6418531568239,440.1564723577849,489.516583659361,476.18612901385353,460.84114718682696,434.03156505945805,462.1370492138704,419.4657960515475,447.6102201260932,438.99613013348863,440.4092393248317,446.8064144134069,446.7273841499003,471.19647807278744,499.52205377461075,449.78775158603946,418.44497478624004,441.80518618399736,475.4264030992835,456.2510705480254,457.10432078481506,459.83898191988146,438.23838432684414,428.2164790951889,437.2085055600942,448.4792940427807,433.5013560603768
2019-01-02,446.8440218856546,462.25677163747724,442.4627592901537,475.00688328092997,452.5083178896154,470.9860199025443,477.1555791876864,0.0,414.266311978623,438.6602093780816,433.21173927446023,444.35922770415374,426.76196580014397,463.0597446086479,455.975373260893,447.4343241910056,471.1764966808875,447.3163822036497,446.6277592294698,438.017414361328,424.0185604577658,444.6785798955606,488.3063551795917,479.3518991442893,434.2599402316391,639.0000888012739,440.247291125646,489.5029059460677,476.2025818222798,460.9398885475305,434.1085126082683,462.2641633933227,419.60941932594596,447.64728334718,439.0892536807873,440.511514585678,446.93269932175446,446.8940256971547,471.29398282325315,499.49813728673263,449.971785846443,418.65387677680224,441.9178796037172,475.4719764815991,456.4178816933495,457.1740720046603,459.96185738920076,438.28096468290477,428.5241869716429,437.26881525588107,448.66949490232815,433.5814107406179
2019-01-03,446.9301802970775,462.29092001094966,442.54252372734635,475.0640118539502,452.57156909610865,471.0355472510499,477.0736779821679,0.0,414.43972493401117,438.80073687798114,433.35976516413086,444.55350944628526,426.8964706332085,463.1600106730183,456.140685667389,447.4481992489952,471.1560322675695,447.41211641366044,446.73103795217816,438.15004075901015,424.2124162994646,444.7245792781959,488.32635525399354,479.32744563639795,434.4871987042208,637.1131757891015,440.3000843728599,489.442773404743,476.1748678232968,461.0012526642652,434.1461182507287,462.35635810414317,419.7196627454947,447.64168207449364,439.14441317733014,440.5766034868378,447.0238465389092,447.02896494480086,471.3542149839692,499.42679235149006,450.1256083953986,418.83473797569764,441.9945148111962,475.4758402605498,456.5531244709228,457.2042008689462,460.049332306202,438.28131178106776,428.8125582028111,437.2883879986912,448.8302047335653,433.6223846455382
2019-01-04,446.9806745028083,462.28557030745077,442.58612367180024,475.083301408579,452.5974066548572,471.0467721377388,476.9438855980346,0.0,414.58426288018296,438.9098828566663,433.47707338648445,444.7205921567385,426.99930339705145,463.2257538771119,456.27647789481534,447.4210060962294,471.09222271026624,447.473032515885,446.79997270134083,438.25063743577545,424.37900554212496,444.7318296071334,488.30571591855727,479.2592984088009,434.68974304605786,636.388650867006,440.31475774195815,489.33625068518205,476.1030036057393,461.025134244717,434.1443074688602,462.41348955774146,419.7963612205484,447.5934013857215,439.1615111984797,440.6043959684625,447.079713748698,447.13200879776457,471.3770697480778,499.30810180563947,450.24900532798694,418.98731582951285,442.03496669429865,475.43796493856064,456.6566052571747,457.1946422293287,460.1012689285368,438.2394024970954,429.08124656849276,437.2671736151835,448.9612020608535,433.62419880479723
2019-01-05,446.9954036032252,462.2406913220147,442.59346657147,475.06468949862926,452.5857599417135,471.01964168955595,476.7663490733545,0.0,414.69971992346615,438.987479004826,433.5634869060593,444.860246942949,427.0703031662735,463.2568551995433,456.3825530706912,447.35274297604445,470.9851155898834,447.499017106723,446.8344408684086,438.3190455180203,424.5180994439462,444.7002842846065,488.24442698217433,479.1475137169048,434.8673090645173,635.5894223043726,440.29125473110616,489.1834495006165,475.9870502444681,461.0114651909869,434.1030449868384,462.4354486644863,419.83938288601126,447.5024692096096,439.1404880837114,440.59481894593506,447.1001935628904,447.20299578587446,471.36247935213237,499.1421967437856,450.3417929793165,419.1113960708024,442.03914594611877,475.358362731412,456.7281619094254,457.14537041340657,460.117564707153,438.15525607426616,429.329926814672,437.2051626692709,449.06229496386237,433.58681320315225
2019-01-06,446.97430147740494,462.1562903176917,442.5644951345091,475.00815053435184,452.5365947891537,470.9541403238672,476.54126262660225,0.0,414.7859188852701,439.03338787416146,433.61885896566383,444.97227218658355,427.10934014052236,463.253229328928,456.4587436005142,447.24344821262866,470.8348008034713,447.48999077104077,446.8343533986745,438.35513758988515,424.62949660357555,444.6299345253747,488.1425179200676,478.99219053634687,435.0196578133315,634.7177148185176,440.22955597068744,488.9845271468077,475.82711205431,460.96021391337155,434.02233395165723,462.42216053889865,419.84862864342506,447.3689552309102,439.08132131291086,440.54783571901703,447.0852130207045,447.2417957770881,471.31041239227113,498.92925491011454,450.40381772750777,419.20679262963114,442.0069984984676,475.23708657411083,456.7676634829724,457.05639838688336,460.09815177206406,438.02893311509183,429.55829497066514,437.10238552683217,449.13332091556987,433.5102260045738
2019-01-07,446.91733620838966,462.0324121255961,442.4991867055303,474.91369505220143,452.4499127630143,470.8502889338207,476.26886587555265,0.0,414.8427110868223,439.0475025599188,433.643072789496,445.0564934624758,427.11631527346117,463.214824150211,456.50491090455745,447.09319913607965,470.6414092767347,447.4459075175459,446.7996543028072,438.3588173124589,424.71302283624516,444.5208084753603,488.0000568478541,478.7934693038899,435.146575601674,605.8371443985551,440.12967844516356,488.73968492324565,475.6233352800957,460.871384614383,433.9022150763048,462.3735839231924,419.8240317027589,447.19296972302277,438.98402465121586,440.46344519758145,447.0347330393005,447.24830962530456,471.22087306359265,498.66949904320825,450.43495571903287,419.2733474723389,441.9385048698398,475.07422901395637,456.7750098801773,456.9277768414032,460.04299632752424,437.86053439475603,429.766068557757,436.95891135917867,449.1741465474741,433.39447270213964
2019-01-08,446.82450938270637,461.86913816273955,442.39755255638704,474.7813688157041,452.3257503589162,470.70814399294323,475.94944200538043,0.0,414.869976125709,439.02974629656023,433.6360412152487,445.11276335694623,427.0911598565912,463.1416201347827,456.52094515596536,446.9021109978858,470.40511162755513,447.36675417318554,446.7303200425672,438.33001899055887,424.768531033642,444.3729702990342,487.8171494366931,478.5515304623315,435.2478739700416,604.8241594465466,439.9916746053782,488.4491664411205,475.37590663484934,460.7450164492769,433.7427656362574,462.2897105651939,419.7655570554164,446.9746622662224,438.84864731863195,440.3416811244791,446.9487477132875,447.222468730864,471.0939003835714,498.3631950796984,450.43511253215917,419.3109303901969,441.83367942792387,474.8699210169106,456.75013141780863,456.7595931567444,459.95209799007193,437.65019966155376,429.9529867694994,436.77484707803734,449.1846673351285,433.2396251305415
2019-01-09,446.6958553454942,461.66658534747495,442.25963705976363,474.61125193950306,452.1641780864284,470.52779660239486,475.58331582923444,0.0,414.8676215451825,438.98007199151414,433.5977062848565,445.14096125186063,427.033835020493,463.03362967394503,456.50676492185255,446.67033571995904,470.126116738865,447.25254968060005,446.62635890516236,438.26870707545385,424.79590091923427,444.1865191942344,487.59393775183156,478.2665930154714,435.32338959267275,603.7444869003542,439.81563142877906,488.11325587815423,475.0850518239669,460.58118263847354,433.54409844028555,462.1705644771381,419.6732008272702,446.71422039836955,438.6752730632667,440.182611199436,446.8272836382619,447.1642345657493,470.9295672835365,498.0106502821981,450.40422277645837,419.31943871407583,441.69256962423657,474.6243307199386,456.6929883652577,456.55197034344155,459.8254890272319,437.3981063025751,430.1188106267137,436.5503361234683,449.1648072532741,433.04579048587783
2019-01-10,446.5314403831683,461.42490500320713,442.0855168608378,474.40345786137857,451.9652995415552,470.3093714708417,475.1708517554525,0.0,414.83558246346234,438.89846171179653,433.52803874676283,445.14099305691866,426.9443311939283,462.89089634014704,456.46231675826476,446.39806066233155,469.8046702392199,447.10334432167207,446.4878102403189,438.1748755910815,424.7950387845953,443.9615883261513,487.3305990129587,477.9389129527829,435.37298414507046,602.6012051079128,439.6016693887513,487.7322761508773,474.75103393185026,460.37998948731155,433.3063606831965,462.0162011812856,419.546989660478,446.411868173113,438.4640191531117,439.9863361416255,446.6703990696147,447.07359809939743,470.7279796404518,497.61221132285254,450.34224962236556,419.2987969772952,441.5152550973451,474.33766206778125,456.60357036091006,456.305065860204,459.663233570735,437.104467983253,430.26332304902195,436.28555722798126,449.11451833450747,432.8131101629022
2019-01-11,446.33136185099016,461.1442816467051,441.8752999836681,474.1581323347097,451.729250401785,470.0530258130086,474.71245180245154,0.0,414.77382116735606,438.7849260932204,433.4270375162788,445.1127908555261,426.82266748474973,462.71349410342884,456.38757474885364,446.08550728504906,469.44105298398574,446.9192189452325,446.31474372287164,438.04854752514973,424.76587715956566,443.69834368083275,487.0273443160922,477.5687816771751,435.3965441000859,602.6054929787223,439.3499414136478,487.3065870450597,474.37415182667394,460.14157539700165,433.0297328188988,461.8267068818011,419.3869799446828,446.06786473691415,438.215035293263,439.75298866771095,446.47818315244865,446.95057919702543,470.48927528682475,497.16826231459646,450.24918429280785,419.2489565255963,441.30184678229546,474.01015345516157,456.4818958405559,456.0190704386536,459.4654267278144,436.76953320703063,430.38632892692476,435.9807231502687,449.03378020173693,432.5417586843073
2019-01-12,446.09574725732944,460.82493177628,441.62912483950595,473.87545231105787,451.4561973461801,469.7589482339825,474.2085534672627,0.0,414.6823266088143,438.63950372792124,433.29472910221625,445.0563125563305,426.6688910494219,462.5015264828678,456.28254000343486,445.7329297713478,469.0355794577031,446.70028406977633,446.10725850165534,437.889774160968,424.7083744203362,443.39698293208636,486.6844173042236,477.1565243431143,435.39398048517967,601.3289240222244,439.06063174674983,486.83658330545376,473.9547384727221,459.8661097862564,432.71442730344245,461.6021975786075,419.1932570367389,445.6825027609475,437.92850254321377,439.482732470821,446.2507549480394,446.79522597584287,470.213622940433,496.6792227793494,450.1250455009884,419.16989508591746,441.0524859483679,473.64207627860947,456.3280113726106,455.69420681503505,459.23219369237063,436.3935838432865,430.48765509824017,435.63607932802506,448.92259954353744,432.2319424347704
2019-01-13,445.8247532985562,460.467102589064,441.347159255294,473.55562481849506,451.1463369885986,469.4273575586653,473.6596276655918,0.0,414.56111392868803,438.4622604893651,433.13116696707635,444.9715414480278,426.48307638560374,462.25512567416956,456.1472400902839,445.3406136434493,468.5885961420936,446.44667899546505,445.86548234879655,437.69863435996285,424.62251438245164,443.0577342216274,486.3020927821793,476.7024982107378,435.3652286199788,599.9911059240264,438.7339547971156,486.32269270897757,473.49315924906455,459.553791978229,432.36068735571297,461.342818138435,418.96593450482015,445.2561069207782,437.60463217675965,439.1757611414498,445.9882625681563,446.6076140792843,469.9012211145605,496.1455456322762,449.96987884018495,419.0616162800074,440.76734317979225,473.233733479339,456.14199097318476,455.3307284488001,458.96368877938835,435.97693359335807,430.567150299075,435.2519024771377,448.7810095586076,431.88389847634613
2019-01-14,445.51856485858684,460.07107070271843,441.0295994344183,473.1988858112159,450.79989472758365,469.05850163866353,473.0661766088047,0.0,414.4102238762443,438.2532888321652,432.9364308614616,444.85848575936836,426.2653245927809,461.9744516314536,455.98172845799064,444.90887430075867,468.1004798888567,446.15857086936285,445.5895707495498,437.4752338287477,424.5083058347569,442.6808549140273,485.88067533141265,476.20709093849524,435.3102477728571,626.8377394973695,438.3701539488419,485.76537411944383,472.9898102027963,459.2048500668706,431.96878566347215,461.0487413594352,418.7051531766247,444.7890323072145,437.24366447869124,438.8322970144392,445.6908821740751,446.3878459655572,469.55229698805925,495.5677151403387,449.78375613514123,418.92414911168794,440.44661733788405,472.78545804691225,455.9239353546418,454.92891818698064,458.66009443461974,435.51992649322034,430.6246851056635,434.8284992043395,448.60906932492065,431.4978932516993
2019-01-15,445.177393993002,459.63714081199106,440.67666886645065,472.8054989495193,450.41712359611785,468.65265611727995,472.42873172819185,0.0,414.2297222135812,438.0127070354732,432.71062612580295,444.7171781507801,426.01576262979233,461.65969112877696,455.78608380609245,444.43805559438005,467.57163626417827,445.83615370452173,445.2797059700031,437.21970432506214,424.3657820341408,442.26663034787225,485.42049790010446,475.67071891095827,435.22902080171735,625.1563061383671,437.9695003541452,485.1651155468116,472.44511636483327,458.8195397715668,431.53902307466046,460.7201669696372,418.4110803481536,444.28166284984457,436.84586755923345,438.45259005123455,445.35881697756514,446.13605011207824,469.1671052590822,494.9462448861531,449.56677476455314,418.75754740129446,440.09053452475536,472.29761152056653,455.67397119043784,454.48908696118644,458.32162022629467,435.02293532387375,430.6601517900214,434.3662045959345,448.40686319315904,431.0742212895189
